time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753201687.6380367,5,USB_connected,WLC_disconnected,3.216,-189.450,20.235,0.39,0.39,32.451,0.000,0.000,0.000,4.312
1753201688.870169,5,USB_connected,WLC_disconnected,3.220,-189.225,20.235,0.67,0.67,34.037,0.000,0.000,0.000,4.312
1753201690.1031322,5,USB_connected,WLC_disconnected,3.225,-188.775,19.834,0.84,0.84,35.622,0.000,0.000,0.000,4.318
1753201691.3357842,5,USB_connected,WLC_disconnected,3.230,-189.900,20.335,0.98,0.98,35.622,0.000,0.000,0.000,4.318
1753201692.5686646,5,USB_connected,WLC_disconnected,3.230,-189.675,20.134,1.11,1.11,36.414,0.000,0.000,0.000,4.337
1753201693.8014376,5,USB_connected,WLC_disconnected,3.235,-189.675,20.134,1.21,1.21,36.414,0.000,0.000,0.000,4.318
1753201695.0342195,5,USB_connected,WLC_disconnected,3.235,-189.450,20.235,1.31,1.31,34.037,0.000,0.000,0.000,4.337
1753201696.2669196,5,USB_connected,WLC_disconnected,3.240,-189.675,20.235,1.40,1.40,37.207,0.000,0.000,0.000,4.318
1753201697.5000627,5,USB_connected,WLC_disconnected,3.240,-189.900,20.235,1.48,1.48,37.207,0.000,0.000,0.000,4.318
1753201698.732288,5,USB_connected,WLC_disconnected,3.240,-189.675,20.235,1.55,1.55,37.207,0.000,0.000,0.000,4.318
1753201699.9648325,5,USB_connected,WLC_disconnected,3.245,-189.675,20.335,1.63,1.63,37.207,0.000,0.000,0.000,4.337
1753201701.19816,5,USB_connected,WLC_disconnected,3.245,-189.450,20.235,1.70,1.70,37.207,0.000,0.000,0.000,4.318
1753201702.4306335,5,USB_connected,WLC_disconnected,3.245,-189.900,20.235,1.76,1.76,38.000,0.000,0.000,0.000,4.337
1753201703.6632383,5,USB_connected,WLC_disconnected,3.250,-189.675,20.335,1.83,1.83,38.000,0.000,0.000,0.000,4.318
1753201704.8960097,5,USB_connected,WLC_disconnected,3.250,-189.900,20.335,1.89,1.89,38.000,0.000,0.000,0.000,4.387
1753201706.1288123,5,USB_connected,WLC_disconnected,3.250,-189.900,20.335,1.95,1.95,38.000,0.000,0.000,0.000,4.324
1753201707.3616447,5,USB_connected,WLC_disconnected,3.250,-189.675,20.335,2.01,2.01,38.792,0.000,0.000,0.000,4.324
1753201708.5946567,5,USB_connected,WLC_disconnected,3.255,-188.775,20.435,2.07,2.07,38.792,0.000,0.000,0.000,4.337
1753201709.84368,5,USB_connected,WLC_disconnected,3.255,-189.900,20.335,2.12,2.12,38.000,0.000,0.000,0.000,4.324
1753201711.076384,5,USB_connected,WLC_disconnected,3.255,-189.675,20.335,2.18,2.18,38.000,0.000,0.000,0.000,4.387
1753201712.308904,5,USB_connected,WLC_disconnected,3.255,-189.900,20.435,2.23,2.23,38.000,0.000,0.000,0.000,4.324
1753201713.5417213,5,USB_connected,WLC_disconnected,3.255,-189.900,20.435,2.28,2.28,38.792,0.000,0.000,0.000,4.318
1753201714.774656,5,USB_connected,WLC_disconnected,3.260,-189.900,20.435,2.33,2.33,38.792,0.000,0.000,0.000,4.318
1753201716.0071118,5,USB_connected,WLC_disconnected,3.260,-188.775,20.435,2.38,2.38,38.792,0.000,0.000,0.000,4.387
1753201717.2402906,5,USB_connected,WLC_disconnected,3.260,-189.900,20.435,2.43,2.43,38.792,0.000,0.000,0.000,4.318
1753201718.4726136,5,USB_connected,WLC_disconnected,3.264,-189.900,20.435,2.48,2.48,38.792,0.000,0.000,0.000,4.324
1753201719.7053838,5,USB_connected,WLC_disconnected,3.260,-189.900,20.435,2.53,2.53,38.792,0.000,0.000,0.000,4.318
1753201720.938314,5,USB_connected,WLC_disconnected,3.264,-189.900,20.536,2.57,2.57,38.792,0.000,0.000,0.000,4.362
1753201722.1708908,5,USB_connected,WLC_disconnected,3.264,-189.675,20.536,2.62,2.62,39.585,0.000,0.000,0.000,4.318
1753201723.4036567,5,USB_connected,WLC_disconnected,3.264,-188.775,20.435,2.66,2.66,39.585,0.000,0.000,0.000,4.331
1753201724.6365974,5,USB_connected,WLC_disconnected,3.264,-189.900,20.536,2.71,2.71,39.585,0.000,0.000,0.000,4.337
1753201725.868983,5,USB_connected,WLC_disconnected,3.264,-189.900,20.536,2.75,2.75,39.585,0.000,0.000,0.000,4.324
1753201727.1017504,5,USB_connected,WLC_disconnected,3.269,-189.900,20.435,2.79,2.79,39.585,0.000,0.000,0.000,4.331
1753201728.3348541,5,USB_connected,WLC_disconnected,3.269,-190.125,20.938,2.84,2.84,37.207,0.000,0.000,0.000,4.318
1753201729.5673473,5,USB_connected,WLC_disconnected,3.269,-189.675,20.938,2.88,2.88,39.585,0.000,0.000,0.000,4.337
1753201730.8004456,5,USB_connected,WLC_disconnected,3.274,-189.675,20.536,2.92,2.92,39.585,0.000,0.000,0.000,4.324
1753201732.0328526,5,USB_connected,WLC_disconnected,3.269,-190.350,20.536,2.96,2.96,39.585,0.000,0.000,0.000,4.331
1753201733.2655368,5,USB_connected,WLC_disconnected,3.274,-189.675,20.536,3.00,3.00,39.585,0.000,0.000,0.000,4.324
1753201734.4982746,5,USB_connected,WLC_disconnected,3.274,-189.675,20.235,3.04,3.04,37.207,0.000,0.000,0.000,4.324
1753201735.730735,5,USB_connected,WLC_disconnected,3.274,-190.350,20.536,3.08,3.08,39.585,0.000,0.000,0.000,4.337
1753201736.9638119,5,USB_connected,WLC_disconnected,3.274,-190.350,20.636,3.12,3.12,39.585,0.000,0.000,0.000,4.337
1753201738.2125072,5,USB_connected,WLC_disconnected,3.274,-190.350,20.636,3.16,3.16,39.585,0.000,0.000,0.000,4.318
1753201739.4457748,5,USB_connected,WLC_disconnected,3.279,-190.125,20.636,3.20,3.20,39.585,0.000,0.000,0.000,4.331
1753201740.6787705,5,USB_connected,WLC_disconnected,3.279,-188.775,20.636,3.24,3.24,39.585,0.000,0.000,0.000,4.324
1753201741.9112012,5,USB_connected,WLC_disconnected,3.279,-190.350,20.636,3.28,3.28,40.377,0.000,0.000,0.000,4.343
1753201743.1442027,5,USB_connected,WLC_disconnected,3.284,-190.125,20.737,3.31,3.31,39.585,0.000,0.000,0.000,4.312
1753201744.3769476,5,USB_connected,WLC_disconnected,3.279,-190.800,20.636,3.35,3.35,40.377,0.000,0.000,0.000,4.318
1753201745.6096246,5,USB_connected,WLC_disconnected,3.279,-190.125,20.737,3.39,3.39,37.207,0.000,0.000,0.000,4.324
1753201746.842461,5,USB_connected,WLC_disconnected,3.279,-190.125,20.636,3.42,3.42,42.755,0.000,0.000,0.000,4.324
1753201748.0751534,5,USB_connected,WLC_disconnected,3.279,-190.125,20.737,3.46,3.46,40.377,0.000,0.000,0.000,4.318
1753201749.3077292,5,USB_connected,WLC_disconnected,3.279,-189.900,20.837,3.50,3.50,40.377,0.000,0.000,0.000,4.337
1753201750.5407333,5,USB_connected,WLC_disconnected,3.279,-190.350,20.737,3.53,3.53,40.377,0.000,0.000,0.000,4.337
1753201751.7732368,5,USB_connected,WLC_disconnected,3.284,-189.900,20.737,3.57,3.57,37.207,0.000,0.000,0.000,4.318
1753201753.005926,5,USB_connected,WLC_disconnected,3.284,-190.125,20.737,3.60,3.60,40.377,0.000,0.000,0.000,4.318
1753201754.239122,5,USB_connected,WLC_disconnected,3.284,-190.350,20.737,3.63,3.63,37.207,0.000,0.000,0.000,4.324
1753201755.4714558,5,USB_connected,WLC_disconnected,3.289,-189.900,20.737,3.67,3.67,40.377,0.000,0.000,0.000,4.337
1753201756.7041316,5,USB_connected,WLC_disconnected,3.289,-190.125,20.837,3.70,3.70,40.377,0.000,0.000,0.000,4.331
1753201757.9372764,5,USB_connected,WLC_disconnected,3.284,-189.900,20.837,3.74,3.74,40.377,0.000,0.000,0.000,4.331
1753201759.1697848,5,USB_connected,WLC_disconnected,3.289,-190.350,20.837,3.78,3.78,40.377,0.000,0.000,0.000,4.337
1753201760.4023266,5,USB_connected,WLC_disconnected,3.284,-189.675,20.837,3.81,3.81,40.377,0.000,0.000,0.000,4.318
1753201761.6351058,5,USB_connected,WLC_disconnected,3.289,-190.350,20.737,3.84,3.84,40.377,0.000,0.000,0.000,4.324
1753201762.8679068,5,USB_connected,WLC_disconnected,3.289,-190.125,20.837,3.88,3.88,40.377,0.000,0.000,0.000,4.337
