time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753264449.0002208,5,USB_connected,WLC_disconnected,3.484,0.000,16.439,100.00,100.00,22.148,0.000,0.000,0.000,4.636
1753264450.101302,5,USB_connected,WLC_disconnected,3.484,0.000,16.439,100.00,100.00,22.148,0.000,0.000,0.000,4.642
1753264451.202573,5,USB_connected,WLC_disconnected,3.489,0.000,16.439,100.00,100.00,22.148,0.000,0.000,0.000,4.661
1753264452.303933,5,USB_connected,WLC_disconnected,3.489,0.000,16.439,100.00,100.00,23.733,0.000,0.000,0.000,4.686
1753264453.4052675,5,USB_connected,WLC_disconnected,3.489,0.000,16.439,100.00,100.00,22.148,0.000,0.000,0.000,4.648
1753264454.5079212,5,USB_connected,WLC_disconnected,3.489,0.000,16.439,100.00,100.00,22.148,0.000,0.000,0.000,4.648
1753264455.6077101,5,USB_connected,WLC_disconnected,3.484,0.000,16.439,100.00,100.00,22.148,0.000,0.000,0.000,4.686
1753264456.7090962,5,USB_connected,WLC_disconnected,3.489,0.000,16.439,100.00,100.00,22.148,0.000,0.000,0.000,4.673
1753264457.810347,5,USB_connected,WLC_disconnected,3.489,0.000,16.439,100.00,100.00,22.148,0.000,0.000,0.000,4.686
1753264458.9115822,5,USB_connected,WLC_disconnected,3.489,0.000,16.339,100.00,100.00,22.940,0.000,0.000,0.000,4.642
1753264460.012847,5,USB_connected,WLC_disconnected,3.489,0.000,16.439,100.00,100.00,22.940,0.000,0.000,0.000,4.686
1753264461.1137059,5,USB_connected,WLC_disconnected,3.489,0.000,16.439,100.00,100.00,22.148,0.000,0.000,0.000,4.642
1753264462.2153406,5,USB_connected,WLC_disconnected,3.489,0.000,16.439,100.00,100.00,22.148,0.000,0.000,0.000,4.655
1753264463.3167927,5,USB_connected,WLC_disconnected,3.489,0.000,16.439,100.00,100.00,22.148,0.000,0.000,0.000,4.686
1753264464.4179673,5,USB_connected,WLC_disconnected,3.489,0.000,16.439,100.00,100.00,22.148,0.000,0.000,0.000,4.642
1753264465.5192113,5,USB_connected,WLC_disconnected,3.489,0.000,16.439,100.00,100.00,22.940,0.000,0.000,0.000,4.642
1753264466.6204925,5,USB_connected,WLC_disconnected,3.489,0.000,16.439,100.00,100.00,22.148,0.000,0.000,0.000,4.692
1753264467.7217505,5,USB_connected,WLC_disconnected,3.489,0.000,16.439,100.00,100.00,22.148,0.000,0.000,0.000,4.642
1753264468.8226702,5,USB_connected,WLC_disconnected,3.489,0.000,16.439,100.00,100.00,22.940,0.000,0.000,0.000,4.661
1753264469.9238725,5,USB_connected,WLC_disconnected,3.489,0.000,16.439,100.00,100.00,22.148,0.000,0.000,0.000,4.661
1753264471.0252686,5,USB_connected,WLC_disconnected,3.489,0.000,16.439,100.00,100.00,22.148,0.000,0.000,0.000,4.661
1753264472.1265676,5,USB_connected,WLC_disconnected,3.489,0.000,16.339,100.00,100.00,22.940,0.000,0.000,0.000,4.642
1753264473.227665,5,USB_connected,WLC_disconnected,3.489,0.000,16.439,100.00,100.00,22.148,0.000,0.000,0.000,4.636
1753264474.3290029,5,USB_connected,WLC_disconnected,3.489,0.000,16.439,100.00,100.00,22.148,0.000,0.000,0.000,4.636
1753264475.4302893,5,USB_connected,WLC_disconnected,3.484,0.000,16.439,100.00,100.00,21.355,0.000,0.000,0.000,4.648
1753264476.5313509,5,USB_connected,WLC_disconnected,3.484,0.000,16.439,100.00,100.00,22.148,0.000,0.000,0.000,4.636
1753264477.6327868,5,USB_connected,WLC_disconnected,3.484,0.000,16.439,100.00,100.00,22.148,0.000,0.000,0.000,4.642
1753264478.7340338,5,USB_connected,WLC_disconnected,3.484,0.000,16.439,100.00,100.00,22.148,0.000,0.000,0.000,4.636
1753264479.835123,5,USB_connected,WLC_disconnected,3.489,0.000,16.439,100.00,100.00,22.148,0.000,0.000,0.000,4.642
1753264480.936771,5,USB_connected,WLC_disconnected,3.489,0.000,16.538,100.00,100.00,22.940,0.000,0.000,0.000,4.692
1753264482.0380645,5,USB_connected,WLC_disconnected,3.479,0.000,16.439,100.00,100.00,22.940,0.000,0.000,0.000,4.648
1753264483.1393416,5,USB_connected,WLC_disconnected,3.479,0.000,16.538,100.00,100.00,22.148,0.000,0.000,0.000,4.642
1753264484.2406037,5,USB_connected,WLC_disconnected,3.484,0.000,16.339,100.00,100.00,22.148,0.000,0.000,0.000,4.648
1753264485.3418238,5,USB_connected,WLC_disconnected,3.484,0.000,16.339,100.00,100.00,22.148,0.000,0.000,0.000,4.661
1753264486.442631,5,USB_connected,WLC_disconnected,3.484,0.000,16.439,100.00,100.00,22.148,0.000,0.000,0.000,4.630
1753264487.5439303,5,USB_connected,WLC_disconnected,3.484,0.000,16.439,100.00,100.00,22.940,0.000,0.000,0.000,4.686
1753264488.6452103,5,USB_connected,WLC_disconnected,3.484,0.000,16.339,100.00,100.00,22.148,0.000,0.000,0.000,4.648
1753264489.7461944,5,USB_connected,WLC_disconnected,3.479,0.000,16.538,100.00,100.00,22.148,0.000,0.000,0.000,4.642
1753264490.8477437,5,USB_connected,WLC_disconnected,3.484,0.000,16.439,100.00,100.00,22.940,0.000,0.000,0.000,4.655
1753264491.948745,5,USB_connected,WLC_disconnected,3.484,0.000,16.439,100.00,100.00,22.148,0.000,0.000,0.000,4.642
1753264493.0502324,5,USB_connected,WLC_disconnected,3.484,0.000,16.439,100.00,100.00,22.148,0.000,0.000,0.000,4.642
1753264494.1511343,5,USB_connected,WLC_disconnected,3.479,0.000,16.439,100.00,100.00,22.148,0.000,0.000,0.000,4.686
1753264495.2527754,5,USB_connected,WLC_disconnected,3.484,0.000,16.439,100.00,100.00,22.148,0.000,0.000,0.000,4.642
1753264496.3540282,5,USB_connected,WLC_disconnected,3.484,0.000,16.439,100.00,100.00,22.940,0.000,0.000,0.000,4.673
1753264497.4553027,5,USB_connected,WLC_disconnected,3.484,0.000,16.439,100.00,100.00,22.148,0.000,0.000,0.000,4.673
1753264498.556561,5,USB_connected,WLC_disconnected,3.479,0.000,16.439,100.00,100.00,22.148,0.000,0.000,0.000,4.661
1753264499.6579092,5,USB_connected,WLC_disconnected,3.484,0.000,16.339,100.00,100.00,22.148,0.000,0.000,0.000,4.630
1753264500.759189,5,USB_connected,WLC_disconnected,3.479,0.000,16.439,100.00,100.00,22.148,0.000,0.000,0.000,4.630
1753264501.860427,5,USB_connected,WLC_disconnected,3.479,0.000,16.439,100.00,100.00,22.940,0.000,0.000,0.000,4.636
1753264502.9616542,5,USB_connected,WLC_disconnected,3.479,0.000,16.439,100.00,100.00,22.148,0.000,0.000,0.000,4.661
1753264504.062709,5,USB_connected,WLC_disconnected,3.484,0.000,16.439,100.00,100.00,22.148,0.000,0.000,0.000,4.642
1753264505.1639204,5,USB_connected,WLC_disconnected,3.479,0.000,16.439,100.00,100.00,22.148,0.000,0.000,0.000,4.630
1753264506.2651594,5,USB_connected,WLC_disconnected,3.479,0.000,16.339,100.00,100.00,22.148,0.000,0.000,0.000,4.636
1753264507.366474,5,USB_connected,WLC_disconnected,3.484,0.000,16.339,100.00,100.00,22.148,0.000,0.000,0.000,4.655
1753264508.4677143,5,USB_connected,WLC_disconnected,3.484,0.000,16.339,100.00,100.00,22.940,0.000,0.000,0.000,4.636
1753264509.568749,5,USB_connected,WLC_disconnected,3.479,0.000,16.439,100.00,100.00,22.940,0.000,0.000,0.000,4.692
1753264510.6702077,5,USB_connected,WLC_disconnected,3.479,0.000,16.339,100.00,100.00,22.148,0.000,0.000,0.000,4.630
1753264511.7714934,5,USB_connected,WLC_disconnected,3.479,0.000,16.538,100.00,100.00,22.148,0.000,0.000,0.000,4.642
1753264512.8727367,5,USB_connected,WLC_disconnected,3.479,0.000,16.439,100.00,100.00,22.148,0.000,0.000,0.000,4.686
1753264513.974009,5,USB_connected,WLC_disconnected,3.484,0.000,16.439,100.00,100.00,22.148,0.000,0.000,0.000,4.648
1753264515.0752606,5,USB_connected,WLC_disconnected,3.479,0.000,16.339,100.00,100.00,22.148,0.000,0.000,0.000,4.661
1753264516.1762822,5,USB_connected,WLC_disconnected,3.475,0.000,16.439,100.00,100.00,22.148,0.000,0.000,0.000,4.655
1753264517.277802,5,USB_connected,WLC_disconnected,3.479,0.000,16.439,100.00,100.00,22.148,0.000,0.000,0.000,4.648
