time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753256992.463329,5,USB_connected,WLC_disconnected,3.284,-190.125,16.937,0.60,0.60,29.281,0.000,0.000,0.000,4.331
1753256993.6959994,5,USB_connected,WLC_disconnected,3.284,-190.350,16.837,0.91,0.91,30.866,0.000,0.000,0.000,4.387
1753256994.9289343,5,USB_connected,WLC_disconnected,3.289,-190.125,16.837,1.13,1.13,31.659,0.000,0.000,0.000,4.312
1753256996.1450994,5,USB_connected,WLC_disconnected,3.294,-190.575,16.837,1.32,1.32,32.451,0.000,0.000,0.000,4.337
1753256997.3776762,5,USB_connected,WLC_disconnected,3.299,-189.900,16.937,1.47,1.47,32.451,0.000,0.000,0.000,4.318
1753256998.6109376,5,USB_connected,WLC_disconnected,3.299,-191.025,16.837,1.60,1.60,32.451,0.000,0.000,0.000,4.318
1753256999.8433485,5,USB_connected,WLC_disconnected,3.299,-190.350,16.837,1.72,1.72,33.244,0.000,0.000,0.000,4.318
1753257001.0757844,5,USB_connected,WLC_disconnected,3.304,-190.575,16.837,1.83,1.83,32.451,0.000,0.000,0.000,4.318
1753257002.308986,5,USB_connected,WLC_disconnected,3.304,-190.350,16.937,1.93,1.93,33.244,0.000,0.000,0.000,4.337
1753257003.5576448,5,USB_connected,WLC_disconnected,3.304,-189.900,16.837,2.03,2.03,34.037,0.000,0.000,0.000,4.318
1753257004.7907674,5,USB_connected,WLC_disconnected,3.308,-190.350,16.937,2.12,2.12,33.244,0.000,0.000,0.000,4.318
1753257006.0234747,5,USB_connected,WLC_disconnected,3.304,-190.575,16.937,2.20,2.20,34.037,0.000,0.000,0.000,4.337
1753257007.2560678,5,USB_connected,WLC_disconnected,3.304,-190.800,16.937,2.29,2.29,34.037,0.000,0.000,0.000,4.306
1753257008.4891596,5,USB_connected,WLC_disconnected,3.308,-190.125,16.937,2.37,2.37,34.037,0.000,0.000,0.000,4.306
1753257009.7216594,5,USB_connected,WLC_disconnected,3.313,-190.575,16.837,2.44,2.44,34.037,0.000,0.000,0.000,4.387
1753257010.9547398,5,USB_connected,WLC_disconnected,3.313,-190.575,16.937,2.52,2.52,34.037,0.000,0.000,0.000,4.337
1753257012.1873004,5,USB_connected,WLC_disconnected,3.313,-190.575,16.937,2.59,2.59,34.829,0.000,0.000,0.000,4.324
