time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753268049.2089963,5,USB_disconnected,WLC_disconnected,3.391,82.000,16.339,100.00,100.00,22.148,0.000,0.000,0.000,3.371
1753268050.4248974,5,USB_disconnected,WLC_disconnected,3.387,78.000,16.339,99.94,99.94,21.355,0.000,0.000,0.000,3.365
1753268051.5922308,5,USB_disconnected,WLC_disconnected,3.391,76.400,16.339,99.93,99.93,21.355,0.000,0.000,0.000,3.365
1753268052.7755637,5,USB_disconnected,WLC_disconnected,3.387,82.400,16.339,99.92,99.92,21.355,0.000,0.000,0.000,3.371
1753268053.9587913,5,USB_disconnected,WLC_disconnected,3.391,82.800,16.239,99.91,99.91,21.355,0.000,0.000,0.000,3.390
1753268055.1255805,5,USB_disconnected,WLC_disconnected,3.382,76.000,16.239,99.91,99.91,21.355,0.000,0.000,0.000,3.365
1753268056.3094406,5,USB_disconnected,WLC_disconnected,3.387,76.400,16.239,99.91,99.91,20.562,0.000,0.000,0.000,3.358
1753268057.492854,5,USB_disconnected,WLC_disconnected,3.377,81.600,16.339,99.90,99.90,20.562,0.000,0.000,0.000,3.358
1753268058.6595736,5,USB_disconnected,WLC_disconnected,3.377,47.600,16.239,99.89,99.89,20.562,0.000,0.000,0.000,3.365
1753268059.8430786,5,USB_disconnected,WLC_disconnected,3.382,79.200,16.239,99.89,99.89,20.562,0.000,0.000,0.000,3.352
1753268061.0429463,5,USB_disconnected,WLC_disconnected,3.377,79.200,16.339,99.89,99.89,20.562,0.000,0.000,0.000,3.365
1753268062.242791,5,USB_disconnected,WLC_disconnected,3.382,81.600,16.239,99.89,99.89,20.562,0.000,0.000,0.000,3.352
1753268063.4099658,5,USB_disconnected,WLC_disconnected,3.382,79.600,16.239,99.88,99.88,20.562,0.000,0.000,0.000,3.365
1753268064.5933335,5,USB_disconnected,WLC_disconnected,3.372,79.200,16.239,99.88,99.88,20.562,0.000,0.000,0.000,3.358
1753268065.7601478,5,USB_disconnected,WLC_disconnected,3.382,81.600,16.239,99.88,99.88,20.562,0.000,0.000,0.000,3.365
1753268066.9275208,5,USB_disconnected,WLC_disconnected,3.372,79.200,16.239,99.88,99.88,20.562,0.000,0.000,0.000,3.352
1753268068.1108127,5,USB_disconnected,WLC_disconnected,3.372,81.600,16.239,99.88,99.88,20.562,0.000,0.000,0.000,3.346
1753268069.2937407,5,USB_disconnected,WLC_disconnected,3.367,50.800,16.239,99.87,99.87,20.562,0.000,0.000,0.000,3.352
1753268070.4774957,5,USB_disconnected,WLC_disconnected,3.367,83.200,16.239,99.87,99.87,19.770,0.000,0.000,0.000,3.346
1753268071.6445107,5,USB_disconnected,WLC_disconnected,3.367,81.200,16.239,99.87,99.87,19.770,0.000,0.000,0.000,3.346
