time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753311015.435017,5,USB_connected,WLC_disconnected,3.206,0.000,16.538,0.04,0.00,22.940,0.000,0.000,0.000,4.623
1753311016.5530572,5,USB_connected,WLC_disconnected,3.206,0.000,16.638,0.04,0.00,23.733,0.000,0.000,0.000,4.623
1753311017.6709552,5,USB_connected,WLC_disconnected,3.201,0.000,16.538,0.04,0.00,23.733,0.000,0.000,0.000,4.623
1753311018.7884693,5,USB_connected,WLC_disconnected,3.206,0.000,16.538,0.04,0.00,22.940,0.000,0.000,0.000,4.636
1753311019.906352,5,USB_connected,WLC_disconnected,3.206,0.000,16.538,0.04,0.00,23.733,0.000,0.000,0.000,4.617
1753311021.023503,5,USB_connected,WLC_disconnected,3.206,0.000,16.538,0.04,0.00,23.733,0.000,0.000,0.000,4.630
1753311022.1414297,5,USB_connected,WLC_disconnected,3.206,0.000,16.538,0.04,0.00,22.940,0.000,0.000,0.000,4.623
1753311023.2591424,5,USB_connected,WLC_disconnected,3.206,0.000,16.638,0.04,0.00,23.733,0.000,0.000,0.000,4.623
1753311024.376682,5,USB_connected,WLC_disconnected,3.206,0.000,16.538,0.04,0.00,22.940,0.000,0.000,0.000,4.623
1753311025.4942086,5,USB_connected,WLC_disconnected,3.206,0.000,16.538,0.04,0.00,22.940,0.000,0.000,0.000,4.623
1753311026.6120305,5,USB_connected,WLC_disconnected,3.206,0.000,16.538,0.04,0.00,22.940,0.000,0.000,0.000,4.630
1753311027.730063,5,USB_connected,WLC_disconnected,3.206,0.000,16.538,0.04,0.00,22.940,0.000,0.000,0.000,4.623
1753311028.8477051,5,USB_connected,WLC_disconnected,3.206,0.000,16.538,0.04,0.00,22.940,0.000,0.000,0.000,4.623
1753311029.9650679,5,USB_connected,WLC_disconnected,3.206,0.000,16.538,0.04,0.00,22.940,0.000,0.000,0.000,4.623
1753311031.0829682,5,USB_connected,WLC_disconnected,3.206,0.000,16.538,0.04,0.00,23.733,0.000,0.000,0.000,4.623
1753311032.200316,5,USB_connected,WLC_disconnected,3.206,0.000,16.538,0.04,0.00,23.733,0.000,0.000,0.000,4.623
1753311033.3180044,5,USB_connected,WLC_disconnected,3.206,0.000,16.538,0.04,0.00,22.940,0.000,0.000,0.000,4.623
1753311034.4359138,5,USB_connected,WLC_disconnected,3.206,0.000,16.638,0.04,0.00,22.940,0.000,0.000,0.000,4.636
1753311035.5537012,5,USB_connected,WLC_disconnected,3.206,0.000,16.638,0.04,0.00,22.940,0.000,0.000,0.000,4.623
1753311036.6716402,5,USB_connected,WLC_disconnected,3.206,0.000,16.638,0.04,0.00,23.733,0.000,0.000,0.000,4.636
1753311037.789282,5,USB_connected,WLC_disconnected,3.206,0.000,16.538,0.04,0.00,22.940,0.000,0.000,0.000,4.623
1753311038.9069052,5,USB_connected,WLC_disconnected,3.206,0.000,16.538,0.04,0.00,22.940,0.000,0.000,0.000,4.623
1753311040.0243394,5,USB_connected,WLC_disconnected,3.206,0.000,16.538,0.04,0.00,22.940,0.000,0.000,0.000,4.630
1753311041.1420448,5,USB_connected,WLC_disconnected,3.206,0.000,16.638,0.04,0.00,23.733,0.000,0.000,0.000,4.630
1753311042.2597454,5,USB_connected,WLC_disconnected,3.206,0.000,16.638,0.04,0.00,23.733,0.000,0.000,0.000,4.623
1753311043.3773994,5,USB_connected,WLC_disconnected,3.206,0.000,16.538,0.04,0.00,22.940,0.000,0.000,0.000,4.617
1753311044.4950151,5,USB_connected,WLC_disconnected,3.206,0.000,16.538,0.04,0.00,22.940,0.000,0.000,0.000,4.623
1753311045.612714,5,USB_connected,WLC_disconnected,3.206,0.000,16.638,0.04,0.00,22.940,0.000,0.000,0.000,4.623
1753311046.730739,5,USB_connected,WLC_disconnected,3.206,0.000,16.638,0.04,0.00,23.733,0.000,0.000,0.000,4.617
1753311047.8483834,5,USB_connected,WLC_disconnected,3.206,0.000,16.538,0.04,0.00,23.733,0.000,0.000,0.000,4.630
1753311048.9656618,5,USB_connected,WLC_disconnected,3.206,0.000,16.638,0.04,0.00,22.940,0.000,0.000,0.000,4.630
1753311050.0833683,5,USB_connected,WLC_disconnected,3.206,0.000,16.638,0.04,0.00,23.733,0.000,0.000,0.000,4.623
1753311051.2013297,5,USB_connected,WLC_disconnected,3.206,0.000,16.638,0.04,0.00,22.940,0.000,0.000,0.000,4.623
1753311052.318884,5,USB_connected,WLC_disconnected,3.206,0.000,16.538,0.04,0.00,22.940,0.000,0.000,0.000,4.617
1753311053.4365704,5,USB_connected,WLC_disconnected,3.206,0.000,16.638,0.04,0.00,23.733,0.000,0.000,0.000,4.623
1753311054.55446,5,USB_connected,WLC_disconnected,3.206,0.000,16.638,0.04,0.00,23.733,0.000,0.000,0.000,4.630
1753311055.671683,5,USB_connected,WLC_disconnected,3.206,0.000,16.638,0.04,0.00,22.940,0.000,0.000,0.000,4.636
1753311056.7898345,5,USB_connected,WLC_disconnected,3.206,0.000,16.638,0.04,0.00,23.733,0.000,0.000,0.000,4.623
1753311057.9076874,5,USB_connected,WLC_disconnected,3.206,0.000,16.538,0.04,0.00,23.733,0.000,0.000,0.000,4.623
1753311059.024836,5,USB_connected,WLC_disconnected,3.206,0.000,16.638,0.04,0.00,23.733,0.000,0.000,0.000,4.623
1753311060.1427143,5,USB_connected,WLC_disconnected,3.206,0.000,16.538,0.04,0.00,23.733,0.000,0.000,0.000,4.630
1753311061.260382,5,USB_connected,WLC_disconnected,3.206,0.000,16.538,0.04,0.00,23.733,0.000,0.000,0.000,4.623
1753311062.378206,5,USB_connected,WLC_disconnected,3.206,0.000,16.538,0.04,0.00,23.733,0.000,0.000,0.000,4.617
1753311063.495534,5,USB_connected,WLC_disconnected,3.206,0.000,16.638,0.04,0.00,23.733,0.000,0.000,0.000,4.617
1753311064.6134267,5,USB_connected,WLC_disconnected,3.206,0.000,16.538,0.04,0.00,22.940,0.000,0.000,0.000,4.623
1753311065.7309315,5,USB_connected,WLC_disconnected,3.206,0.000,16.638,0.04,0.00,23.733,0.000,0.000,0.000,4.623
1753311066.8488483,5,USB_connected,WLC_disconnected,3.206,0.000,16.538,0.04,0.00,22.940,0.000,0.000,0.000,4.630
1753311067.9665792,5,USB_connected,WLC_disconnected,3.206,0.000,16.638,0.04,0.00,22.940,0.000,0.000,0.000,4.630
1753311069.0838466,5,USB_connected,WLC_disconnected,3.206,0.000,16.638,0.04,0.00,22.940,0.000,0.000,0.000,4.623
1753311070.201809,5,USB_connected,WLC_disconnected,3.206,0.000,16.538,0.04,0.00,22.940,0.000,0.000,0.000,4.630
1753311071.3196173,5,USB_connected,WLC_disconnected,3.206,0.000,16.638,0.04,0.00,22.940,0.000,0.000,0.000,4.617
