time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753560035.7716258,5,USB_connected,WLC_disconnected,3.445,0.000,38.470,100.00,100.00,44.340,0.000,0.000,0.000,4.673
1753560036.954765,5,USB_disconnected,WLC_disconnected,3.396,140.400,38.470,99.95,99.95,43.548,0.000,0.000,0.000,3.365
1753560038.1384597,5,USB_disconnected,WLC_disconnected,3.391,142.800,38.470,99.94,99.94,43.548,0.000,0.000,0.000,3.358
1753560039.3216565,5,USB_disconnected,WLC_disconnected,3.391,144.000,38.470,99.94,99.94,43.548,0.000,0.000,0.000,3.352
1753560040.5054505,5,USB_disconnected,WLC_disconnected,3.387,143.600,38.470,99.93,99.93,43.548,0.000,0.000,0.000,3.352
1753560041.6887975,5,USB_disconnected,WLC_disconnected,3.387,142.800,38.470,99.92,99.92,43.548,0.000,0.000,0.000,3.352
1753560042.8725667,5,USB_disconnected,WLC_disconnected,3.382,147.600,38.470,99.92,99.92,42.755,0.000,0.000,0.000,3.352
1753560044.0556717,5,USB_disconnected,WLC_disconnected,3.377,142.400,38.470,99.91,99.91,43.548,0.000,0.000,0.000,3.346
1753560045.2388713,5,USB_disconnected,WLC_disconnected,3.377,140.400,38.470,99.91,99.91,43.548,0.000,0.000,0.000,3.346
1753560046.4225688,5,USB_disconnected,WLC_disconnected,3.377,142.400,38.470,99.91,99.91,42.755,0.000,0.000,0.000,3.346
1753560047.6060448,5,USB_disconnected,WLC_disconnected,3.372,150.400,38.470,99.90,99.90,43.548,0.000,0.000,0.000,3.340
1753560048.7893472,5,USB_disconnected,WLC_disconnected,3.372,145.200,38.470,99.90,99.90,42.755,0.000,0.000,0.000,3.340
1753560049.9732053,5,USB_disconnected,WLC_disconnected,3.367,142.400,38.470,99.89,99.89,42.755,0.000,0.000,0.000,3.340
1753560051.1565945,5,USB_disconnected,WLC_disconnected,3.367,144.800,38.470,99.89,99.89,42.755,0.000,0.000,0.000,3.333
1753560052.3396976,5,USB_disconnected,WLC_disconnected,3.367,143.200,38.470,99.89,99.89,42.755,0.000,0.000,0.000,3.333
1753560053.5232294,5,USB_disconnected,WLC_disconnected,3.362,144.400,38.470,99.88,99.88,42.755,0.000,0.000,0.000,3.333
1753560054.706555,5,USB_disconnected,WLC_disconnected,3.362,152.000,38.470,99.88,99.88,42.755,0.000,0.000,0.000,3.333
1753560055.8901088,5,USB_disconnected,WLC_disconnected,3.362,142.400,38.470,99.87,99.87,42.755,0.000,0.000,0.000,3.333
1753560057.0739062,5,USB_disconnected,WLC_disconnected,3.362,140.400,38.470,99.87,99.87,42.755,0.000,0.000,0.000,3.327
1753560058.2569373,5,USB_disconnected,WLC_disconnected,3.357,148.800,38.470,99.87,99.87,43.548,0.000,0.000,0.000,3.327
1753560059.4402227,5,USB_disconnected,WLC_disconnected,3.357,145.200,38.470,99.86,99.86,42.755,0.000,0.000,0.000,3.327
1753560060.6237402,5,USB_disconnected,WLC_disconnected,3.352,143.200,38.470,99.86,99.86,42.755,0.000,0.000,0.000,3.321
1753560061.8072467,5,USB_disconnected,WLC_disconnected,3.352,146.000,38.470,99.85,99.85,43.548,0.000,0.000,0.000,3.321
1753560062.990745,5,USB_disconnected,WLC_disconnected,3.352,145.200,38.470,99.85,99.85,42.755,0.000,0.000,0.000,3.321
1753560064.174485,5,USB_disconnected,WLC_disconnected,3.347,143.200,38.470,99.85,99.85,42.755,0.000,0.000,0.000,3.321
