time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753590827.796122,5,USB_disconnected,WLC_disconnected,3.313,152.000,38.589,73.57,73.57,53.852,0.000,0.000,0.000,3.277
1753590828.995598,5,USB_disconnected,WLC_disconnected,3.318,124.800,38.589,73.60,73.57,49.096,0.000,0.000,0.000,3.290
1753590830.1956756,5,USB_disconnected,WLC_disconnected,3.318,125.200,38.589,73.63,73.57,48.303,0.000,0.000,0.000,3.290
1753590831.3953779,5,USB_disconnected,WLC_disconnected,3.313,122.400,38.589,73.65,73.57,47.511,0.000,0.000,0.000,3.290
1753590832.5953758,5,USB_disconnected,WLC_disconnected,3.308,120.400,38.589,73.68,73.57,46.718,0.000,0.000,0.000,3.284
1753590833.7952535,5,USB_disconnected,WLC_disconnected,3.313,124.800,38.589,73.70,73.57,46.718,0.000,0.000,0.000,3.277
1753590834.995173,5,USB_disconnected,WLC_disconnected,3.308,123.600,38.589,73.73,73.57,45.926,0.000,0.000,0.000,3.284
1753590836.194879,5,USB_disconnected,WLC_disconnected,3.308,128.000,38.470,73.75,73.57,45.926,0.000,0.000,0.000,3.277
1753590837.3949435,5,USB_disconnected,WLC_disconnected,3.308,124.800,38.470,73.77,73.57,45.926,0.000,0.000,0.000,3.277
1753590838.594806,5,USB_disconnected,WLC_disconnected,3.304,125.200,38.470,73.79,73.57,45.926,0.000,0.000,0.000,3.277
1753590839.7947006,5,USB_disconnected,WLC_disconnected,3.304,124.800,38.589,73.81,73.57,45.133,0.000,0.000,0.000,3.277
1753590840.9942243,5,USB_disconnected,WLC_disconnected,3.304,120.400,38.470,73.83,73.57,45.133,0.000,0.000,0.000,3.277
1753590842.194452,5,USB_disconnected,WLC_disconnected,3.304,125.600,38.470,73.85,73.57,45.133,0.000,0.000,0.000,3.271
1753590843.3943071,5,USB_disconnected,WLC_disconnected,3.304,125.200,38.589,73.86,73.57,45.133,0.000,0.000,0.000,3.277
1753590844.5941083,5,USB_disconnected,WLC_disconnected,3.304,122.400,38.589,73.88,73.57,45.133,0.000,0.000,0.000,3.277
1753590845.7995427,5,USB_disconnected,WLC_disconnected,3.299,124.800,38.470,73.90,73.57,44.340,0.000,0.000,0.000,3.271
1753590846.9939666,5,USB_disconnected,WLC_disconnected,3.304,124.800,38.470,73.92,73.57,44.340,0.000,0.000,0.000,3.271
1753590848.1938584,5,USB_disconnected,WLC_disconnected,3.299,123.600,38.470,73.93,73.57,44.340,0.000,0.000,0.000,3.271
1753590849.3937705,5,USB_disconnected,WLC_disconnected,3.299,125.600,38.470,73.95,73.57,44.340,0.000,0.000,0.000,3.277
1753590850.593558,5,USB_disconnected,WLC_disconnected,3.299,121.600,38.470,73.96,73.57,44.340,0.000,0.000,0.000,3.271
1753590851.7932913,5,USB_disconnected,WLC_disconnected,3.299,128.000,38.470,73.97,73.57,44.340,0.000,0.000,0.000,3.271
1753590852.9931555,5,USB_disconnected,WLC_disconnected,3.299,123.200,38.470,73.99,73.57,44.340,0.000,0.000,0.000,3.271
1753590854.1930745,5,USB_disconnected,WLC_disconnected,3.299,125.200,38.470,74.00,73.57,44.340,0.000,0.000,0.000,3.271
1753590855.3929193,5,USB_disconnected,WLC_disconnected,3.299,123.200,38.470,74.02,73.57,44.340,0.000,0.000,0.000,3.271
1753590856.5925453,5,USB_disconnected,WLC_disconnected,3.299,124.800,38.470,74.03,73.57,43.548,0.000,0.000,0.000,3.271
1753590857.792799,5,USB_disconnected,WLC_disconnected,3.299,121.600,38.470,74.04,73.57,43.548,0.000,0.000,0.000,3.271
1753590858.992611,5,USB_disconnected,WLC_disconnected,3.299,124.800,38.470,74.06,73.57,43.548,0.000,0.000,0.000,3.271
1753590860.1924653,5,USB_disconnected,WLC_disconnected,3.299,123.200,38.470,74.07,73.57,43.548,0.000,0.000,0.000,3.271
1753590861.3924227,5,USB_disconnected,WLC_disconnected,3.294,122.000,38.470,74.08,73.57,43.548,0.000,0.000,0.000,3.271
1753590862.592209,5,USB_disconnected,WLC_disconnected,3.299,122.400,38.470,74.09,73.57,43.548,0.000,0.000,0.000,3.271
1753590863.7921753,5,USB_disconnected,WLC_disconnected,3.294,125.200,38.470,74.10,73.57,43.548,0.000,0.000,0.000,3.271
1753590864.9920878,5,USB_disconnected,WLC_disconnected,3.294,122.400,38.470,74.12,73.57,43.548,0.000,0.000,0.000,3.265
1753590866.1916492,5,USB_disconnected,WLC_disconnected,3.299,124.800,38.470,74.13,73.57,43.548,0.000,0.000,0.000,3.271
1753590867.3918445,5,USB_disconnected,WLC_disconnected,3.294,122.800,38.470,74.14,73.57,43.548,0.000,0.000,0.000,3.265
1753590868.5914035,5,USB_disconnected,WLC_disconnected,3.294,123.600,38.470,74.15,73.57,43.548,0.000,0.000,0.000,3.271
1753590869.791664,5,USB_disconnected,WLC_disconnected,3.294,122.800,38.470,74.16,73.57,43.548,0.000,0.000,0.000,3.265
1753590870.99141,5,USB_disconnected,WLC_disconnected,3.294,123.200,38.470,74.17,73.57,43.548,0.000,0.000,0.000,3.271
1753590872.190847,5,USB_disconnected,WLC_disconnected,3.294,124.800,38.470,74.18,73.57,43.548,0.000,0.000,0.000,3.265
1753590873.3911648,5,USB_disconnected,WLC_disconnected,3.294,123.200,38.470,74.19,73.57,43.548,0.000,0.000,0.000,3.271
1753590874.591119,5,USB_disconnected,WLC_disconnected,3.294,124.800,38.351,74.20,73.57,43.548,0.000,0.000,0.000,3.265
1753590875.7909658,5,USB_disconnected,WLC_disconnected,3.294,123.200,38.470,74.21,73.57,42.755,0.000,0.000,0.000,3.271
1753590876.9908006,5,USB_disconnected,WLC_disconnected,3.294,131.200,38.351,74.22,73.57,43.548,0.000,0.000,0.000,3.265
1753590878.1906028,5,USB_disconnected,WLC_disconnected,3.294,122.800,38.351,74.23,73.57,43.548,0.000,0.000,0.000,3.265
1753590879.390364,5,USB_disconnected,WLC_disconnected,3.294,128.399,38.351,74.23,73.57,43.548,0.000,0.000,0.000,3.265
1753590880.590337,5,USB_disconnected,WLC_disconnected,3.294,122.400,38.351,74.24,73.57,43.548,0.000,0.000,0.000,3.265
1753590881.789758,5,USB_disconnected,WLC_disconnected,3.294,125.200,38.351,74.25,73.57,42.755,0.000,0.000,0.000,3.265
1753590882.9901352,5,USB_disconnected,WLC_disconnected,3.294,122.400,38.351,74.26,73.57,43.548,0.000,0.000,0.000,3.265
1753590884.1899507,5,USB_disconnected,WLC_disconnected,3.294,125.200,38.351,74.27,73.57,42.755,0.000,0.000,0.000,3.259
1753590885.389921,5,USB_disconnected,WLC_disconnected,3.294,122.400,38.351,74.28,73.57,43.548,0.000,0.000,0.000,3.265
1753590886.589457,5,USB_disconnected,WLC_disconnected,3.294,128.399,38.351,74.29,73.57,42.755,0.000,0.000,0.000,3.259
1753590887.7896166,5,USB_disconnected,WLC_disconnected,3.294,122.800,38.351,74.30,73.57,42.755,0.000,0.000,0.000,3.265
1753590888.9890711,5,USB_disconnected,WLC_disconnected,3.294,123.200,38.351,74.31,73.57,42.755,0.000,0.000,0.000,3.259
1753590890.1894794,5,USB_disconnected,WLC_disconnected,3.294,125.600,38.351,74.32,73.57,42.755,0.000,0.000,0.000,3.265
1753590891.38936,5,USB_disconnected,WLC_disconnected,3.289,123.200,38.351,74.32,73.57,42.755,0.000,0.000,0.000,3.265
1753590892.5892205,5,USB_disconnected,WLC_disconnected,3.294,122.800,38.351,74.33,73.57,42.755,0.000,0.000,0.000,3.265
1753590893.7890787,5,USB_disconnected,WLC_disconnected,3.294,123.200,38.351,74.34,73.57,42.755,0.000,0.000,0.000,3.265
1753590894.9888647,5,USB_disconnected,WLC_disconnected,3.294,124.800,38.351,74.35,73.57,42.755,0.000,0.000,0.000,3.265
1753590896.188737,5,USB_disconnected,WLC_disconnected,3.294,123.200,38.351,74.35,73.57,42.755,0.000,0.000,0.000,3.265
