time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753081040.0860221,5,USB_connected,WLC_disconnected,3.235,-189.225,21.542,0.45,0.45,32.451,0.000,0.000,0.000,4.256
1753081041.2530332,5,USB_connected,WLC_disconnected,3.240,-189.000,21.643,0.71,0.71,34.037,0.000,0.000,0.000,4.243
1753081042.4200776,5,USB_connected,WLC_disconnected,3.245,-188.775,21.542,0.91,0.91,34.829,0.000,0.000,0.000,4.256
1753081043.6035264,5,USB_connected,WLC_disconnected,3.250,-189.450,21.643,1.07,1.07,35.622,0.000,0.000,0.000,4.293
1753081044.7704918,5,USB_connected,WLC_disconnected,3.250,-189.225,21.542,1.20,1.20,36.414,0.000,0.000,0.000,4.262
1753081045.9379272,5,USB_connected,WLC_disconnected,3.250,-189.450,21.643,1.32,1.32,35.622,0.000,0.000,0.000,4.256
1753081047.1040292,5,USB_connected,WLC_disconnected,3.255,-189.225,21.542,1.42,1.42,36.414,0.000,0.000,0.000,4.287
1753081048.2716022,5,USB_connected,WLC_disconnected,3.260,-189.900,21.643,1.51,1.51,34.037,0.000,0.000,0.000,4.262
1753081049.4389381,5,USB_connected,WLC_disconnected,3.260,-189.900,21.643,1.60,1.60,39.585,0.000,0.000,0.000,4.262
1753081050.6054726,5,USB_connected,WLC_disconnected,3.260,-189.900,21.643,1.69,1.69,36.414,0.000,0.000,0.000,4.243
1753081051.7725058,5,USB_connected,WLC_disconnected,3.264,-189.225,21.643,1.76,1.76,37.207,0.000,0.000,0.000,4.256
1753081052.9397004,5,USB_connected,WLC_disconnected,3.264,-189.900,21.643,1.84,1.84,37.207,0.000,0.000,0.000,4.262
1753081054.1066198,5,USB_connected,WLC_disconnected,3.264,-188.775,21.643,1.91,1.91,37.207,0.000,0.000,0.000,4.262
1753081055.2737546,5,USB_connected,WLC_disconnected,3.264,-189.675,21.643,1.98,1.98,38.000,0.000,0.000,0.000,4.293
1753081056.4402556,5,USB_connected,WLC_disconnected,3.264,-188.775,21.744,2.04,2.04,37.207,0.000,0.000,0.000,4.262
1753081057.6075249,5,USB_connected,WLC_disconnected,3.274,-189.675,21.643,2.11,2.11,38.000,0.000,0.000,0.000,4.287
1753081058.7746003,5,USB_connected,WLC_disconnected,3.274,-188.775,21.643,2.18,2.18,38.000,0.000,0.000,0.000,4.256
1753081059.9416385,5,USB_connected,WLC_disconnected,3.274,-190.350,21.643,2.23,2.23,38.000,0.000,0.000,0.000,4.256
1753081061.1085315,5,USB_connected,WLC_disconnected,3.269,-189.900,21.744,2.29,2.29,38.000,0.000,0.000,0.000,4.287
1753081062.2754622,5,USB_connected,WLC_disconnected,3.279,-188.775,21.744,2.35,2.35,38.000,0.000,0.000,0.000,4.256
1753081063.442541,5,USB_connected,WLC_disconnected,3.279,-189.900,21.744,2.41,2.41,38.000,0.000,0.000,0.000,4.262
1753081064.6095138,5,USB_connected,WLC_disconnected,3.279,-189.675,21.744,2.47,2.47,38.000,0.000,0.000,0.000,4.299
1753081065.7766318,5,USB_connected,WLC_disconnected,3.279,-189.675,21.643,2.52,2.52,38.000,0.000,0.000,0.000,4.287
1753081066.9435222,5,USB_connected,WLC_disconnected,3.279,-189.675,21.744,2.57,2.57,38.000,0.000,0.000,0.000,4.256
