time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753234510.3433108,5,USB_connected,WLC_disconnected,3.641,0.000,22.451,100.00,100.00,28.488,0.000,0.000,0.000,4.630
1753234511.4324493,5,USB_connected,WLC_disconnected,3.636,0.000,22.451,100.00,100.00,28.488,0.000,0.000,0.000,4.630
1753234512.5167015,5,USB_connected,WLC_disconnected,3.631,0.000,22.552,100.00,100.00,28.488,0.000,0.000,0.000,4.630
1753234513.601608,5,USB_connected,WLC_disconnected,3.626,0.000,22.451,100.00,100.00,27.696,0.000,0.000,0.000,4.630
1753234514.6866121,5,USB_connected,WLC_disconnected,3.621,0.000,22.552,100.00,100.00,27.696,0.000,0.000,0.000,4.636
1753234515.7712297,5,USB_connected,WLC_disconnected,3.616,0.000,22.451,100.00,100.00,27.696,0.000,0.000,0.000,4.636
1753234516.856335,5,USB_connected,WLC_disconnected,3.611,0.000,22.451,100.00,100.00,27.696,0.000,0.000,0.000,4.636
1753234517.9405246,5,USB_connected,WLC_disconnected,3.611,0.000,22.451,100.00,100.00,27.696,0.000,0.000,0.000,4.636
1753234519.025773,5,USB_connected,WLC_disconnected,3.607,0.000,22.451,100.00,100.00,27.696,0.000,0.000,0.000,4.623
1753234520.1104195,5,USB_connected,WLC_disconnected,3.602,0.000,22.552,100.00,100.00,27.696,0.000,0.000,0.000,4.630
1753234521.195649,5,USB_connected,WLC_disconnected,3.602,0.000,22.451,100.00,100.00,27.696,0.000,0.000,0.000,4.642
1753234522.2804937,5,USB_connected,WLC_disconnected,3.597,0.000,22.451,100.00,100.00,26.903,0.000,0.000,0.000,4.636
1753234523.365088,5,USB_connected,WLC_disconnected,3.592,0.000,22.451,100.00,100.00,27.696,0.000,0.000,0.000,4.636
1753234524.4494665,5,USB_connected,WLC_disconnected,3.592,0.000,22.451,100.00,100.00,27.696,0.000,0.000,0.000,4.623
1753234525.5345888,5,USB_connected,WLC_disconnected,3.592,0.000,22.451,100.00,100.00,27.696,0.000,0.000,0.000,4.623
1753234526.619765,5,USB_connected,WLC_disconnected,3.587,0.000,22.451,100.00,100.00,27.696,0.000,0.000,0.000,4.623
1753234527.7043672,5,USB_connected,WLC_disconnected,3.582,0.000,22.451,100.00,100.00,27.696,0.000,0.000,0.000,4.623
1753234528.7891123,5,USB_connected,WLC_disconnected,3.582,0.000,22.451,100.00,100.00,27.696,0.000,0.000,0.000,4.648
1753234529.8739927,5,USB_connected,WLC_disconnected,3.582,0.000,22.451,100.00,100.00,26.903,0.000,0.000,0.000,4.623
1753234530.9589674,5,USB_connected,WLC_disconnected,3.577,0.000,22.350,100.00,100.00,27.696,0.000,0.000,0.000,4.630
1753234532.0436027,5,USB_connected,WLC_disconnected,3.577,0.000,22.451,100.00,100.00,27.696,0.000,0.000,0.000,4.636
1753234533.128459,5,USB_connected,WLC_disconnected,3.577,0.000,22.451,100.00,100.00,27.696,0.000,0.000,0.000,4.623
1753234534.2131865,5,USB_connected,WLC_disconnected,3.572,0.000,22.451,100.00,100.00,27.696,0.000,0.000,0.000,4.630
1753234535.2982018,5,USB_connected,WLC_disconnected,3.572,0.000,22.451,100.00,100.00,27.696,0.000,0.000,0.000,4.623
1753234536.382797,5,USB_connected,WLC_disconnected,3.567,0.000,22.350,100.00,100.00,27.696,0.000,0.000,0.000,4.630
1753234537.467645,5,USB_connected,WLC_disconnected,3.567,0.000,22.451,100.00,100.00,26.903,0.000,0.000,0.000,4.630
1753234538.5523353,5,USB_connected,WLC_disconnected,3.567,0.000,22.451,100.00,100.00,26.903,0.000,0.000,0.000,4.636
1753234539.6374478,5,USB_connected,WLC_disconnected,3.567,0.000,22.350,100.00,100.00,27.696,0.000,0.000,0.000,4.630
1753234540.721856,5,USB_connected,WLC_disconnected,3.563,0.000,22.350,100.00,100.00,27.696,0.000,0.000,0.000,4.636
1753234541.8069973,5,USB_connected,WLC_disconnected,3.563,0.000,22.350,100.00,100.00,27.696,0.000,0.000,0.000,4.623
1753234542.8917823,5,USB_connected,WLC_disconnected,3.558,0.000,22.350,100.00,100.00,27.696,0.000,0.000,0.000,4.630
1753234543.976452,5,USB_connected,WLC_disconnected,3.563,0.000,22.451,100.00,100.00,26.903,0.000,0.000,0.000,4.636
1753234545.0613286,5,USB_connected,WLC_disconnected,3.558,0.000,22.350,100.00,100.00,26.903,0.000,0.000,0.000,4.630
1753234546.146125,5,USB_connected,WLC_disconnected,3.558,0.000,22.350,100.00,100.00,27.696,0.000,0.000,0.000,4.636
1753234547.2306864,5,USB_connected,WLC_disconnected,3.558,0.000,22.350,100.00,100.00,26.903,0.000,0.000,0.000,4.623
1753234548.3157833,5,USB_connected,WLC_disconnected,3.558,0.000,22.350,100.00,100.00,26.903,0.000,0.000,0.000,4.630
1753234549.4004774,5,USB_connected,WLC_disconnected,3.553,0.000,22.350,100.00,100.00,27.696,0.000,0.000,0.000,4.630
1753234550.4853327,5,USB_connected,WLC_disconnected,3.553,0.000,22.350,100.00,100.00,27.696,0.000,0.000,0.000,4.636
1753234551.5701897,5,USB_connected,WLC_disconnected,3.553,0.000,22.350,100.00,100.00,26.903,0.000,0.000,0.000,4.630
1753234552.6552613,5,USB_connected,WLC_disconnected,3.553,0.000,22.451,100.00,100.00,26.903,0.000,0.000,0.000,4.623
