time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753311015.4116204,5,USB_connected,WLC_disconnected,3.201,0.000,17.236,0.00,0.00,22.148,0.000,0.000,0.000,4.586
1753311016.529494,5,USB_connected,WLC_disconnected,3.196,0.000,17.236,0.00,0.00,22.940,0.000,0.000,0.000,4.611
1753311017.647276,5,USB_connected,WLC_disconnected,3.201,0.000,17.136,0.00,0.00,22.148,0.000,0.000,0.000,4.598
1753311018.764898,5,USB_connected,WLC_disconnected,3.201,0.000,17.136,0.00,0.00,22.940,0.000,0.000,0.000,4.580
1753311019.882611,5,USB_connected,WLC_disconnected,3.196,0.000,17.236,0.00,0.00,22.148,0.000,0.000,0.000,4.611
1753311021.000477,5,USB_connected,WLC_disconnected,3.201,0.000,17.336,0.00,0.00,22.148,0.000,0.000,0.000,4.580
1753311022.1182952,5,USB_connected,WLC_disconnected,3.201,0.000,17.136,0.00,0.00,22.148,0.000,0.000,0.000,4.580
1753311023.235775,5,USB_connected,WLC_disconnected,3.201,0.000,17.136,0.00,0.00,22.148,0.000,0.000,0.000,4.567
1753311024.3531177,5,USB_connected,WLC_disconnected,3.196,0.000,17.136,0.00,0.00,22.148,0.000,0.000,0.000,4.580
1753311025.4710646,5,USB_connected,WLC_disconnected,3.201,0.000,17.236,0.00,0.00,22.148,0.000,0.000,0.000,4.611
1753311026.5883455,5,USB_connected,WLC_disconnected,3.196,0.000,17.136,0.00,0.00,22.940,0.000,0.000,0.000,4.598
1753311027.7065017,5,USB_connected,WLC_disconnected,3.196,0.000,17.236,0.00,0.00,22.148,0.000,0.000,0.000,4.574
1753311028.82419,5,USB_connected,WLC_disconnected,3.201,0.000,17.136,0.00,0.00,22.148,0.000,0.000,0.000,4.598
1753311029.9418926,5,USB_connected,WLC_disconnected,3.201,0.000,17.336,0.00,0.00,23.733,0.000,0.000,0.000,4.580
1753311031.0598452,5,USB_connected,WLC_disconnected,3.201,0.000,17.236,0.00,0.00,22.940,0.000,0.000,0.000,4.586
1753311032.1770318,5,USB_connected,WLC_disconnected,3.201,0.000,17.136,0.00,0.00,22.148,0.000,0.000,0.000,4.611
1753311033.2949286,5,USB_connected,WLC_disconnected,3.196,0.000,17.136,0.00,0.00,22.148,0.000,0.000,0.000,4.611
1753311034.4126344,5,USB_connected,WLC_disconnected,3.206,0.000,17.236,0.00,0.00,22.940,0.000,0.000,0.000,4.580
1753311035.530057,5,USB_connected,WLC_disconnected,3.201,0.000,17.236,0.00,0.00,22.148,0.000,0.000,0.000,4.580
1753311036.6479309,5,USB_connected,WLC_disconnected,3.201,0.000,17.136,0.00,0.00,22.940,0.000,0.000,0.000,4.580
1753311037.765614,5,USB_connected,WLC_disconnected,3.196,0.000,17.136,0.00,0.00,22.148,0.000,0.000,0.000,4.567
1753311038.883188,5,USB_connected,WLC_disconnected,3.201,0.000,17.336,0.00,0.00,22.148,0.000,0.000,0.000,4.580
1753311040.001149,5,USB_connected,WLC_disconnected,3.206,0.000,17.236,0.00,0.00,22.940,0.000,0.000,0.000,4.611
1753311041.1188889,5,USB_connected,WLC_disconnected,3.201,0.000,17.336,0.00,0.00,23.733,0.000,0.000,0.000,4.611
1753311042.2364717,5,USB_connected,WLC_disconnected,3.201,0.000,17.236,0.00,0.00,22.940,0.000,0.000,0.000,4.580
1753311043.3539202,5,USB_connected,WLC_disconnected,3.201,0.000,17.336,0.00,0.00,22.940,0.000,0.000,0.000,4.598
1753311044.4717376,5,USB_connected,WLC_disconnected,3.201,0.000,17.136,0.00,0.00,22.940,0.000,0.000,0.000,4.598
1753311045.589449,5,USB_connected,WLC_disconnected,3.201,0.000,17.336,0.00,0.00,23.733,0.000,0.000,0.000,4.574
1753311046.707064,5,USB_connected,WLC_disconnected,3.196,0.000,17.336,0.00,0.00,22.148,0.000,0.000,0.000,4.598
1753311047.8247297,5,USB_connected,WLC_disconnected,3.201,0.000,17.136,0.00,0.00,22.148,0.000,0.000,0.000,4.592
1753311048.942192,5,USB_connected,WLC_disconnected,3.201,0.000,17.236,0.00,0.00,23.733,0.000,0.000,0.000,4.598
1753311050.0604708,5,USB_connected,WLC_disconnected,3.201,0.000,17.236,0.00,0.00,22.940,0.000,0.000,0.000,4.580
1753311051.1777203,5,USB_connected,WLC_disconnected,3.201,0.000,17.236,0.00,0.00,22.148,0.000,0.000,0.000,4.580
1753311052.2954817,5,USB_connected,WLC_disconnected,3.201,0.000,17.236,0.00,0.00,22.148,0.000,0.000,0.000,4.598
1753311053.4131944,5,USB_connected,WLC_disconnected,3.201,0.000,17.136,0.00,0.00,22.148,0.000,0.000,0.000,4.611
1753311054.5310557,5,USB_connected,WLC_disconnected,3.201,0.000,17.136,0.00,0.00,22.940,0.000,0.000,0.000,4.580
1753311055.64858,5,USB_connected,WLC_disconnected,3.196,0.000,17.236,0.00,0.00,22.940,0.000,0.000,0.000,4.611
1753311056.766253,5,USB_connected,WLC_disconnected,3.201,0.000,17.136,0.00,0.00,22.148,0.000,0.000,0.000,4.617
1753311057.8840725,5,USB_connected,WLC_disconnected,3.201,0.000,17.236,0.00,0.00,22.940,0.000,0.000,0.000,4.574
1753311059.0019474,5,USB_connected,WLC_disconnected,3.201,0.000,17.136,0.00,0.00,22.148,0.000,0.000,0.000,4.598
1753311060.119615,5,USB_connected,WLC_disconnected,3.201,0.000,17.236,0.00,0.00,22.148,0.000,0.000,0.000,4.611
1753311061.2370272,5,USB_connected,WLC_disconnected,3.196,0.000,17.236,0.00,0.00,22.148,0.000,0.000,0.000,4.611
1753311062.3549197,5,USB_connected,WLC_disconnected,3.201,0.000,17.236,0.00,0.00,22.148,0.000,0.000,0.000,4.611
1753311063.472349,5,USB_connected,WLC_disconnected,3.196,0.000,17.236,0.00,0.00,22.148,0.000,0.000,0.000,4.580
1753311064.5901706,5,USB_connected,WLC_disconnected,3.201,0.000,17.236,0.00,0.00,22.940,0.000,0.000,0.000,4.574
1753311065.7077732,5,USB_connected,WLC_disconnected,3.201,0.000,17.336,0.00,0.00,22.148,0.000,0.000,0.000,4.580
1753311066.8252096,5,USB_connected,WLC_disconnected,3.201,0.000,17.236,0.00,0.00,22.148,0.000,0.000,0.000,4.580
1753311067.9431858,5,USB_connected,WLC_disconnected,3.206,0.000,17.336,0.00,0.00,22.940,0.000,0.000,0.000,4.592
1753311069.0608032,5,USB_connected,WLC_disconnected,3.201,0.000,17.236,0.00,0.00,22.940,0.000,0.000,0.000,4.580
1753311070.1781723,5,USB_connected,WLC_disconnected,3.201,0.000,17.336,0.00,0.00,22.148,0.000,0.000,0.000,4.580
1753311071.2965317,5,USB_connected,WLC_disconnected,3.201,0.000,17.236,0.00,0.00,22.148,0.000,0.000,0.000,4.574
1753311072.4138544,5,USB_connected,WLC_disconnected,3.196,0.000,17.336,0.00,0.00,22.940,0.000,0.000,0.000,4.598
1753311073.531552,5,USB_connected,WLC_disconnected,3.206,0.000,17.236,0.00,0.00,22.148,0.000,0.000,0.000,4.598
1753311074.6490839,5,USB_connected,WLC_disconnected,3.201,0.000,17.336,0.00,0.00,22.148,0.000,0.000,0.000,4.580
1753311075.767158,5,USB_connected,WLC_disconnected,3.206,0.000,17.236,0.00,0.00,22.940,0.000,0.000,0.000,4.617
1753311076.884903,5,USB_connected,WLC_disconnected,3.201,0.000,17.136,0.00,0.00,22.940,0.000,0.000,0.000,4.580
1753311078.0023272,5,USB_connected,WLC_disconnected,3.206,0.000,17.236,0.00,0.00,22.148,0.000,0.000,0.000,4.598
1753311079.1202822,5,USB_connected,WLC_disconnected,3.201,0.000,17.236,0.00,0.00,22.940,0.000,0.000,0.000,4.567
1753311080.2376764,5,USB_connected,WLC_disconnected,3.206,0.000,17.236,0.00,0.00,22.148,0.000,0.000,0.000,4.580
1753311081.3555536,5,USB_connected,WLC_disconnected,3.201,0.000,17.236,0.00,0.00,22.940,0.000,0.000,0.000,4.567
1753311082.4732382,5,USB_connected,WLC_disconnected,3.201,0.000,17.236,0.00,0.00,22.148,0.000,0.000,0.000,4.611
1753311083.5909834,5,USB_connected,WLC_disconnected,3.206,0.000,17.236,0.00,0.00,22.940,0.000,0.000,0.000,4.586
1753311084.7082956,5,USB_connected,WLC_disconnected,3.201,0.000,17.236,0.00,0.00,23.733,0.000,0.000,0.000,4.580
1753311085.8259048,5,USB_connected,WLC_disconnected,3.206,0.000,17.236,0.00,0.00,22.940,0.000,0.000,0.000,4.580
1753311086.943574,5,USB_connected,WLC_disconnected,3.201,0.000,17.336,0.00,0.00,23.733,0.000,0.000,0.000,4.574
1753311088.0615468,5,USB_connected,WLC_disconnected,3.206,0.000,17.136,0.00,0.00,22.148,0.000,0.000,0.000,4.580
1753311089.17906,5,USB_connected,WLC_disconnected,3.201,0.000,17.336,0.00,0.00,22.940,0.000,0.000,0.000,4.598
1753311090.2969592,5,USB_connected,WLC_disconnected,3.201,0.000,17.236,0.00,0.00,22.940,0.000,0.000,0.000,4.574
1753311091.4147959,5,USB_connected,WLC_disconnected,3.206,0.000,17.236,0.00,0.00,22.148,0.000,0.000,0.000,4.605
1753311092.5322628,5,USB_connected,WLC_disconnected,3.206,0.000,17.336,0.00,0.00,22.940,0.000,0.000,0.000,4.648
1753311093.6496768,5,USB_connected,WLC_disconnected,3.201,0.000,17.336,0.00,0.00,22.940,0.000,0.000,0.000,4.617
1753311094.7677312,5,USB_connected,WLC_disconnected,3.196,0.000,17.236,0.00,0.00,22.940,0.000,0.000,0.000,4.586
1753311095.8853428,5,USB_connected,WLC_disconnected,3.201,0.000,17.236,0.00,0.00,22.940,0.000,0.000,0.000,4.586
1753311097.0027945,5,USB_connected,WLC_disconnected,3.201,0.000,17.336,0.00,0.00,22.148,0.000,0.000,0.000,4.580
1753311098.120735,5,USB_connected,WLC_disconnected,3.201,0.000,17.236,0.00,0.00,22.148,0.000,0.000,0.000,4.580
1753311099.2383664,5,USB_connected,WLC_disconnected,3.201,0.000,17.336,0.00,0.00,23.733,0.000,0.000,0.000,4.574
1753311100.356309,5,USB_connected,WLC_disconnected,3.206,0.000,17.236,0.00,0.00,22.940,0.000,0.000,0.000,4.592
