time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753314620.6148903,5,USB_connected,WLC_disconnected,3.299,-189.675,17.236,0.66,0.66,29.281,0.000,0.000,0.000,4.256
1753314621.7817583,5,USB_connected,WLC_disconnected,3.304,-190.125,17.336,1.02,1.02,30.866,0.000,0.000,0.000,4.256
1753314622.9488354,5,USB_connected,WLC_disconnected,3.308,-189.675,17.336,1.25,1.25,30.866,0.000,0.000,0.000,4.243
1753314624.1161566,5,USB_connected,WLC_disconnected,3.308,-189.900,17.336,1.45,1.45,31.659,0.000,0.000,0.000,4.256
1753314625.2834363,5,USB_connected,WLC_disconnected,3.313,-190.125,17.336,1.61,1.61,31.659,0.000,0.000,0.000,4.262
1753314626.4666069,5,USB_connected,WLC_disconnected,3.313,-189.900,17.436,1.75,1.75,32.451,0.000,0.000,0.000,4.287
1753314627.633618,5,USB_connected,WLC_disconnected,3.308,-190.125,17.336,1.87,1.87,31.659,0.000,0.000,0.000,4.262
1753314628.8006876,5,USB_connected,WLC_disconnected,3.313,-190.350,17.336,1.98,1.98,32.451,0.000,0.000,0.000,4.256
1753314629.9675195,5,USB_connected,WLC_disconnected,3.313,-189.675,17.336,2.09,2.09,33.244,0.000,0.000,0.000,4.293
1753314631.1509078,5,USB_connected,WLC_disconnected,3.313,-188.775,17.735,2.18,2.18,32.451,0.000,0.000,0.000,4.256
1753314632.3181612,5,USB_connected,WLC_disconnected,3.318,-189.675,17.336,2.28,2.28,32.451,0.000,0.000,0.000,4.256
1753314633.484941,5,USB_connected,WLC_disconnected,3.318,-190.575,17.336,2.37,2.37,33.244,0.000,0.000,0.000,4.262
1753314634.6519415,5,USB_connected,WLC_disconnected,3.323,-190.350,17.436,2.44,2.44,36.414,0.000,0.000,0.000,4.287
1753314635.818821,5,USB_connected,WLC_disconnected,3.323,-190.125,17.735,2.53,2.53,36.414,0.000,0.000,0.000,4.274
1753314636.986091,5,USB_connected,WLC_disconnected,3.323,-190.125,17.436,2.61,2.61,32.451,0.000,0.000,0.000,4.262
1753314638.1525116,5,USB_connected,WLC_disconnected,3.323,-190.350,17.436,2.68,2.68,32.451,0.000,0.000,0.000,4.274
1753314639.3198493,5,USB_connected,WLC_disconnected,3.323,-190.350,17.735,2.75,2.75,33.244,0.000,0.000,0.000,4.287
1753314640.4869862,5,USB_connected,WLC_disconnected,3.323,-190.350,17.436,2.83,2.83,33.244,0.000,0.000,0.000,4.256
1753314641.6539838,5,USB_connected,WLC_disconnected,3.323,-190.125,17.436,2.89,2.89,33.244,0.000,0.000,0.000,4.256
1753314642.8210955,5,USB_connected,WLC_disconnected,3.328,-190.125,17.336,2.96,2.96,33.244,0.000,0.000,0.000,4.243
1753314643.987956,5,USB_connected,WLC_disconnected,3.323,-190.125,17.436,3.02,3.02,33.244,0.000,0.000,0.000,4.256
1753314645.1549442,5,USB_connected,WLC_disconnected,3.328,-189.675,17.436,3.08,3.08,34.829,0.000,0.000,0.000,4.299
1753314646.3218834,5,USB_connected,WLC_disconnected,3.328,-190.350,17.436,3.15,3.15,33.244,0.000,0.000,0.000,4.299
1753314647.4889734,5,USB_connected,WLC_disconnected,3.323,-189.675,17.436,3.21,3.21,33.244,0.000,0.000,0.000,4.268
1753314648.655822,5,USB_connected,WLC_disconnected,3.328,-189.675,17.436,3.27,3.27,34.037,0.000,0.000,0.000,4.287
1753314649.8232837,5,USB_connected,WLC_disconnected,3.328,-190.350,17.436,3.33,3.33,34.037,0.000,0.000,0.000,4.250
1753314651.006546,5,USB_connected,WLC_disconnected,3.323,-190.125,17.535,3.38,3.38,34.037,0.000,0.000,0.000,4.293
1753314652.1734416,5,USB_connected,WLC_disconnected,3.323,-190.350,17.436,3.44,3.44,30.866,0.000,0.000,0.000,4.262
1753314653.3405573,5,USB_connected,WLC_disconnected,3.328,-190.350,17.535,3.49,3.49,34.037,0.000,0.000,0.000,4.262
1753314654.5075657,5,USB_connected,WLC_disconnected,3.328,-189.675,17.436,3.55,3.55,34.829,0.000,0.000,0.000,4.293
1753314655.6742342,5,USB_connected,WLC_disconnected,3.328,-190.125,17.436,3.60,3.60,34.037,0.000,0.000,0.000,4.256
1753314656.8415759,5,USB_connected,WLC_disconnected,3.328,-190.800,17.436,3.65,3.65,30.866,0.000,0.000,0.000,4.293
1753314658.0084617,5,USB_connected,WLC_disconnected,3.323,-189.675,17.436,3.70,3.70,34.829,0.000,0.000,0.000,4.262
1753314659.175407,5,USB_connected,WLC_disconnected,3.328,-190.350,17.436,3.76,3.76,34.829,0.000,0.000,0.000,4.250
1753314660.3425398,5,USB_connected,WLC_disconnected,3.328,-190.800,17.535,3.80,3.80,34.037,0.000,0.000,0.000,4.256
1753314661.5258062,5,USB_connected,WLC_disconnected,3.328,-190.575,17.436,3.85,3.85,34.829,0.000,0.000,0.000,4.268
1753314662.692725,5,USB_connected,WLC_disconnected,3.328,-190.125,17.436,3.90,3.90,34.829,0.000,0.000,0.000,4.262
1753314663.8597481,5,USB_connected,WLC_disconnected,3.328,-190.350,17.436,3.95,3.95,34.037,0.000,0.000,0.000,4.293
1753314665.0267582,5,USB_connected,WLC_disconnected,3.333,-190.125,17.535,4.00,4.00,34.037,0.000,0.000,0.000,4.274
1753314666.193512,5,USB_connected,WLC_disconnected,3.333,-190.575,17.436,4.04,4.04,34.037,0.000,0.000,0.000,4.293
1753314667.361092,5,USB_connected,WLC_disconnected,3.333,-190.575,17.535,4.09,4.09,34.037,0.000,0.000,0.000,4.287
1753314668.5278294,5,USB_connected,WLC_disconnected,3.328,-190.800,17.436,4.14,4.14,34.037,0.000,0.000,0.000,4.268
1753314669.6946259,5,USB_connected,WLC_disconnected,3.328,-190.575,17.535,4.18,4.18,34.829,0.000,0.000,0.000,4.256
1753314670.8620267,5,USB_connected,WLC_disconnected,3.328,-190.350,17.436,4.23,4.23,34.037,0.000,0.000,0.000,4.287
1753314672.0285027,5,USB_connected,WLC_disconnected,3.328,-190.575,17.436,4.27,4.27,34.037,0.000,0.000,0.000,4.262
1753314673.1956518,5,USB_connected,WLC_disconnected,3.333,-190.350,17.535,4.32,4.32,34.829,0.000,0.000,0.000,4.287
1753314674.3630142,5,USB_connected,WLC_disconnected,3.328,-190.350,17.436,4.36,4.36,30.866,0.000,0.000,0.000,4.287
1753314675.5297167,5,USB_connected,WLC_disconnected,3.333,-190.575,17.436,4.40,4.40,34.829,0.000,0.000,0.000,4.262
1753314676.6967547,5,USB_connected,WLC_disconnected,3.333,-190.575,17.535,4.44,4.44,34.037,0.000,0.000,0.000,4.262
1753314677.8637686,5,USB_connected,WLC_disconnected,3.333,-190.125,17.535,4.49,4.49,34.037,0.000,0.000,0.000,4.262
1753314679.0307722,5,USB_connected,WLC_disconnected,3.328,-190.125,17.535,4.52,4.52,34.037,0.000,0.000,0.000,4.293
1753314680.197938,5,USB_connected,WLC_disconnected,3.328,-190.350,17.535,4.57,4.57,34.829,0.000,0.000,0.000,4.256
1753314681.364712,5,USB_connected,WLC_disconnected,3.333,-190.350,17.535,4.61,4.61,34.037,0.000,0.000,0.000,4.287
1753314682.531708,5,USB_connected,WLC_disconnected,3.333,-190.350,17.535,4.64,4.64,34.829,0.000,0.000,0.000,4.256
1753314683.69849,5,USB_connected,WLC_disconnected,3.333,-190.575,17.535,4.68,4.68,34.829,0.000,0.000,0.000,4.262
1753314684.8653247,5,USB_connected,WLC_disconnected,3.333,-190.125,17.535,4.72,4.72,34.037,0.000,0.000,0.000,4.256
1753314686.032712,5,USB_connected,WLC_disconnected,3.333,-190.125,17.535,4.76,4.76,34.829,0.000,0.000,0.000,4.256
1753314687.199981,5,USB_connected,WLC_disconnected,3.333,-190.350,17.635,4.80,4.80,35.622,0.000,0.000,0.000,4.262
1753314688.366679,5,USB_connected,WLC_disconnected,3.333,-190.350,17.635,4.84,4.84,34.037,0.000,0.000,0.000,4.256
1753314689.5337553,5,USB_connected,WLC_disconnected,3.328,-190.125,17.535,4.87,4.87,34.829,0.000,0.000,0.000,4.262
1753314690.7009995,5,USB_connected,WLC_disconnected,3.333,-189.675,17.535,4.91,4.91,34.829,0.000,0.000,0.000,4.299
1753314691.8677635,5,USB_connected,WLC_disconnected,3.328,-190.125,17.535,4.95,4.95,34.829,0.000,0.000,0.000,4.256
1753314693.03477,5,USB_connected,WLC_disconnected,3.333,-190.125,17.535,4.98,4.98,34.829,0.000,0.000,0.000,4.256
1753314694.202006,5,USB_connected,WLC_disconnected,3.333,-189.675,17.535,5.02,5.02,34.829,0.000,0.000,0.000,4.262
1753314695.385062,5,USB_connected,WLC_disconnected,3.328,-189.675,17.436,5.05,5.05,34.037,0.000,0.000,0.000,4.256
1753314696.5521185,5,USB_connected,WLC_disconnected,3.333,-190.350,17.535,5.09,5.09,35.622,0.000,0.000,0.000,4.274
1753314697.7193155,5,USB_connected,WLC_disconnected,3.338,-190.350,17.535,5.12,5.12,34.037,0.000,0.000,0.000,4.274
1753314698.902914,5,USB_connected,WLC_disconnected,3.328,-190.125,17.535,5.16,5.16,34.037,0.000,0.000,0.000,4.262
1753314700.0856376,5,USB_connected,WLC_disconnected,3.333,-190.125,17.436,5.19,5.19,34.829,0.000,0.000,0.000,4.256
1753314701.252725,5,USB_connected,WLC_disconnected,3.328,-190.350,17.635,5.22,5.22,34.037,0.000,0.000,0.000,4.262
1753314702.4203074,5,USB_connected,WLC_disconnected,3.333,-191.250,17.535,5.26,5.26,34.829,0.000,0.000,0.000,4.287
