time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753440546.9055676,5,USB_disconnected,WLC_disconnected,3.421,67.200,31.868,99.97,99.97,36.414,0.000,0.000,0.000,3.396
1753440548.154616,5,USB_disconnected,WLC_disconnected,3.416,64.000,31.868,99.95,99.95,35.622,0.000,0.000,0.000,3.396
1753440549.3875806,5,USB_disconnected,WLC_disconnected,3.411,64.000,31.868,99.94,99.94,35.622,0.000,0.000,0.000,3.396
1753440550.620339,5,USB_disconnected,WLC_disconnected,3.406,76.000,31.868,99.93,99.93,35.622,0.000,0.000,0.000,3.390
1753440551.8529973,5,USB_disconnected,WLC_disconnected,3.411,70.800,31.868,99.93,99.93,35.622,0.000,0.000,0.000,3.390
1753440553.0855634,5,USB_disconnected,WLC_disconnected,3.406,71.200,31.868,99.92,99.92,35.622,0.000,0.000,0.000,3.390
1753440554.3185985,5,USB_disconnected,WLC_disconnected,3.401,77.600,31.868,99.92,99.92,35.622,0.000,0.000,0.000,3.383
1753440555.5512226,5,USB_disconnected,WLC_disconnected,3.401,72.400,31.868,99.92,99.92,35.622,0.000,0.000,0.000,3.390
1753440556.7842467,5,USB_disconnected,WLC_disconnected,3.401,74.000,31.868,99.91,99.91,35.622,0.000,0.000,0.000,3.383
1753440558.0168293,5,USB_disconnected,WLC_disconnected,3.396,80.400,31.868,99.91,99.91,35.622,0.000,0.000,0.000,3.383
1753440559.2494254,5,USB_disconnected,WLC_disconnected,3.401,75.200,31.868,99.91,99.91,35.622,0.000,0.000,0.000,3.383
1753440560.4826148,5,USB_disconnected,WLC_disconnected,3.401,69.200,31.759,99.91,99.91,34.829,0.000,0.000,0.000,3.377
1753440561.715042,5,USB_disconnected,WLC_disconnected,3.396,78.800,31.759,99.91,99.91,34.829,0.000,0.000,0.000,3.377
1753440562.9477124,5,USB_disconnected,WLC_disconnected,3.391,72.800,31.868,99.90,99.90,34.829,0.000,0.000,0.000,3.377
1753440564.1807506,5,USB_disconnected,WLC_disconnected,3.391,69.600,31.759,99.90,99.90,34.829,0.000,0.000,0.000,3.377
1753440565.4132285,5,USB_disconnected,WLC_disconnected,3.391,72.800,31.868,99.90,99.90,34.829,0.000,0.000,0.000,3.377
1753440566.645915,5,USB_disconnected,WLC_disconnected,3.391,80.400,31.868,99.89,99.89,34.829,0.000,0.000,0.000,3.377
1753440567.8788776,5,USB_disconnected,WLC_disconnected,3.391,72.800,31.759,99.89,99.89,34.829,0.000,0.000,0.000,3.377
1753440569.1114657,5,USB_disconnected,WLC_disconnected,3.391,71.600,31.759,99.89,99.89,34.829,0.000,0.000,0.000,3.377
1753440570.3440108,5,USB_disconnected,WLC_disconnected,3.391,69.200,31.759,99.89,99.89,34.829,0.000,0.000,0.000,3.371
1753440571.5771456,5,USB_disconnected,WLC_disconnected,3.387,74.800,31.759,99.89,99.89,34.829,0.000,0.000,0.000,3.371
1753440572.809692,5,USB_disconnected,WLC_disconnected,3.387,77.200,31.759,99.88,99.88,34.829,0.000,0.000,0.000,3.371
1753440574.042828,5,USB_disconnected,WLC_disconnected,3.387,72.800,31.759,99.88,99.88,34.829,0.000,0.000,0.000,3.371
1753440575.2751033,5,USB_disconnected,WLC_disconnected,3.387,70.000,31.759,99.88,99.88,34.829,0.000,0.000,0.000,3.371
1753440576.5075777,5,USB_disconnected,WLC_disconnected,3.382,69.200,31.759,99.88,99.88,34.829,0.000,0.000,0.000,3.371
1753440577.741088,5,USB_disconnected,WLC_disconnected,3.382,72.800,31.759,99.87,99.87,34.829,0.000,0.000,0.000,3.371
1753440578.9732852,5,USB_disconnected,WLC_disconnected,3.382,69.200,31.759,99.87,99.87,34.829,0.000,0.000,0.000,3.371
1753440580.2061217,5,USB_disconnected,WLC_disconnected,3.382,69.200,31.759,99.87,99.87,34.829,0.000,0.000,0.000,3.371
1753440581.4392836,5,USB_disconnected,WLC_disconnected,3.382,59.600,31.759,99.87,99.87,34.829,0.000,0.000,0.000,3.371
1753440582.6716511,5,USB_disconnected,WLC_disconnected,3.377,58.800,31.759,99.86,99.86,34.829,0.000,0.000,0.000,3.371
1753440583.904199,5,USB_disconnected,WLC_disconnected,3.377,72.000,31.759,99.86,99.86,34.037,0.000,0.000,0.000,3.365
1753440585.1374738,5,USB_disconnected,WLC_disconnected,3.377,76.800,31.759,99.86,99.86,34.037,0.000,0.000,0.000,3.365
