time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753545361.402397,5,USB_connected,WLC_disconnected,3.069,0.000,36.013,0.00,0.00,39.585,0.000,0.000,0.000,4.736
1753545362.5019183,5,USB_connected,WLC_disconnected,3.069,0.000,35.898,0.00,0.00,39.585,0.000,0.000,0.000,4.736
1753545363.6028109,5,USB_connected,WLC_disconnected,3.069,0.000,35.898,0.00,0.00,39.585,0.000,0.000,0.000,4.742
1753545364.7039216,5,USB_connected,WLC_disconnected,3.074,0.000,35.898,0.00,0.00,38.792,0.000,0.000,0.000,4.742
1753545365.8058412,5,USB_connected,WLC_disconnected,3.069,0.000,35.898,0.00,0.00,39.585,0.000,0.000,0.000,4.711
1753545366.9067886,5,USB_connected,WLC_disconnected,3.069,0.000,35.898,0.00,0.00,39.585,0.000,0.000,0.000,4.704
1753545368.0077984,5,USB_connected,WLC_disconnected,3.069,0.000,35.898,0.00,0.00,39.585,0.000,0.000,0.000,4.704
1753545369.109327,5,USB_connected,WLC_disconnected,3.069,0.000,35.898,0.00,0.00,39.585,0.000,0.000,0.000,4.723
1753545370.2106423,5,USB_connected,WLC_disconnected,3.069,0.000,35.898,0.00,0.00,39.585,0.000,0.000,0.000,4.711
1753545371.3116066,5,USB_connected,WLC_disconnected,3.069,0.000,35.898,0.00,0.00,39.585,0.000,0.000,0.000,4.704
1753545372.4129887,5,USB_connected,WLC_disconnected,3.069,0.000,36.013,0.00,0.00,39.585,0.000,0.000,0.000,4.742
1753545373.5142415,5,USB_connected,WLC_disconnected,3.069,0.000,35.898,0.00,0.00,39.585,0.000,0.000,0.000,4.717
1753545374.6154475,5,USB_connected,WLC_disconnected,3.074,0.000,36.013,0.00,0.00,39.585,0.000,0.000,0.000,4.736
1753545375.7166345,5,USB_connected,WLC_disconnected,3.069,0.000,35.898,0.00,0.00,39.585,0.000,0.000,0.000,4.711
1753545376.8179796,5,USB_connected,WLC_disconnected,3.074,0.000,36.013,0.00,0.00,39.585,0.000,0.000,0.000,4.704
1753545377.9192595,5,USB_connected,WLC_disconnected,3.069,0.000,35.898,0.00,0.00,39.585,0.000,0.000,0.000,4.785
1753545379.0200088,5,USB_connected,WLC_disconnected,3.069,0.000,35.898,0.00,0.00,39.585,0.000,0.000,0.000,4.711
1753545380.122128,5,USB_connected,WLC_disconnected,3.069,0.000,35.898,0.00,0.00,38.792,0.000,0.000,0.000,4.711
1753545381.222741,5,USB_connected,WLC_disconnected,3.069,0.000,35.898,0.00,0.00,39.585,0.000,0.000,0.000,4.723
1753545382.324145,5,USB_connected,WLC_disconnected,3.064,0.000,36.013,0.00,0.00,39.585,0.000,0.000,0.000,4.723
1753545383.4257145,5,USB_connected,WLC_disconnected,3.074,0.000,35.898,0.00,0.00,39.585,0.000,0.000,0.000,4.717
1753545384.5273144,5,USB_connected,WLC_disconnected,3.069,0.000,36.013,0.00,0.00,39.585,0.000,0.000,0.000,4.704
1753545385.6283185,5,USB_connected,WLC_disconnected,3.069,0.000,35.898,0.00,0.00,39.585,0.000,0.000,0.000,4.711
1753545386.7300415,5,USB_connected,WLC_disconnected,3.074,0.000,36.013,0.00,0.00,38.792,0.000,0.000,0.000,4.723
1753545387.831197,5,USB_connected,WLC_disconnected,3.069,0.000,36.013,0.00,0.00,39.585,0.000,0.000,0.000,4.704
1753545388.931701,5,USB_connected,WLC_disconnected,3.069,0.000,36.013,0.00,0.00,39.585,0.000,0.000,0.000,4.785
1753545390.03306,5,USB_connected,WLC_disconnected,3.074,0.000,36.013,0.00,0.00,39.585,0.000,0.000,0.000,4.704
1753545391.1342428,5,USB_connected,WLC_disconnected,3.069,0.000,36.013,0.00,0.00,39.585,0.000,0.000,0.000,4.704
1753545392.2353,5,USB_connected,WLC_disconnected,3.069,0.000,35.898,0.00,0.00,39.585,0.000,0.000,0.000,4.742
1753545393.3368142,5,USB_connected,WLC_disconnected,3.069,0.000,36.013,0.00,0.00,39.585,0.000,0.000,0.000,4.723
1753545394.437868,5,USB_connected,WLC_disconnected,3.069,0.000,36.013,0.00,0.00,38.792,0.000,0.000,0.000,4.742
1753545395.539651,5,USB_connected,WLC_disconnected,3.069,0.000,36.013,0.00,0.00,39.585,0.000,0.000,0.000,4.736
1753545396.640559,5,USB_connected,WLC_disconnected,3.064,0.000,35.898,0.00,0.00,39.585,0.000,0.000,0.000,4.711
1753545397.7418156,5,USB_connected,WLC_disconnected,3.074,0.000,36.013,0.00,0.00,40.377,0.000,0.000,0.000,4.704
1753545398.8430886,5,USB_connected,WLC_disconnected,3.074,0.000,36.013,0.00,0.00,39.585,0.000,0.000,0.000,4.736
1753545399.94446,5,USB_connected,WLC_disconnected,3.069,0.000,35.898,0.00,0.00,39.585,0.000,0.000,0.000,4.729
1753545401.04614,5,USB_connected,WLC_disconnected,3.069,0.000,35.898,0.00,0.00,38.792,0.000,0.000,0.000,4.704
1753545402.1470027,5,USB_connected,WLC_disconnected,3.069,0.000,35.898,0.00,0.00,39.585,0.000,0.000,0.000,4.711
