time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753560035.7562711,5,USB_connected,WLC_disconnected,3.455,0.000,39.793,100.00,100.00,45.133,0.000,0.000,0.000,4.661
1753560036.927428,5,USB_disconnected,WLC_disconnected,3.406,149.600,39.672,99.96,99.96,43.548,0.000,0.000,0.000,3.390
1753560038.1110744,5,USB_disconnected,WLC_disconnected,3.396,148.400,39.793,99.95,99.95,44.340,0.000,0.000,0.000,3.390
1753560039.2942584,5,USB_disconnected,WLC_disconnected,3.391,143.600,39.672,99.94,99.94,43.548,0.000,0.000,0.000,3.371
1753560040.477676,5,USB_disconnected,WLC_disconnected,3.387,131.600,39.672,99.93,99.93,43.548,0.000,0.000,0.000,3.371
1753560041.6611004,5,USB_disconnected,WLC_disconnected,3.387,130.800,39.793,99.93,99.93,43.548,0.000,0.000,0.000,3.365
1753560042.8444183,5,USB_disconnected,WLC_disconnected,3.387,130.800,39.672,99.92,99.92,43.548,0.000,0.000,0.000,3.352
1753560044.0281525,5,USB_disconnected,WLC_disconnected,3.382,133.200,39.793,99.92,99.92,43.548,0.000,0.000,0.000,3.346
1753560045.2114496,5,USB_disconnected,WLC_disconnected,3.377,144.400,39.672,99.91,99.91,43.548,0.000,0.000,0.000,3.358
1753560046.3948596,5,USB_disconnected,WLC_disconnected,3.377,148.400,39.793,99.91,99.91,43.548,0.000,0.000,0.000,3.352
1753560047.5782378,5,USB_disconnected,WLC_disconnected,3.372,142.800,39.672,99.90,99.90,43.548,0.000,0.000,0.000,3.352
1753560048.7615228,5,USB_disconnected,WLC_disconnected,3.372,145.200,39.793,99.90,99.90,43.548,0.000,0.000,0.000,3.346
1753560049.9451299,5,USB_disconnected,WLC_disconnected,3.372,146.000,39.672,99.89,99.89,43.548,0.000,0.000,0.000,3.346
1753560051.1287982,5,USB_disconnected,WLC_disconnected,3.372,138.800,39.672,99.89,99.89,43.548,0.000,0.000,0.000,3.346
1753560052.312477,5,USB_disconnected,WLC_disconnected,3.362,148.400,39.793,99.89,99.89,43.548,0.000,0.000,0.000,3.340
1753560053.495435,5,USB_disconnected,WLC_disconnected,3.362,147.600,39.672,99.88,99.88,42.755,0.000,0.000,0.000,3.333
1753560054.6788442,5,USB_disconnected,WLC_disconnected,3.362,140.400,39.672,99.88,99.88,43.548,0.000,0.000,0.000,3.333
1753560055.8619645,5,USB_disconnected,WLC_disconnected,3.357,146.000,39.672,99.87,99.87,43.548,0.000,0.000,0.000,3.333
1753560057.0458708,5,USB_disconnected,WLC_disconnected,3.357,140.400,39.672,99.87,99.87,43.548,0.000,0.000,0.000,3.333
1753560058.2294393,5,USB_disconnected,WLC_disconnected,3.357,146.000,39.672,99.86,99.86,43.548,0.000,0.000,0.000,3.333
1753560059.4125514,5,USB_disconnected,WLC_disconnected,3.357,143.600,39.793,99.86,99.86,42.755,0.000,0.000,0.000,3.321
1753560060.5960941,5,USB_disconnected,WLC_disconnected,3.352,148.400,39.672,99.85,99.85,43.548,0.000,0.000,0.000,3.321
1753560061.779542,5,USB_disconnected,WLC_disconnected,3.352,143.600,39.672,99.85,99.85,42.755,0.000,0.000,0.000,3.327
