time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1752839626.5660143,3,USB_disconnected,WLC_disconnected,3.000,129.200,26.549,0.00,0.00,30.866,0.000,0.000,0.000,2.966
1752839627.651127,5,USB_connected,WLC_disconnected,3.049,0.000,26.549,0.00,0.00,30.866,0.000,0.000,0.000,4.661
1752839628.7355094,5,USB_connected,WLC_disconnected,3.059,0.000,26.653,0.00,0.00,31.659,0.000,0.000,0.000,4.655
1752839629.8205442,5,USB_connected,WLC_disconnected,3.059,0.000,26.445,0.00,0.00,31.659,0.000,0.000,0.000,4.679
1752839630.9052553,5,USB_connected,WLC_disconnected,3.064,0.000,26.549,0.00,0.00,31.659,0.000,0.000,0.000,4.661
1752839631.9902847,5,USB_connected,WLC_disconnected,3.069,0.000,26.549,0.00,0.00,30.866,0.000,0.000,0.000,4.661
1752839633.075147,5,USB_connected,WLC_disconnected,3.069,0.000,26.549,0.00,0.00,30.866,0.000,0.000,0.000,4.661
1752839634.1596773,5,USB_connected,WLC_disconnected,3.074,0.000,26.549,0.00,0.00,30.866,0.000,0.000,0.000,4.655
1752839635.244727,5,USB_connected,WLC_disconnected,3.074,0.000,26.549,0.00,0.00,30.866,0.000,0.000,0.000,4.661
1752839636.329646,5,USB_connected,WLC_disconnected,3.074,0.000,26.549,0.00,0.00,31.659,0.000,0.000,0.000,4.673
1752839637.4144924,5,USB_connected,WLC_disconnected,3.074,0.000,26.549,0.00,0.00,31.659,0.000,0.000,0.000,4.655
1752839638.4990916,5,USB_connected,WLC_disconnected,3.079,0.000,26.549,0.00,0.00,31.659,0.000,0.000,0.000,4.661
1752839639.583959,5,USB_connected,WLC_disconnected,3.079,0.000,26.445,0.00,0.00,31.659,0.000,0.000,0.000,4.673
1752839640.6686723,5,USB_connected,WLC_disconnected,3.079,0.000,26.549,0.00,0.00,31.659,0.000,0.000,0.000,4.655
1752839641.7538593,5,USB_connected,WLC_disconnected,3.079,0.000,26.549,0.00,0.00,31.659,0.000,0.000,0.000,4.655
1752839642.8383734,5,USB_connected,WLC_disconnected,3.079,0.000,26.549,0.00,0.00,31.659,0.000,0.000,0.000,4.661
1752839643.9231784,5,USB_connected,WLC_disconnected,3.084,0.000,26.549,0.00,0.00,31.659,0.000,0.000,0.000,4.686
1752839645.0078423,5,USB_connected,WLC_disconnected,3.084,0.000,26.549,0.00,0.00,31.659,0.000,0.000,0.000,4.661
1752839646.093148,5,USB_connected,WLC_disconnected,3.084,0.000,26.549,0.00,0.00,31.659,0.000,0.000,0.000,4.655
1752839647.177637,5,USB_connected,WLC_disconnected,3.079,0.000,26.445,0.00,0.00,31.659,0.000,0.000,0.000,4.673
1752839648.262568,5,USB_connected,WLC_disconnected,3.084,0.000,26.549,0.00,0.00,31.659,0.000,0.000,0.000,4.673
