time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753414411.4429147,5,USB_disconnected,WLC_disconnected,3.323,124.000,17.835,63.80,63.80,33.244,0.000,0.000,0.000,3.290
1753414412.6425366,5,USB_disconnected,WLC_disconnected,3.313,118.400,17.735,63.83,63.80,29.281,0.000,0.000,0.000,3.284
1753414413.8425767,5,USB_disconnected,WLC_disconnected,3.308,121.600,17.735,63.86,63.80,28.488,0.000,0.000,0.000,3.277
1753414415.0421805,5,USB_disconnected,WLC_disconnected,3.304,114.800,17.735,63.89,63.80,27.696,0.000,0.000,0.000,3.271
1753414416.2424798,5,USB_disconnected,WLC_disconnected,3.304,118.400,17.735,63.92,63.80,26.903,0.000,0.000,0.000,3.271
1753414417.4423473,5,USB_disconnected,WLC_disconnected,3.304,120.400,17.735,63.94,63.80,26.903,0.000,0.000,0.000,3.271
1753414418.6421952,5,USB_disconnected,WLC_disconnected,3.304,114.400,17.735,63.96,63.80,26.111,0.000,0.000,0.000,3.265
1753414419.841933,5,USB_disconnected,WLC_disconnected,3.294,118.800,17.735,63.99,63.80,26.111,0.000,0.000,0.000,3.271
1753414421.041832,5,USB_disconnected,WLC_disconnected,3.299,111.600,17.735,64.01,63.80,26.111,0.000,0.000,0.000,3.265
1753414422.2417235,5,USB_disconnected,WLC_disconnected,3.294,114.000,17.735,64.03,63.80,25.318,0.000,0.000,0.000,3.265
1753414423.4417012,5,USB_disconnected,WLC_disconnected,3.294,114.400,17.735,64.05,63.80,25.318,0.000,0.000,0.000,3.259
1753414424.6413727,5,USB_disconnected,WLC_disconnected,3.294,115.600,17.735,64.07,63.80,25.318,0.000,0.000,0.000,3.265
1753414425.8412395,5,USB_disconnected,WLC_disconnected,3.294,121.600,17.735,64.09,63.80,25.318,0.000,0.000,0.000,3.259
1753414427.0411575,5,USB_disconnected,WLC_disconnected,3.289,117.200,17.635,64.11,63.80,24.525,0.000,0.000,0.000,3.259
1753414428.2411482,5,USB_disconnected,WLC_disconnected,3.289,113.200,17.735,64.12,63.80,24.525,0.000,0.000,0.000,3.259
1753414429.4408934,5,USB_disconnected,WLC_disconnected,3.289,116.800,17.635,64.14,63.80,24.525,0.000,0.000,0.000,3.259
1753414430.6405663,5,USB_disconnected,WLC_disconnected,3.289,113.200,17.635,64.16,63.80,24.525,0.000,0.000,0.000,3.259
1753414431.8407466,5,USB_disconnected,WLC_disconnected,3.289,117.600,17.635,64.18,63.80,24.525,0.000,0.000,0.000,3.259
1753414433.0405614,5,USB_disconnected,WLC_disconnected,3.289,113.200,17.635,64.19,63.80,24.525,0.000,0.000,0.000,3.259
1753414434.2403502,5,USB_disconnected,WLC_disconnected,3.289,117.600,17.635,64.21,63.80,24.525,0.000,0.000,0.000,3.252
1753414435.4400375,5,USB_disconnected,WLC_disconnected,3.284,115.600,17.635,64.23,63.80,23.733,0.000,0.000,0.000,3.259
1753414436.6399531,5,USB_disconnected,WLC_disconnected,3.284,121.600,17.635,64.24,63.80,23.733,0.000,0.000,0.000,3.252
1753414437.8397613,5,USB_disconnected,WLC_disconnected,3.284,124.800,17.635,64.26,63.80,23.733,0.000,0.000,0.000,3.252
1753414439.040141,5,USB_disconnected,WLC_disconnected,3.284,121.600,17.635,64.27,63.80,23.733,0.000,0.000,0.000,3.252
1753414440.2397048,5,USB_disconnected,WLC_disconnected,3.284,118.800,17.535,64.29,63.80,23.733,0.000,0.000,0.000,3.252
1753414441.4396496,5,USB_disconnected,WLC_disconnected,3.284,122.800,17.635,64.30,63.80,23.733,0.000,0.000,0.000,3.252
1753414442.63956,5,USB_disconnected,WLC_disconnected,3.284,120.400,17.635,64.32,63.80,23.733,0.000,0.000,0.000,3.252
1753414443.8392246,5,USB_disconnected,WLC_disconnected,3.284,111.600,17.535,64.33,63.80,23.733,0.000,0.000,0.000,3.252
1753414445.0392866,5,USB_disconnected,WLC_disconnected,3.279,118.800,17.535,64.35,63.80,22.940,0.000,0.000,0.000,3.246
1753414446.2390022,5,USB_disconnected,WLC_disconnected,3.284,114.400,17.535,64.36,63.80,22.940,0.000,0.000,0.000,3.252
1753414447.4388745,5,USB_disconnected,WLC_disconnected,3.284,116.800,17.535,64.38,63.80,22.940,0.000,0.000,0.000,3.252
1753414448.6389165,5,USB_disconnected,WLC_disconnected,3.284,116.400,17.535,64.39,63.80,22.940,0.000,0.000,0.000,3.252
1753414449.8386285,5,USB_disconnected,WLC_disconnected,3.279,117.600,17.535,64.40,63.80,22.940,0.000,0.000,0.000,3.246
1753414451.0385942,5,USB_disconnected,WLC_disconnected,3.284,114.800,17.535,64.42,63.80,22.940,0.000,0.000,0.000,3.252
1753414452.2385232,5,USB_disconnected,WLC_disconnected,3.279,116.800,17.535,64.43,63.80,22.940,0.000,0.000,0.000,3.246
1753414453.4384243,5,USB_disconnected,WLC_disconnected,3.284,128.000,17.535,64.45,63.80,22.940,0.000,0.000,0.000,3.246
1753414454.6383212,5,USB_disconnected,WLC_disconnected,3.279,117.600,17.535,64.46,63.80,22.940,0.000,0.000,0.000,3.246
1753414455.8382072,5,USB_disconnected,WLC_disconnected,3.279,121.600,17.535,64.47,63.80,22.940,0.000,0.000,0.000,3.246
1753414457.0380359,5,USB_disconnected,WLC_disconnected,3.279,121.600,17.535,64.49,63.80,22.940,0.000,0.000,0.000,3.246
1753414458.237944,5,USB_disconnected,WLC_disconnected,3.279,114.000,17.535,64.50,63.80,22.148,0.000,0.000,0.000,3.246
1753414459.4377313,5,USB_disconnected,WLC_disconnected,3.279,111.200,17.436,64.51,63.80,22.940,0.000,0.000,0.000,3.246
1753414460.6373632,5,USB_disconnected,WLC_disconnected,3.279,118.000,17.436,64.52,63.80,22.148,0.000,0.000,0.000,3.246
1753414461.837439,5,USB_disconnected,WLC_disconnected,3.279,114.800,17.436,64.54,63.80,22.148,0.000,0.000,0.000,3.246
1753414463.0372396,5,USB_disconnected,WLC_disconnected,3.279,116.400,17.436,64.55,63.80,22.940,0.000,0.000,0.000,3.246
1753414464.2374043,5,USB_disconnected,WLC_disconnected,3.279,114.800,17.436,64.56,63.80,22.148,0.000,0.000,0.000,3.246
1753414465.4372396,5,USB_disconnected,WLC_disconnected,3.279,118.000,17.436,64.57,63.80,22.148,0.000,0.000,0.000,3.246
1753414466.6368668,5,USB_disconnected,WLC_disconnected,3.274,112.800,17.436,64.58,63.80,22.148,0.000,0.000,0.000,3.246
1753414467.8365023,5,USB_disconnected,WLC_disconnected,3.279,116.400,17.436,64.59,63.80,22.148,0.000,0.000,0.000,3.246
1753414469.0367372,5,USB_disconnected,WLC_disconnected,3.274,114.400,17.436,64.61,63.80,22.148,0.000,0.000,0.000,3.246
1753414470.2367473,5,USB_disconnected,WLC_disconnected,3.274,116.800,17.436,64.62,63.80,22.148,0.000,0.000,0.000,3.246
1753414471.4360752,5,USB_disconnected,WLC_disconnected,3.274,114.800,17.436,64.63,63.80,22.148,0.000,0.000,0.000,3.246
1753414472.6359446,5,USB_disconnected,WLC_disconnected,3.279,118.800,17.336,64.64,63.80,22.148,0.000,0.000,0.000,3.240
1753414473.8360126,5,USB_disconnected,WLC_disconnected,3.274,128.000,17.336,64.65,63.80,22.148,0.000,0.000,0.000,3.246
1753414475.0356045,5,USB_disconnected,WLC_disconnected,3.274,121.600,17.336,64.66,63.80,22.148,0.000,0.000,0.000,3.246
1753414476.235425,5,USB_disconnected,WLC_disconnected,3.274,112.400,17.336,64.67,63.80,22.148,0.000,0.000,0.000,3.240
1753414477.4356413,5,USB_disconnected,WLC_disconnected,3.274,121.600,17.336,64.68,63.80,22.148,0.000,0.000,0.000,3.240
1753414478.6355472,5,USB_disconnected,WLC_disconnected,3.274,114.000,17.336,64.69,63.80,22.148,0.000,0.000,0.000,3.240
1753414479.8353949,5,USB_disconnected,WLC_disconnected,3.274,117.600,17.336,64.70,63.80,22.148,0.000,0.000,0.000,3.240
1753414481.0351355,5,USB_disconnected,WLC_disconnected,3.279,114.800,17.336,64.71,63.80,22.148,0.000,0.000,0.000,3.240
1753414482.2348278,5,USB_disconnected,WLC_disconnected,3.274,121.600,17.336,64.73,63.80,22.148,0.000,0.000,0.000,3.240
