time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753436945.8141553,5,USB_connected,WLC_disconnected,3.523,0.000,31.977,100.00,100.00,38.000,0.000,0.000,0.000,4.655
1753436946.915239,5,USB_connected,WLC_disconnected,3.523,0.000,32.087,100.00,100.00,38.000,0.000,0.000,0.000,4.655
1753436948.0168808,5,USB_connected,WLC_disconnected,3.523,0.000,32.087,100.00,100.00,38.000,0.000,0.000,0.000,4.686
1753436949.1181703,5,USB_connected,WLC_disconnected,3.523,0.000,31.977,100.00,100.00,38.000,0.000,0.000,0.000,4.655
1753436950.219372,5,USB_connected,WLC_disconnected,3.523,0.000,31.977,100.00,100.00,38.792,0.000,0.000,0.000,4.655
1753436951.3207152,5,USB_connected,WLC_disconnected,3.523,0.000,31.977,100.00,100.00,38.000,0.000,0.000,0.000,4.686
1753436952.421474,5,USB_connected,WLC_disconnected,3.523,0.000,32.087,100.00,100.00,38.000,0.000,0.000,0.000,4.661
1753436953.5226123,5,USB_connected,WLC_disconnected,3.523,0.000,31.977,100.00,100.00,38.000,0.000,0.000,0.000,4.661
1753436954.6242645,5,USB_connected,WLC_disconnected,3.523,0.000,31.977,100.00,100.00,38.000,0.000,0.000,0.000,4.661
1753436955.725369,5,USB_connected,WLC_disconnected,3.519,0.000,31.977,100.00,100.00,38.000,0.000,0.000,0.000,4.648
1753436956.8267336,5,USB_connected,WLC_disconnected,3.523,0.000,31.977,100.00,100.00,37.207,0.000,0.000,0.000,4.655
1753436957.9280286,5,USB_connected,WLC_disconnected,3.523,0.000,31.977,100.00,100.00,38.000,0.000,0.000,0.000,4.686
1753436959.0291483,5,USB_connected,WLC_disconnected,3.519,0.000,31.977,100.00,100.00,38.000,0.000,0.000,0.000,4.698
1753436960.130339,5,USB_connected,WLC_disconnected,3.523,0.000,31.977,100.00,100.00,38.000,0.000,0.000,0.000,4.655
1753436961.2317593,5,USB_connected,WLC_disconnected,3.514,0.000,32.087,100.00,100.00,38.792,0.000,0.000,0.000,4.655
1753436962.3329034,5,USB_connected,WLC_disconnected,3.519,0.000,31.977,100.00,100.00,38.000,0.000,0.000,0.000,4.661
1753436963.4338307,5,USB_connected,WLC_disconnected,3.519,0.000,31.977,100.00,100.00,38.000,0.000,0.000,0.000,4.642
1753436964.5355577,5,USB_connected,WLC_disconnected,3.519,0.000,31.977,100.00,100.00,38.000,0.000,0.000,0.000,4.648
1753436965.6367207,5,USB_connected,WLC_disconnected,3.519,0.000,31.977,100.00,100.00,38.792,0.000,0.000,0.000,4.655
1753436966.7380683,5,USB_connected,WLC_disconnected,3.519,0.000,31.977,100.00,100.00,38.000,0.000,0.000,0.000,4.661
1753436967.839507,5,USB_connected,WLC_disconnected,3.519,0.000,31.977,100.00,100.00,38.000,0.000,0.000,0.000,4.642
1753436968.9406123,5,USB_connected,WLC_disconnected,3.514,0.000,31.977,100.00,100.00,38.000,0.000,0.000,0.000,4.655
1753436970.0416892,5,USB_connected,WLC_disconnected,3.519,0.000,31.977,100.00,100.00,38.000,0.000,0.000,0.000,4.673
1753436971.1431348,5,USB_connected,WLC_disconnected,3.514,0.000,31.977,100.00,100.00,38.000,0.000,0.000,0.000,4.673
1753436972.2443392,5,USB_connected,WLC_disconnected,3.519,0.000,31.977,100.00,100.00,37.207,0.000,0.000,0.000,4.673
1753436973.345624,5,USB_connected,WLC_disconnected,3.514,0.000,31.977,100.00,100.00,37.207,0.000,0.000,0.000,4.661
1753436974.4468393,5,USB_connected,WLC_disconnected,3.519,0.000,31.977,100.00,100.00,38.000,0.000,0.000,0.000,4.661
1753436975.5478737,5,USB_connected,WLC_disconnected,3.519,0.000,31.977,100.00,100.00,38.000,0.000,0.000,0.000,4.655
1753436976.6493757,5,USB_connected,WLC_disconnected,3.514,0.000,31.977,100.00,100.00,38.000,0.000,0.000,0.000,4.642
1753436977.750595,5,USB_connected,WLC_disconnected,3.519,0.000,31.977,100.00,100.00,38.000,0.000,0.000,0.000,4.648
1753436978.8517187,5,USB_connected,WLC_disconnected,3.519,0.000,31.868,100.00,100.00,38.000,0.000,0.000,0.000,4.655
1753436979.9530635,5,USB_connected,WLC_disconnected,3.519,0.000,31.868,100.00,100.00,38.000,0.000,0.000,0.000,4.655
1753436981.0542636,5,USB_connected,WLC_disconnected,3.514,0.000,31.977,100.00,100.00,38.000,0.000,0.000,0.000,4.655
1753436982.155808,5,USB_connected,WLC_disconnected,3.514,0.000,31.977,100.00,100.00,38.000,0.000,0.000,0.000,4.648
1753436983.2570348,5,USB_connected,WLC_disconnected,3.514,0.000,31.868,100.00,100.00,38.000,0.000,0.000,0.000,4.661
1753436984.3580494,5,USB_connected,WLC_disconnected,3.514,0.000,31.977,100.00,100.00,38.000,0.000,0.000,0.000,4.648
1753436985.4595635,5,USB_connected,WLC_disconnected,3.514,0.000,31.977,100.00,100.00,38.792,0.000,0.000,0.000,4.661
1753436986.5608978,5,USB_connected,WLC_disconnected,3.514,0.000,31.977,100.00,100.00,38.000,0.000,0.000,0.000,4.655
1753436987.6620576,5,USB_connected,WLC_disconnected,3.519,0.000,31.868,100.00,100.00,38.792,0.000,0.000,0.000,4.661
1753436988.763332,5,USB_connected,WLC_disconnected,3.514,0.000,31.868,100.00,100.00,38.792,0.000,0.000,0.000,4.661
1753436989.8645432,5,USB_connected,WLC_disconnected,3.514,0.000,31.977,100.00,100.00,38.000,0.000,0.000,0.000,4.655
