time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1752679610.644789,5,USB_disconnected,WLC_disconnected,3.362,140.400,26.757,99.96,99.96,31.659,0.000,0.000,0.000,3.340
1752679611.8441553,5,USB_disconnected,WLC_disconnected,3.382,67.600,26.757,99.91,99.91,30.866,0.000,0.000,0.000,3.371
1752679613.0439558,5,USB_disconnected,WLC_disconnected,3.377,71.200,26.653,99.89,99.89,30.866,0.000,0.000,0.000,3.371
1752679614.2441726,5,USB_disconnected,WLC_disconnected,3.377,69.200,26.757,99.88,99.88,30.866,0.000,0.000,0.000,3.365
1752679615.4438438,5,USB_disconnected,WLC_disconnected,3.377,71.200,26.653,99.87,99.87,30.866,0.000,0.000,0.000,3.365
1752679616.644005,5,USB_disconnected,WLC_disconnected,3.372,69.200,26.757,99.86,99.86,30.866,0.000,0.000,0.000,3.365
1752679617.8437824,5,USB_disconnected,WLC_disconnected,3.372,71.200,26.653,99.85,99.85,30.866,0.000,0.000,0.000,3.365
1752679619.0437403,5,USB_disconnected,WLC_disconnected,3.372,69.200,26.653,99.85,99.85,30.866,0.000,0.000,0.000,3.358
1752679620.243049,5,USB_disconnected,WLC_disconnected,3.372,70.400,26.653,99.84,99.84,30.866,0.000,0.000,0.000,3.358
1752679621.443528,5,USB_disconnected,WLC_disconnected,3.372,69.200,26.653,99.84,99.84,30.074,0.000,0.000,0.000,3.358
1752679622.6433995,5,USB_disconnected,WLC_disconnected,3.367,70.000,26.653,99.83,99.83,30.074,0.000,0.000,0.000,3.358
1752679623.842851,5,USB_disconnected,WLC_disconnected,3.367,68.800,26.653,99.83,99.83,30.074,0.000,0.000,0.000,3.358
1752679625.0427814,5,USB_disconnected,WLC_disconnected,3.367,68.400,26.653,99.82,99.82,30.074,0.000,0.000,0.000,3.358
1752679626.2425659,5,USB_disconnected,WLC_disconnected,3.367,66.400,26.653,99.82,99.82,30.074,0.000,0.000,0.000,3.352
1752679627.442594,5,USB_disconnected,WLC_disconnected,3.367,76.800,26.653,99.81,99.81,30.074,0.000,0.000,0.000,3.352
1752679628.6419826,5,USB_disconnected,WLC_disconnected,3.367,66.800,26.653,99.81,99.81,30.074,0.000,0.000,0.000,3.352
1752679629.8422737,5,USB_disconnected,WLC_disconnected,3.362,76.800,26.653,99.80,99.80,30.074,0.000,0.000,0.000,3.352
1752679631.0420775,5,USB_disconnected,WLC_disconnected,3.362,71.200,26.653,99.80,99.80,30.074,0.000,0.000,0.000,3.352
1752679632.2418768,5,USB_disconnected,WLC_disconnected,3.362,76.800,26.653,99.80,99.80,30.074,0.000,0.000,0.000,3.352
1752679633.4419577,5,USB_disconnected,WLC_disconnected,3.357,72.000,26.653,99.79,99.79,30.074,0.000,0.000,0.000,3.346
1752679634.641546,5,USB_disconnected,WLC_disconnected,3.362,76.800,26.653,99.79,99.79,30.074,0.000,0.000,0.000,3.346
1752679635.8416512,5,USB_disconnected,WLC_disconnected,3.362,66.800,26.653,99.79,99.79,30.074,0.000,0.000,0.000,3.346
1752679637.041457,5,USB_disconnected,WLC_disconnected,3.362,70.800,26.653,99.78,99.78,30.074,0.000,0.000,0.000,3.346
1752679638.2411704,5,USB_disconnected,WLC_disconnected,3.357,71.200,26.549,99.78,99.78,30.074,0.000,0.000,0.000,3.346
1752679639.4412127,5,USB_disconnected,WLC_disconnected,3.357,70.800,26.549,99.77,99.77,30.074,0.000,0.000,0.000,3.340
1752679640.6410077,5,USB_disconnected,WLC_disconnected,3.357,71.200,26.549,99.77,99.77,30.074,0.000,0.000,0.000,3.340
1752679641.8409789,5,USB_disconnected,WLC_disconnected,3.357,70.800,26.549,99.77,99.77,30.074,0.000,0.000,0.000,3.340
