time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1752727893.554831,5,USB_connected,WLC_disconnected,3.201,-189.900,26.445,0.38,0.38,39.585,0.000,0.000,0.000,4.337
1752727894.771103,5,USB_connected,WLC_disconnected,3.201,-190.350,26.445,0.61,0.61,41.170,0.000,0.000,0.000,4.337
1752727895.9872284,5,USB_connected,WLC_disconnected,3.206,-190.350,26.445,0.76,0.76,41.170,0.000,0.000,0.000,4.337
1752727897.2201946,5,USB_connected,WLC_disconnected,3.211,-190.350,26.445,0.90,0.90,41.170,0.000,0.000,0.000,4.337
1752727898.4361486,5,USB_connected,WLC_disconnected,3.211,-190.350,26.445,1.00,1.00,41.963,0.000,0.000,0.000,4.331
1752727899.6528003,5,USB_connected,WLC_disconnected,3.216,-190.350,26.445,1.10,1.10,42.755,0.000,0.000,0.000,4.337
1752727900.8690605,5,USB_connected,WLC_disconnected,3.216,-190.350,26.445,1.18,1.18,42.755,0.000,0.000,0.000,4.343
1752727902.101895,5,USB_connected,WLC_disconnected,3.216,-190.350,26.445,1.26,1.26,43.548,0.000,0.000,0.000,4.343
1752727903.3182244,5,USB_connected,WLC_disconnected,3.216,-190.575,26.445,1.33,1.33,42.755,0.000,0.000,0.000,4.343
1752727904.5343134,5,USB_connected,WLC_disconnected,3.220,-190.350,26.445,1.40,1.40,43.548,0.000,0.000,0.000,4.343
1752727905.7506137,5,USB_connected,WLC_disconnected,3.220,-190.125,26.549,1.46,1.46,43.548,0.000,0.000,0.000,4.343
1752727906.9675424,5,USB_connected,WLC_disconnected,3.225,-190.350,26.445,1.52,1.52,43.548,0.000,0.000,0.000,4.343
1752727908.1998734,5,USB_connected,WLC_disconnected,3.225,-190.575,26.549,1.58,1.58,43.548,0.000,0.000,0.000,4.349
1752727909.416262,5,USB_connected,WLC_disconnected,3.225,-190.350,26.549,1.64,1.64,43.548,0.000,0.000,0.000,4.343
1752727910.6322021,5,USB_connected,WLC_disconnected,3.225,-190.575,26.549,1.69,1.69,44.340,0.000,0.000,0.000,4.337
1752727911.848641,5,USB_connected,WLC_disconnected,3.230,-190.575,26.549,1.74,1.74,44.340,0.000,0.000,0.000,4.355
