time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753175758.3699455,5,USB_connected,WLC_disconnected,3.592,0.000,22.350,100.00,100.00,28.488,0.000,0.000,0.000,4.630
1753175759.4707308,5,USB_connected,WLC_disconnected,3.587,0.000,22.249,100.00,100.00,27.696,0.000,0.000,0.000,4.623
1753175760.5555341,5,USB_connected,WLC_disconnected,3.587,0.000,22.249,100.00,100.00,27.696,0.000,0.000,0.000,4.630
1753175761.6405249,5,USB_connected,WLC_disconnected,3.582,0.000,22.350,100.00,100.00,28.488,0.000,0.000,0.000,4.636
1753175762.7418385,5,USB_connected,WLC_disconnected,3.582,0.000,22.249,100.00,100.00,27.696,0.000,0.000,0.000,4.636
1753175763.842989,5,USB_connected,WLC_disconnected,3.577,0.000,22.350,100.00,100.00,27.696,0.000,0.000,0.000,4.636
1753175764.9442997,5,USB_connected,WLC_disconnected,3.577,0.000,22.249,100.00,100.00,27.696,0.000,0.000,0.000,4.636
1753175766.0456474,5,USB_connected,WLC_disconnected,3.572,0.000,22.249,100.00,100.00,27.696,0.000,0.000,0.000,4.630
1753175767.1306791,5,USB_connected,WLC_disconnected,3.567,0.000,22.249,100.00,100.00,27.696,0.000,0.000,0.000,4.642
1753175768.231849,5,USB_connected,WLC_disconnected,3.567,0.000,22.249,100.00,100.00,27.696,0.000,0.000,0.000,4.630
1753175769.333225,5,USB_connected,WLC_disconnected,3.567,0.000,22.249,100.00,100.00,27.696,0.000,0.000,0.000,4.636
1753175770.4342563,5,USB_connected,WLC_disconnected,3.563,0.000,22.249,100.00,100.00,27.696,0.000,0.000,0.000,4.630
1753175771.5188553,5,USB_connected,WLC_disconnected,3.563,0.000,22.350,100.00,100.00,26.903,0.000,0.000,0.000,4.655
1753175772.6201704,5,USB_connected,WLC_disconnected,3.558,0.000,22.249,100.00,100.00,27.696,0.000,0.000,0.000,4.636
1753175773.721354,5,USB_connected,WLC_disconnected,3.558,0.000,22.249,100.00,100.00,27.696,0.000,0.000,0.000,4.636
1753175774.8227165,5,USB_connected,WLC_disconnected,3.553,0.000,22.249,100.00,100.00,26.903,0.000,0.000,0.000,4.636
1753175775.9239697,5,USB_connected,WLC_disconnected,3.553,0.000,22.249,100.00,100.00,27.696,0.000,0.000,0.000,4.642
1753175777.025022,5,USB_connected,WLC_disconnected,3.553,0.000,22.249,100.00,100.00,27.696,0.000,0.000,0.000,4.636
1753175778.1265492,5,USB_connected,WLC_disconnected,3.548,0.000,22.249,100.00,100.00,26.903,0.000,0.000,0.000,4.642
1753175779.2114458,5,USB_connected,WLC_disconnected,3.548,0.000,22.249,100.00,100.00,27.696,0.000,0.000,0.000,4.630
1753175780.3126593,5,USB_connected,WLC_disconnected,3.548,0.000,22.249,100.00,100.00,26.903,0.000,0.000,0.000,4.630
1753175781.3972602,5,USB_connected,WLC_disconnected,3.548,0.000,22.249,100.00,100.00,26.903,0.000,0.000,0.000,4.630
1753175782.4982297,5,USB_connected,WLC_disconnected,3.543,0.000,22.249,100.00,100.00,26.903,0.000,0.000,0.000,4.630
1753175783.5997736,5,USB_connected,WLC_disconnected,3.543,0.000,22.249,100.00,100.00,27.696,0.000,0.000,0.000,4.630
1753175784.7010293,5,USB_connected,WLC_disconnected,3.543,0.000,22.249,100.00,100.00,26.903,0.000,0.000,0.000,4.630
1753175785.8020585,5,USB_connected,WLC_disconnected,3.538,0.000,22.148,100.00,100.00,27.696,0.000,0.000,0.000,4.648
1753175786.9035282,5,USB_connected,WLC_disconnected,3.538,0.000,22.148,100.00,100.00,26.903,0.000,0.000,0.000,4.630
1753175788.0046952,5,USB_connected,WLC_disconnected,3.538,0.000,22.148,100.00,100.00,26.903,0.000,0.000,0.000,4.636
1753175789.1060207,5,USB_connected,WLC_disconnected,3.538,0.000,22.249,100.00,100.00,27.696,0.000,0.000,0.000,4.636
1753175790.2074864,5,USB_connected,WLC_disconnected,3.533,0.000,22.249,100.00,100.00,27.696,0.000,0.000,0.000,4.636
1753175791.3087158,5,USB_connected,WLC_disconnected,3.533,0.000,22.249,100.00,100.00,27.696,0.000,0.000,0.000,4.623
1753175792.4099538,5,USB_connected,WLC_disconnected,3.533,0.000,22.148,100.00,100.00,26.903,0.000,0.000,0.000,4.630
1753175793.510924,5,USB_connected,WLC_disconnected,3.533,0.000,22.249,100.00,100.00,27.696,0.000,0.000,0.000,4.623
1753175794.612081,5,USB_connected,WLC_disconnected,3.533,0.000,22.148,100.00,100.00,27.696,0.000,0.000,0.000,4.630
