time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753256992.5380619,5,USB_connected,WLC_disconnected,3.240,-190.350,17.037,0.51,0.51,29.281,0.000,0.000,0.000,4.349
1753256993.7704172,5,USB_connected,WLC_disconnected,3.250,-190.350,17.037,0.78,0.78,30.074,0.000,0.000,0.000,4.343
1753256995.0032363,5,USB_connected,WLC_disconnected,3.250,-190.575,17.037,0.98,0.98,30.866,0.000,0.000,0.000,4.343
1753256996.219777,5,USB_connected,WLC_disconnected,3.255,-190.575,17.136,1.13,1.13,31.659,0.000,0.000,0.000,4.331
1753256997.452007,5,USB_connected,WLC_disconnected,3.255,-190.800,17.136,1.26,1.26,32.451,0.000,0.000,0.000,4.349
1753256998.685272,5,USB_connected,WLC_disconnected,3.260,-190.350,17.136,1.37,1.37,31.659,0.000,0.000,0.000,4.349
1753256999.9178755,5,USB_connected,WLC_disconnected,3.260,-190.575,17.136,1.47,1.47,33.244,0.000,0.000,0.000,4.343
1753257001.150496,5,USB_connected,WLC_disconnected,3.264,-190.800,17.037,1.56,1.56,32.451,0.000,0.000,0.000,4.343
1753257002.383532,5,USB_connected,WLC_disconnected,3.264,-190.575,17.136,1.65,1.65,33.244,0.000,0.000,0.000,4.349
1753257003.6324224,5,USB_connected,WLC_disconnected,3.269,-190.800,17.136,1.73,1.73,33.244,0.000,0.000,0.000,4.343
1753257004.865226,5,USB_connected,WLC_disconnected,3.269,-190.575,17.037,1.81,1.81,33.244,0.000,0.000,0.000,4.343
1753257006.0983381,5,USB_connected,WLC_disconnected,3.269,-190.575,17.136,1.88,1.88,33.244,0.000,0.000,0.000,4.362
1753257007.3305616,5,USB_connected,WLC_disconnected,3.269,-190.800,17.037,1.95,1.95,33.244,0.000,0.000,0.000,4.362
1753257008.5634243,5,USB_connected,WLC_disconnected,3.274,-190.575,17.136,2.02,2.02,33.244,0.000,0.000,0.000,4.362
1753257009.7963705,5,USB_connected,WLC_disconnected,3.274,-191.025,17.136,2.08,2.08,34.037,0.000,0.000,0.000,4.349
1753257011.0288854,5,USB_connected,WLC_disconnected,3.274,-191.025,17.136,2.15,2.15,34.037,0.000,0.000,0.000,4.349
1753257012.261695,5,USB_connected,WLC_disconnected,3.274,-190.575,17.136,2.21,2.21,34.037,0.000,0.000,0.000,4.349
1753257013.4939475,5,USB_connected,WLC_disconnected,3.279,-191.025,17.136,2.26,2.26,34.037,0.000,0.000,0.000,4.355
1753257014.7272947,5,USB_connected,WLC_disconnected,3.279,-190.800,17.037,2.33,2.33,34.037,0.000,0.000,0.000,4.349
1753257015.9600747,5,USB_connected,WLC_disconnected,3.279,-191.025,17.136,2.38,2.38,34.037,0.000,0.000,0.000,4.349
1753257017.1923246,5,USB_connected,WLC_disconnected,3.279,-191.250,17.037,2.43,2.43,34.037,0.000,0.000,0.000,4.349
1753257018.4250023,5,USB_connected,WLC_disconnected,3.284,-190.575,17.136,2.49,2.49,34.037,0.000,0.000,0.000,4.355
1753257019.658041,5,USB_connected,WLC_disconnected,3.284,-191.025,17.136,2.54,2.54,34.829,0.000,0.000,0.000,4.349
1753257020.8908489,5,USB_connected,WLC_disconnected,3.284,-190.800,17.037,2.59,2.59,34.829,0.000,0.000,0.000,4.349
1753257022.1234179,5,USB_connected,WLC_disconnected,3.284,-190.800,17.136,2.65,2.65,34.829,0.000,0.000,0.000,4.355
1753257023.3566618,5,USB_connected,WLC_disconnected,3.284,-191.025,17.136,2.70,2.70,34.037,0.000,0.000,0.000,4.349
1753257024.5890143,5,USB_connected,WLC_disconnected,3.284,-191.025,17.136,2.74,2.74,34.037,0.000,0.000,0.000,4.349
1753257025.8216808,5,USB_connected,WLC_disconnected,3.289,-191.250,17.136,2.80,2.80,34.037,0.000,0.000,0.000,4.337
1753257027.054939,5,USB_connected,WLC_disconnected,3.289,-190.800,17.136,2.84,2.84,34.829,0.000,0.000,0.000,4.355
1753257028.2871299,5,USB_connected,WLC_disconnected,3.289,-191.250,17.236,2.89,2.89,34.829,0.000,0.000,0.000,4.343
1753257029.5199466,5,USB_connected,WLC_disconnected,3.289,-191.250,17.136,2.94,2.94,34.829,0.000,0.000,0.000,4.337
1753257030.7527063,5,USB_connected,WLC_disconnected,3.294,-191.250,17.136,2.98,2.98,34.829,0.000,0.000,0.000,4.349
1753257031.9856956,5,USB_connected,WLC_disconnected,3.294,-191.025,17.136,3.03,3.03,34.037,0.000,0.000,0.000,4.349
1753257033.2185419,5,USB_connected,WLC_disconnected,3.289,-191.025,17.136,3.07,3.07,34.829,0.000,0.000,0.000,4.349
1753257034.4507267,5,USB_connected,WLC_disconnected,3.294,-191.025,17.136,3.11,3.11,34.829,0.000,0.000,0.000,4.349
1753257035.6836708,5,USB_connected,WLC_disconnected,3.294,-190.800,17.136,3.16,3.16,34.829,0.000,0.000,0.000,4.349
1753257036.9162436,5,USB_connected,WLC_disconnected,3.294,-191.025,17.136,3.20,3.20,34.829,0.000,0.000,0.000,4.343
1753257038.1488566,5,USB_connected,WLC_disconnected,3.294,-191.025,17.136,3.24,3.24,35.622,0.000,0.000,0.000,4.337
1753257039.3821287,5,USB_connected,WLC_disconnected,3.294,-191.250,17.136,3.28,3.28,34.829,0.000,0.000,0.000,4.343
1753257040.61456,5,USB_connected,WLC_disconnected,3.294,-191.250,17.136,3.33,3.33,34.829,0.000,0.000,0.000,4.355
1753257041.83068,5,USB_connected,WLC_disconnected,3.299,-191.250,17.136,3.37,3.37,34.829,0.000,0.000,0.000,4.362
1753257043.0635467,5,USB_connected,WLC_disconnected,3.299,-191.025,17.236,3.41,3.41,34.829,0.000,0.000,0.000,4.362
1753257044.2964911,5,USB_connected,WLC_disconnected,3.299,-191.025,17.136,3.45,3.45,34.829,0.000,0.000,0.000,4.343
1753257045.5290163,5,USB_connected,WLC_disconnected,3.299,-191.025,17.136,3.49,3.49,35.622,0.000,0.000,0.000,4.343
1753257046.7620125,5,USB_connected,WLC_disconnected,3.299,-191.250,17.136,3.53,3.53,34.829,0.000,0.000,0.000,4.349
1753257047.9949,5,USB_connected,WLC_disconnected,3.299,-191.475,17.236,3.56,3.56,34.829,0.000,0.000,0.000,4.349
1753257049.2275715,5,USB_connected,WLC_disconnected,3.299,-191.250,17.136,3.61,3.61,34.829,0.000,0.000,0.000,4.343
1753257050.460456,5,USB_connected,WLC_disconnected,3.304,-191.250,17.236,3.64,3.64,34.829,0.000,0.000,0.000,4.349
1753257051.6930685,5,USB_connected,WLC_disconnected,3.299,-191.250,17.236,3.68,3.68,34.829,0.000,0.000,0.000,4.343
1753257052.9257324,5,USB_connected,WLC_disconnected,3.304,-191.475,17.136,3.72,3.72,35.622,0.000,0.000,0.000,4.349
1753257054.158705,5,USB_connected,WLC_disconnected,3.304,-191.250,17.236,3.76,3.76,34.829,0.000,0.000,0.000,4.349
1753257055.391009,5,USB_connected,WLC_disconnected,3.304,-191.250,17.136,3.79,3.79,34.829,0.000,0.000,0.000,4.343
1753257056.6239307,5,USB_connected,WLC_disconnected,3.304,-191.025,17.136,3.83,3.83,35.622,0.000,0.000,0.000,4.349
1753257057.8568332,5,USB_connected,WLC_disconnected,3.304,-190.800,17.236,3.87,3.87,34.829,0.000,0.000,0.000,4.343
1753257059.0893235,5,USB_connected,WLC_disconnected,3.308,-191.250,17.236,3.90,3.90,35.622,0.000,0.000,0.000,4.343
1753257060.3220587,5,USB_connected,WLC_disconnected,3.308,-191.250,17.136,3.94,3.94,34.829,0.000,0.000,0.000,4.349
1753257061.554976,5,USB_connected,WLC_disconnected,3.308,-191.475,17.236,3.98,3.98,34.829,0.000,0.000,0.000,4.343
1753257062.7876847,5,USB_connected,WLC_disconnected,3.308,-191.475,17.236,4.01,4.01,34.829,0.000,0.000,0.000,4.349
1753257064.0206,5,USB_connected,WLC_disconnected,3.308,-191.475,17.236,4.05,4.05,34.829,0.000,0.000,0.000,4.337
1753257065.2529914,5,USB_connected,WLC_disconnected,3.308,-191.475,17.236,4.08,4.08,35.622,0.000,0.000,0.000,4.349
