time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753286456.990523,5,USB_connected,WLC_disconnected,3.108,0.000,15.841,0.00,0.00,19.770,0.000,0.000,0.000,4.704
1753286458.09134,5,USB_connected,WLC_disconnected,3.108,0.000,15.841,0.00,0.00,19.770,0.000,0.000,0.000,4.717
1753286459.1928887,5,USB_connected,WLC_disconnected,3.103,0.000,15.841,0.00,0.00,19.770,0.000,0.000,0.000,4.717
1753286460.2942965,5,USB_connected,WLC_disconnected,3.103,0.000,15.841,0.00,0.00,19.770,0.000,0.000,0.000,4.704
1753286461.395505,5,USB_connected,WLC_disconnected,3.108,0.000,15.841,0.00,0.00,19.770,0.000,0.000,0.000,4.723
1753286462.4965959,5,USB_connected,WLC_disconnected,3.108,0.000,15.841,0.00,0.00,19.770,0.000,0.000,0.000,4.717
1753286463.5980053,5,USB_connected,WLC_disconnected,3.108,0.000,15.841,0.00,0.00,19.770,0.000,0.000,0.000,4.723
1753286464.6994498,5,USB_connected,WLC_disconnected,3.108,0.000,15.940,0.00,0.00,19.770,0.000,0.000,0.000,4.723
1753286465.8002872,5,USB_connected,WLC_disconnected,3.108,0.000,15.841,0.00,0.00,19.770,0.000,0.000,0.000,4.711
1753286466.9018598,5,USB_connected,WLC_disconnected,3.108,0.000,15.841,0.00,0.00,19.770,0.000,0.000,0.000,4.717
1753286468.0031407,5,USB_connected,WLC_disconnected,3.108,0.000,15.841,0.00,0.00,19.770,0.000,0.000,0.000,4.717
1753286469.104196,5,USB_connected,WLC_disconnected,3.108,0.000,15.940,0.00,0.00,19.770,0.000,0.000,0.000,4.717
1753286470.2057104,5,USB_connected,WLC_disconnected,3.108,0.000,15.841,0.00,0.00,19.770,0.000,0.000,0.000,4.736
1753286471.306426,5,USB_connected,WLC_disconnected,3.108,0.000,15.841,0.00,0.00,19.770,0.000,0.000,0.000,4.704
1753286472.4078796,5,USB_connected,WLC_disconnected,3.108,0.000,15.841,0.00,0.00,19.770,0.000,0.000,0.000,4.717
1753286473.5091922,5,USB_connected,WLC_disconnected,3.108,0.000,15.841,0.00,0.00,19.770,0.000,0.000,0.000,4.704
1753286474.610395,5,USB_connected,WLC_disconnected,3.108,0.000,15.841,0.00,0.00,19.770,0.000,0.000,0.000,4.704
1753286475.71169,5,USB_connected,WLC_disconnected,3.108,0.000,15.940,0.00,0.00,19.770,0.000,0.000,0.000,4.717
1753286476.8127944,5,USB_connected,WLC_disconnected,3.108,0.000,15.841,0.00,0.00,19.770,0.000,0.000,0.000,4.711
1753286477.9142382,5,USB_connected,WLC_disconnected,3.108,0.000,15.841,0.00,0.00,19.770,0.000,0.000,0.000,4.711
1753286479.0154855,5,USB_connected,WLC_disconnected,3.108,0.000,15.841,0.00,0.00,19.770,0.000,0.000,0.000,4.711
1753286480.1167636,5,USB_connected,WLC_disconnected,3.108,0.000,15.940,0.00,0.00,19.770,0.000,0.000,0.000,4.717
1753286481.218102,5,USB_connected,WLC_disconnected,3.108,0.000,15.841,0.00,0.00,19.770,0.000,0.000,0.000,4.717
1753286482.3190777,5,USB_connected,WLC_disconnected,3.108,0.000,15.841,0.00,0.00,19.770,0.000,0.000,0.000,4.717
1753286483.4207401,5,USB_connected,WLC_disconnected,3.108,0.000,15.841,0.00,0.00,19.770,0.000,0.000,0.000,4.704
