time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753470316.3691702,5,USB_connected,WLC_disconnected,3.626,0.000,32.197,100.00,100.00,38.000,0.000,0.000,0.000,4.655
1753470317.469821,5,USB_connected,WLC_disconnected,3.616,0.000,32.197,100.00,100.00,38.000,0.000,0.000,0.000,4.648
1753470318.5711162,5,USB_connected,WLC_disconnected,3.616,0.000,32.197,100.00,100.00,38.000,0.000,0.000,0.000,4.648
1753470319.67271,5,USB_connected,WLC_disconnected,3.611,0.000,32.197,100.00,100.00,37.207,0.000,0.000,0.000,4.648
1753470320.7739155,5,USB_connected,WLC_disconnected,3.607,0.000,32.087,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753470321.8753247,5,USB_connected,WLC_disconnected,3.602,0.000,32.197,100.00,100.00,38.000,0.000,0.000,0.000,4.648
1753470322.9764342,5,USB_connected,WLC_disconnected,3.597,0.000,32.197,100.00,100.00,37.207,0.000,0.000,0.000,4.642
1753470324.0775003,5,USB_connected,WLC_disconnected,3.597,0.000,32.087,100.00,100.00,37.207,0.000,0.000,0.000,4.655
1753470325.1790466,5,USB_connected,WLC_disconnected,3.592,0.000,32.197,100.00,100.00,37.207,0.000,0.000,0.000,4.648
1753470326.2806473,5,USB_connected,WLC_disconnected,3.592,0.000,32.197,100.00,100.00,38.000,0.000,0.000,0.000,4.642
1753470327.3816137,5,USB_connected,WLC_disconnected,3.587,0.000,32.197,100.00,100.00,37.207,0.000,0.000,0.000,4.648
1753470328.482799,5,USB_connected,WLC_disconnected,3.582,0.000,32.087,100.00,100.00,37.207,0.000,0.000,0.000,4.655
1753470329.584169,5,USB_connected,WLC_disconnected,3.582,0.000,32.087,100.00,100.00,37.207,0.000,0.000,0.000,4.648
1753470330.6853356,5,USB_connected,WLC_disconnected,3.582,0.000,32.087,100.00,100.00,38.000,0.000,0.000,0.000,4.648
1753470331.7866602,5,USB_connected,WLC_disconnected,3.577,0.000,32.087,100.00,100.00,38.000,0.000,0.000,0.000,4.642
1753470332.887878,5,USB_connected,WLC_disconnected,3.577,0.000,32.087,100.00,100.00,37.207,0.000,0.000,0.000,4.642
1753470333.9888382,5,USB_connected,WLC_disconnected,3.572,0.000,32.087,100.00,100.00,37.207,0.000,0.000,0.000,4.648
1753470335.0902886,5,USB_connected,WLC_disconnected,3.572,0.000,32.197,100.00,100.00,37.207,0.000,0.000,0.000,4.648
1753470336.1916575,5,USB_connected,WLC_disconnected,3.567,0.000,32.197,100.00,100.00,38.000,0.000,0.000,0.000,4.648
1753470337.2928824,5,USB_connected,WLC_disconnected,3.567,0.000,32.087,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753470338.3940098,5,USB_connected,WLC_disconnected,3.567,0.000,32.087,100.00,100.00,37.207,0.000,0.000,0.000,4.661
1753470339.4952683,5,USB_connected,WLC_disconnected,3.563,0.000,32.087,100.00,100.00,37.207,0.000,0.000,0.000,4.642
1753470340.5965526,5,USB_connected,WLC_disconnected,3.563,0.000,32.087,100.00,100.00,37.207,0.000,0.000,0.000,4.648
1753470341.6978981,5,USB_connected,WLC_disconnected,3.563,0.000,32.087,100.00,100.00,37.207,0.000,0.000,0.000,4.642
1753470342.7992005,5,USB_connected,WLC_disconnected,3.563,0.000,32.087,100.00,100.00,38.000,0.000,0.000,0.000,4.648
1753470343.9003675,5,USB_connected,WLC_disconnected,3.558,0.000,32.087,100.00,100.00,37.207,0.000,0.000,0.000,4.642
1753470345.0017128,5,USB_connected,WLC_disconnected,3.558,0.000,32.087,100.00,100.00,37.207,0.000,0.000,0.000,4.648
1753470346.1029577,5,USB_connected,WLC_disconnected,3.558,0.000,32.087,100.00,100.00,37.207,0.000,0.000,0.000,4.648
1753470347.2041972,5,USB_connected,WLC_disconnected,3.553,0.000,32.087,100.00,100.00,37.207,0.000,0.000,0.000,4.655
1753470348.305341,5,USB_connected,WLC_disconnected,3.553,0.000,32.087,100.00,100.00,37.207,0.000,0.000,0.000,4.648
1753470349.406295,5,USB_connected,WLC_disconnected,3.553,0.000,32.087,100.00,100.00,37.207,0.000,0.000,0.000,4.648
1753470350.5077205,5,USB_connected,WLC_disconnected,3.553,0.000,32.087,100.00,100.00,38.000,0.000,0.000,0.000,4.648
1753470351.609061,5,USB_connected,WLC_disconnected,3.548,0.000,32.087,100.00,100.00,37.207,0.000,0.000,0.000,4.667
1753470352.7103724,5,USB_connected,WLC_disconnected,3.548,0.000,32.087,100.00,100.00,37.207,0.000,0.000,0.000,4.642
1753470353.8116326,5,USB_connected,WLC_disconnected,3.548,0.000,32.087,100.00,100.00,36.414,0.000,0.000,0.000,4.642
1753470354.9126194,5,USB_connected,WLC_disconnected,3.548,0.000,31.977,100.00,100.00,37.207,0.000,0.000,0.000,4.648
