time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753560035.8300452,5,USB_connected,WLC_disconnected,3.445,0.000,39.068,100.00,100.00,44.340,0.000,0.000,0.000,4.661
1753560037.01306,5,USB_disconnected,WLC_disconnected,3.391,138.400,39.068,99.95,99.95,43.548,0.000,0.000,0.000,3.365
1753560038.1963189,5,USB_disconnected,WLC_disconnected,3.391,144.400,39.068,99.94,99.94,43.548,0.000,0.000,0.000,3.365
1753560039.3800719,5,USB_disconnected,WLC_disconnected,3.382,140.400,39.068,99.93,99.93,43.548,0.000,0.000,0.000,3.358
1753560040.5634522,5,USB_disconnected,WLC_disconnected,3.377,146.800,39.068,99.92,99.92,42.755,0.000,0.000,0.000,3.352
1753560041.747263,5,USB_disconnected,WLC_disconnected,3.377,147.200,39.068,99.92,99.92,43.548,0.000,0.000,0.000,3.352
1753560042.9304562,5,USB_disconnected,WLC_disconnected,3.377,147.200,39.068,99.91,99.91,42.755,0.000,0.000,0.000,3.346
1753560044.113907,5,USB_disconnected,WLC_disconnected,3.372,142.800,39.068,99.90,99.90,42.755,0.000,0.000,0.000,3.340
1753560045.2970254,5,USB_disconnected,WLC_disconnected,3.372,148.000,39.068,99.90,99.90,42.755,0.000,0.000,0.000,3.340
1753560046.4805744,5,USB_disconnected,WLC_disconnected,3.367,147.200,39.068,99.89,99.89,42.755,0.000,0.000,0.000,3.340
1753560047.6643164,5,USB_disconnected,WLC_disconnected,3.362,154.400,39.068,99.89,99.89,42.755,0.000,0.000,0.000,3.333
1753560048.8476083,5,USB_disconnected,WLC_disconnected,3.362,140.800,39.068,99.88,99.88,42.755,0.000,0.000,0.000,3.333
1753560050.0309675,5,USB_disconnected,WLC_disconnected,3.362,144.400,39.068,99.88,99.88,42.755,0.000,0.000,0.000,3.333
1753560051.214319,5,USB_disconnected,WLC_disconnected,3.357,147.200,39.068,99.87,99.87,42.755,0.000,0.000,0.000,3.333
1753560052.3978999,5,USB_disconnected,WLC_disconnected,3.357,143.600,39.068,99.86,99.86,42.755,0.000,0.000,0.000,3.327
1753560053.5808818,5,USB_disconnected,WLC_disconnected,3.352,147.200,39.068,99.86,99.86,42.755,0.000,0.000,0.000,3.327
1753560054.7647626,5,USB_disconnected,WLC_disconnected,3.352,153.600,39.068,99.85,99.85,42.755,0.000,0.000,0.000,3.321
1753560055.9484818,5,USB_disconnected,WLC_disconnected,3.352,143.600,39.068,99.85,99.85,42.755,0.000,0.000,0.000,3.321
1753560057.1316202,5,USB_disconnected,WLC_disconnected,3.347,144.800,39.068,99.84,99.84,42.755,0.000,0.000,0.000,3.321
1753560058.3150492,5,USB_disconnected,WLC_disconnected,3.347,143.200,39.068,99.84,99.84,42.755,0.000,0.000,0.000,3.321
1753560059.4984896,5,USB_disconnected,WLC_disconnected,3.347,142.000,39.068,99.83,99.83,42.755,0.000,0.000,0.000,3.321
1753560060.6817496,5,USB_disconnected,WLC_disconnected,3.347,143.200,39.068,99.82,99.82,42.755,0.000,0.000,0.000,3.321
1753560061.8655734,5,USB_disconnected,WLC_disconnected,3.338,151.600,39.068,99.82,99.82,42.755,0.000,0.000,0.000,3.315
1753560063.0487735,5,USB_disconnected,WLC_disconnected,3.343,145.600,39.068,99.81,99.81,42.755,0.000,0.000,0.000,3.309
1753560064.232226,5,USB_disconnected,WLC_disconnected,3.338,143.200,39.068,99.80,99.80,42.755,0.000,0.000,0.000,3.309
1753560065.4156587,5,USB_disconnected,WLC_disconnected,3.338,144.000,39.068,99.80,99.80,42.755,0.000,0.000,0.000,3.309
1753560066.598963,5,USB_disconnected,WLC_disconnected,3.333,153.600,39.068,99.79,99.79,42.755,0.000,0.000,0.000,3.309
1753560067.7825778,5,USB_disconnected,WLC_disconnected,3.333,140.400,39.068,99.78,99.78,42.755,0.000,0.000,0.000,3.309
1753560068.9658165,5,USB_disconnected,WLC_disconnected,3.328,153.600,39.068,99.77,99.77,42.755,0.000,0.000,0.000,3.302
1753560070.1496956,5,USB_disconnected,WLC_disconnected,3.333,139.600,39.068,99.77,99.77,42.755,0.000,0.000,0.000,3.302
1753560071.3328354,5,USB_disconnected,WLC_disconnected,3.328,144.400,39.068,99.76,99.76,42.755,0.000,0.000,0.000,3.302
1753560072.5161502,5,USB_disconnected,WLC_disconnected,3.328,143.200,39.068,99.75,99.75,42.755,0.000,0.000,0.000,3.302
1753560073.6996639,5,USB_disconnected,WLC_disconnected,3.328,140.400,39.068,99.74,99.74,42.755,0.000,0.000,0.000,3.296
1753560074.8831728,5,USB_disconnected,WLC_disconnected,3.328,143.200,38.948,99.74,99.74,42.755,0.000,0.000,0.000,3.296
1753560076.0668507,5,USB_disconnected,WLC_disconnected,3.323,140.400,39.068,99.73,99.73,42.755,0.000,0.000,0.000,3.296
1753560077.250265,5,USB_disconnected,WLC_disconnected,3.323,147.200,39.068,99.72,99.72,42.755,0.000,0.000,0.000,3.296
1753560078.4334211,5,USB_disconnected,WLC_disconnected,3.323,153.600,39.068,99.71,99.71,42.755,0.000,0.000,0.000,3.296
1753560079.616687,5,USB_disconnected,WLC_disconnected,3.318,140.400,39.068,99.70,99.70,41.963,0.000,0.000,0.000,3.290
1753560080.8001173,5,USB_disconnected,WLC_disconnected,3.323,153.600,39.068,99.70,99.70,42.755,0.000,0.000,0.000,3.296
1753560081.9840496,5,USB_disconnected,WLC_disconnected,3.318,146.000,39.068,99.69,99.69,42.755,0.000,0.000,0.000,3.290
1753560083.1673965,5,USB_disconnected,WLC_disconnected,3.318,140.400,39.068,99.68,99.68,41.963,0.000,0.000,0.000,3.290
1753560084.3506277,5,USB_disconnected,WLC_disconnected,3.313,147.200,38.948,99.67,99.67,42.755,0.000,0.000,0.000,3.290
1753560085.5341582,5,USB_disconnected,WLC_disconnected,3.313,144.400,39.068,99.66,99.66,42.755,0.000,0.000,0.000,3.290
1753560086.7173688,5,USB_disconnected,WLC_disconnected,3.313,147.200,38.948,99.65,99.65,42.755,0.000,0.000,0.000,3.284
1753560087.9009569,5,USB_disconnected,WLC_disconnected,3.313,144.400,38.948,99.64,99.64,42.755,0.000,0.000,0.000,3.284
1753560089.084577,5,USB_disconnected,WLC_disconnected,3.308,147.200,39.068,99.63,99.63,42.755,0.000,0.000,0.000,3.284
1753560090.268179,5,USB_disconnected,WLC_disconnected,3.308,146.000,39.068,99.62,99.62,41.963,0.000,0.000,0.000,3.277
1753560091.4510581,5,USB_disconnected,WLC_disconnected,3.308,148.000,39.068,99.61,99.61,42.755,0.000,0.000,0.000,3.284
1753560092.6345642,5,USB_disconnected,WLC_disconnected,3.308,140.400,39.068,99.60,99.60,41.963,0.000,0.000,0.000,3.284
1753560093.8181348,5,USB_disconnected,WLC_disconnected,3.308,144.400,38.948,99.59,99.59,42.755,0.000,0.000,0.000,3.277
1753560095.0015633,5,USB_disconnected,WLC_disconnected,3.308,140.400,38.948,99.58,99.58,42.755,0.000,0.000,0.000,3.277
1753560096.18516,5,USB_disconnected,WLC_disconnected,3.308,146.000,39.068,99.57,99.57,42.755,0.000,0.000,0.000,3.277
1753560097.368862,5,USB_disconnected,WLC_disconnected,3.304,144.800,39.068,99.56,99.56,42.755,0.000,0.000,0.000,3.277
1753560098.551991,5,USB_disconnected,WLC_disconnected,3.304,143.600,38.948,99.55,99.55,42.755,0.000,0.000,0.000,3.277
1753560099.735163,5,USB_disconnected,WLC_disconnected,3.304,144.400,38.948,99.54,99.54,42.755,0.000,0.000,0.000,3.277
1753560100.9187953,5,USB_disconnected,WLC_disconnected,3.304,140.400,39.068,99.53,99.53,41.963,0.000,0.000,0.000,3.271
1753560102.1022408,5,USB_disconnected,WLC_disconnected,3.299,145.600,38.948,99.51,99.51,41.963,0.000,0.000,0.000,3.277
1753560103.285846,5,USB_disconnected,WLC_disconnected,3.299,140.400,39.068,99.50,99.50,41.963,0.000,0.000,0.000,3.271
1753560104.4695532,5,USB_disconnected,WLC_disconnected,3.299,146.000,38.948,99.49,99.49,41.963,0.000,0.000,0.000,3.271
1753560105.6526196,5,USB_disconnected,WLC_disconnected,3.299,148.000,38.948,99.48,99.48,42.755,0.000,0.000,0.000,3.271
1753560106.8355896,5,USB_disconnected,WLC_disconnected,3.299,142.000,38.948,99.47,99.47,42.755,0.000,0.000,0.000,3.271
1753560108.0190632,5,USB_disconnected,WLC_disconnected,3.299,145.600,39.068,99.45,99.45,42.755,0.000,0.000,0.000,3.265
