time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1752744500.091831,5,USB_disconnected,WLC_disconnected,3.269,132.800,25.514,88.87,88.87,30.074,0.000,0.000,0.000,3.234
1752744501.2918134,5,USB_disconnected,WLC_disconnected,3.274,113.200,25.514,88.86,88.86,30.074,0.000,0.000,0.000,3.246
1752744502.4916825,5,USB_disconnected,WLC_disconnected,3.274,116.800,25.514,88.85,88.85,30.074,0.000,0.000,0.000,3.246
1752744503.691163,5,USB_disconnected,WLC_disconnected,3.274,114.800,25.514,88.84,88.84,30.074,0.000,0.000,0.000,3.240
1752744504.8915422,5,USB_disconnected,WLC_disconnected,3.274,111.600,25.514,88.83,88.83,30.074,0.000,0.000,0.000,3.240
1752744506.091143,5,USB_disconnected,WLC_disconnected,3.274,113.200,25.514,88.82,88.82,30.074,0.000,0.000,0.000,3.246
1752744507.2912478,5,USB_disconnected,WLC_disconnected,3.274,116.800,25.514,88.81,88.81,30.074,0.000,0.000,0.000,3.246
1752744508.491139,5,USB_disconnected,WLC_disconnected,3.274,117.200,25.514,88.80,88.80,30.074,0.000,0.000,0.000,3.246
1752744509.690971,5,USB_disconnected,WLC_disconnected,3.274,111.600,25.514,88.79,88.79,30.074,0.000,0.000,0.000,3.240
1752744510.8907645,5,USB_disconnected,WLC_disconnected,3.274,118.000,25.514,88.78,88.78,30.074,0.000,0.000,0.000,3.240
1752744512.0907238,5,USB_disconnected,WLC_disconnected,3.274,115.200,25.514,88.77,88.77,30.074,0.000,0.000,0.000,3.240
1752744513.2906501,5,USB_disconnected,WLC_disconnected,3.274,120.000,25.514,88.76,88.76,30.074,0.000,0.000,0.000,3.246
1752744514.4903615,5,USB_disconnected,WLC_disconnected,3.274,116.400,25.514,88.75,88.75,30.074,0.000,0.000,0.000,3.240
1752744515.690241,5,USB_disconnected,WLC_disconnected,3.274,117.200,25.514,88.74,88.74,30.074,0.000,0.000,0.000,3.246
1752744516.8900514,5,USB_disconnected,WLC_disconnected,3.274,119.200,25.411,88.73,88.73,30.074,0.000,0.000,0.000,3.240
1752744518.0900123,5,USB_disconnected,WLC_disconnected,3.274,116.800,25.514,88.72,88.72,30.074,0.000,0.000,0.000,3.246
1752744519.2898881,5,USB_disconnected,WLC_disconnected,3.274,116.400,25.411,88.71,88.71,30.074,0.000,0.000,0.000,3.246
1752744520.4898076,5,USB_disconnected,WLC_disconnected,3.269,117.600,25.514,88.70,88.70,30.074,0.000,0.000,0.000,3.240
1752744521.6891847,5,USB_disconnected,WLC_disconnected,3.274,116.400,25.514,88.69,88.69,30.074,0.000,0.000,0.000,3.240
1752744522.8896167,5,USB_disconnected,WLC_disconnected,3.274,117.600,25.411,88.68,88.68,30.074,0.000,0.000,0.000,3.240
1752744524.089435,5,USB_disconnected,WLC_disconnected,3.274,118.800,25.514,88.67,88.67,30.074,0.000,0.000,0.000,3.246
1752744525.2889552,5,USB_disconnected,WLC_disconnected,3.274,121.600,25.514,88.66,88.66,30.074,0.000,0.000,0.000,3.240
1752744526.4886432,5,USB_disconnected,WLC_disconnected,3.274,118.800,25.411,88.65,88.65,30.074,0.000,0.000,0.000,3.246
1752744527.68905,5,USB_disconnected,WLC_disconnected,3.274,121.600,25.514,88.64,88.64,30.074,0.000,0.000,0.000,3.240
1752744528.8888443,5,USB_disconnected,WLC_disconnected,3.274,118.800,25.411,88.63,88.63,30.074,0.000,0.000,0.000,3.246
1752744530.0886986,5,USB_disconnected,WLC_disconnected,3.274,121.600,25.514,88.62,88.62,30.074,0.000,0.000,0.000,3.240
1752744531.2886384,5,USB_disconnected,WLC_disconnected,3.274,118.800,25.411,88.61,88.61,30.074,0.000,0.000,0.000,3.246
1752744532.4885569,5,USB_disconnected,WLC_disconnected,3.274,113.200,25.514,88.60,88.60,30.074,0.000,0.000,0.000,3.246
1752744533.6884956,5,USB_disconnected,WLC_disconnected,3.274,118.800,25.411,88.59,88.59,30.074,0.000,0.000,0.000,3.246
1752744534.8882418,5,USB_disconnected,WLC_disconnected,3.274,114.400,25.411,88.58,88.58,30.074,0.000,0.000,0.000,3.240
1752744536.0880876,5,USB_disconnected,WLC_disconnected,3.274,121.600,25.411,88.57,88.57,30.074,0.000,0.000,0.000,3.246
1752744537.2880132,5,USB_disconnected,WLC_disconnected,3.274,112.800,25.514,88.56,88.56,30.074,0.000,0.000,0.000,3.240
1752744538.4878683,5,USB_disconnected,WLC_disconnected,3.274,114.000,25.514,88.55,88.55,30.074,0.000,0.000,0.000,3.246
1752744539.687719,5,USB_disconnected,WLC_disconnected,3.274,122.400,25.411,88.54,88.54,30.074,0.000,0.000,0.000,3.240
1752744540.887631,5,USB_disconnected,WLC_disconnected,3.274,123.200,25.514,88.53,88.53,30.074,0.000,0.000,0.000,3.240
1752744542.0871384,5,USB_disconnected,WLC_disconnected,3.274,118.800,25.514,88.52,88.52,30.074,0.000,0.000,0.000,3.240
1752744543.2872617,5,USB_disconnected,WLC_disconnected,3.274,114.400,25.411,88.51,88.51,30.074,0.000,0.000,0.000,3.240
1752744544.487119,5,USB_disconnected,WLC_disconnected,3.274,120.000,25.514,88.50,88.50,30.074,0.000,0.000,0.000,3.246
1752744545.6870606,5,USB_disconnected,WLC_disconnected,3.274,120.000,25.411,88.49,88.49,30.074,0.000,0.000,0.000,3.240
1752744546.8868558,5,USB_disconnected,WLC_disconnected,3.274,120.400,25.411,88.48,88.48,30.074,0.000,0.000,0.000,3.240
1752744548.0867898,5,USB_disconnected,WLC_disconnected,3.274,118.400,25.411,88.47,88.47,30.074,0.000,0.000,0.000,3.240
1752744549.2867064,5,USB_disconnected,WLC_disconnected,3.274,120.000,25.411,88.46,88.46,30.074,0.000,0.000,0.000,3.240
1752744550.4864945,5,USB_disconnected,WLC_disconnected,3.274,119.200,25.411,88.45,88.45,30.074,0.000,0.000,0.000,3.240
1752744551.6863492,5,USB_disconnected,WLC_disconnected,3.274,114.000,25.411,88.44,88.44,30.074,0.000,0.000,0.000,3.246
1752744552.886225,5,USB_disconnected,WLC_disconnected,3.274,114.400,25.514,88.43,88.43,30.074,0.000,0.000,0.000,3.240
1752744554.0858157,5,USB_disconnected,WLC_disconnected,3.274,116.800,25.411,88.42,88.42,30.074,0.000,0.000,0.000,3.240
1752744555.2860458,5,USB_disconnected,WLC_disconnected,3.274,114.800,25.411,88.41,88.41,30.074,0.000,0.000,0.000,3.240
1752744556.4860973,5,USB_disconnected,WLC_disconnected,3.274,117.600,25.411,88.40,88.40,30.074,0.000,0.000,0.000,3.240
1752744557.68549,5,USB_disconnected,WLC_disconnected,3.274,114.800,25.411,88.39,88.39,30.074,0.000,0.000,0.000,3.240
1752744558.885652,5,USB_disconnected,WLC_disconnected,3.274,117.600,25.411,88.38,88.38,30.074,0.000,0.000,0.000,3.240
1752744560.085541,5,USB_disconnected,WLC_disconnected,3.274,114.800,25.411,88.37,88.37,30.074,0.000,0.000,0.000,3.240
1752744561.285426,5,USB_disconnected,WLC_disconnected,3.274,117.600,25.411,88.36,88.36,30.074,0.000,0.000,0.000,3.246
1752744562.4847987,5,USB_disconnected,WLC_disconnected,3.274,114.800,25.411,88.35,88.35,30.074,0.000,0.000,0.000,3.246
1752744563.6849368,5,USB_disconnected,WLC_disconnected,3.274,117.600,25.411,88.34,88.34,30.074,0.000,0.000,0.000,3.240
1752744564.885257,5,USB_disconnected,WLC_disconnected,3.274,118.800,25.411,88.33,88.33,30.074,0.000,0.000,0.000,3.246
1752744566.0851424,5,USB_disconnected,WLC_disconnected,3.274,116.000,25.411,88.32,88.32,30.074,0.000,0.000,0.000,3.240
1752744567.284905,5,USB_disconnected,WLC_disconnected,3.274,120.400,25.411,88.31,88.31,30.074,0.000,0.000,0.000,3.246
1752744568.4846337,5,USB_disconnected,WLC_disconnected,3.274,114.800,25.411,88.30,88.30,30.074,0.000,0.000,0.000,3.240
1752744569.6847594,5,USB_disconnected,WLC_disconnected,3.274,119.600,25.411,88.29,88.29,30.074,0.000,0.000,0.000,3.246
1752744570.884625,5,USB_disconnected,WLC_disconnected,3.274,113.200,25.411,88.28,88.28,30.074,0.000,0.000,0.000,3.240
1752744572.0844438,5,USB_disconnected,WLC_disconnected,3.274,116.400,25.411,88.27,88.27,30.074,0.000,0.000,0.000,3.246
1752744573.2843103,5,USB_disconnected,WLC_disconnected,3.274,113.200,25.411,88.26,88.26,30.074,0.000,0.000,0.000,3.240
1752744574.4842913,5,USB_disconnected,WLC_disconnected,3.274,117.200,25.411,88.25,88.25,30.074,0.000,0.000,0.000,3.246
1752744575.6840374,5,USB_disconnected,WLC_disconnected,3.274,116.400,25.411,88.24,88.24,30.074,0.000,0.000,0.000,3.246
1752744576.8839195,5,USB_disconnected,WLC_disconnected,3.274,117.200,25.411,88.23,88.23,30.074,0.000,0.000,0.000,3.246
1752744578.0834458,5,USB_disconnected,WLC_disconnected,3.274,113.200,25.411,88.22,88.22,30.074,0.000,0.000,0.000,3.246
1752744579.283704,5,USB_disconnected,WLC_disconnected,3.274,117.200,25.411,88.21,88.21,30.074,0.000,0.000,0.000,3.246
1752744580.4836192,5,USB_disconnected,WLC_disconnected,3.274,113.200,25.411,88.20,88.20,30.074,0.000,0.000,0.000,3.240
1752744581.6830087,5,USB_disconnected,WLC_disconnected,3.274,116.800,25.411,88.19,88.19,30.074,0.000,0.000,0.000,3.246
1752744582.8832786,5,USB_disconnected,WLC_disconnected,3.274,118.800,25.411,88.18,88.18,30.074,0.000,0.000,0.000,3.246
1752744584.0831683,5,USB_disconnected,WLC_disconnected,3.274,117.600,25.411,88.17,88.17,30.074,0.000,0.000,0.000,3.240
1752744585.283093,5,USB_disconnected,WLC_disconnected,3.274,118.800,25.411,88.16,88.16,30.074,0.000,0.000,0.000,3.246
1752744586.4828238,5,USB_disconnected,WLC_disconnected,3.274,121.600,25.411,88.15,88.15,30.074,0.000,0.000,0.000,3.240
1752744587.6827652,5,USB_disconnected,WLC_disconnected,3.274,118.400,25.411,88.14,88.14,30.074,0.000,0.000,0.000,3.246
1752744588.8827143,5,USB_disconnected,WLC_disconnected,3.274,114.800,25.411,88.13,88.13,30.074,0.000,0.000,0.000,3.246
1752744590.0826225,5,USB_disconnected,WLC_disconnected,3.274,120.400,25.411,88.12,88.12,30.074,0.000,0.000,0.000,3.252
1752744591.2823665,5,USB_disconnected,WLC_disconnected,3.274,112.800,25.411,88.11,88.11,30.074,0.000,0.000,0.000,3.252
1752744592.4822514,5,USB_disconnected,WLC_disconnected,3.274,115.600,25.411,88.10,88.10,30.074,0.000,0.000,0.000,3.252
1752744593.6816945,5,USB_disconnected,WLC_disconnected,3.274,121.600,25.411,88.09,88.09,30.074,0.000,0.000,0.000,3.246
1752744594.8817105,5,USB_disconnected,WLC_disconnected,3.274,115.600,25.411,88.08,88.08,30.074,0.000,0.000,0.000,3.252
1752744596.0817492,5,USB_disconnected,WLC_disconnected,3.274,113.200,25.411,88.07,88.07,30.074,0.000,0.000,0.000,3.246
1752744597.2817552,5,USB_disconnected,WLC_disconnected,3.274,116.800,25.411,88.06,88.06,30.074,0.000,0.000,0.000,3.252
1752744598.4812295,5,USB_disconnected,WLC_disconnected,3.274,102.800,25.411,88.05,88.05,30.074,0.000,0.000,0.000,3.252
1752744599.681531,5,USB_disconnected,WLC_disconnected,3.274,102.400,25.411,88.04,88.04,30.074,0.000,0.000,0.000,3.252
1752744600.88137,5,USB_disconnected,WLC_disconnected,3.274,100.000,25.411,88.03,88.03,30.074,0.000,0.000,0.000,3.252
1752744602.0810921,5,USB_disconnected,WLC_disconnected,3.279,100.400,25.411,88.02,88.02,30.074,0.000,0.000,0.000,3.246
