time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753149591.638851,5,USB_connected,WLC_disconnected,3.455,0.000,20.737,100.00,100.00,26.903,0.000,0.000,0.000,4.630
1753149592.88833,5,USB_connected,WLC_disconnected,3.396,132.400,20.737,99.98,99.98,26.111,0.000,0.000,0.000,3.365
1753149594.0877893,5,USB_connected,WLC_disconnected,3.514,-194.850,20.737,99.97,99.98,33.244,0.000,0.000,0.000,4.287
1753149595.2881403,5,USB_connected,WLC_disconnected,3.528,-195.075,20.737,99.93,99.98,34.037,0.000,0.000,0.000,4.287
1753149596.4880548,5,USB_connected,WLC_disconnected,3.533,-195.525,20.737,99.89,99.98,34.829,0.000,0.000,0.000,4.287
1753149597.6879222,5,USB_connected,WLC_disconnected,3.543,-195.525,20.737,99.84,99.98,34.829,0.000,0.000,0.000,4.287
1753149598.8879302,5,USB_connected,WLC_disconnected,3.553,-195.750,20.737,99.77,99.98,34.829,0.000,0.000,0.000,4.281
1753149600.0876303,5,USB_connected,WLC_disconnected,3.563,-196.200,20.737,99.70,99.98,35.622,0.000,0.000,0.000,4.287
1753149601.287455,5,USB_connected,WLC_disconnected,3.567,-196.200,20.737,99.63,99.98,35.622,0.000,0.000,0.000,4.287
1753149602.487333,5,USB_connected,WLC_disconnected,3.577,-196.650,20.737,99.56,99.98,35.622,0.000,0.000,0.000,4.293
1753149603.6870582,5,USB_connected,WLC_disconnected,3.592,-196.650,20.737,99.48,99.98,35.622,0.000,0.000,0.000,4.287
1753149604.8871171,5,USB_connected,WLC_disconnected,3.597,-196.650,20.737,99.41,99.98,35.622,0.000,0.000,0.000,4.287
1753149606.0870874,5,USB_connected,WLC_disconnected,3.607,-197.100,20.737,99.34,99.98,35.622,0.000,0.000,0.000,4.293
1753149607.2870138,5,USB_connected,WLC_disconnected,3.621,-197.100,20.837,99.28,99.98,35.622,0.000,0.000,0.000,4.287
1753149608.4869606,5,USB_connected,WLC_disconnected,3.631,-197.550,20.737,99.22,99.98,35.622,0.000,0.000,0.000,4.281
1753149609.6867726,5,USB_connected,WLC_disconnected,3.646,-198.000,20.837,99.17,99.98,36.414,0.000,0.000,0.000,4.287
1753149610.8866193,5,USB_connected,WLC_disconnected,3.655,-198.225,20.837,99.12,99.98,35.622,0.000,0.000,0.000,4.287
1753149612.0866706,5,USB_connected,WLC_disconnected,3.660,-147.825,20.737,99.10,99.98,34.829,0.000,0.000,0.000,4.331
1753149613.286506,5,USB_connected,WLC_disconnected,3.655,-126.900,20.837,99.08,99.98,34.037,0.000,0.000,0.000,4.380
1753149614.4858716,5,USB_connected,WLC_disconnected,3.655,-111.150,20.837,99.07,99.98,34.037,0.000,0.000,0.000,4.424
1753149615.6862714,5,USB_connected,WLC_disconnected,3.660,-84.150,20.737,99.08,99.98,33.244,0.000,0.000,0.000,4.430
1753149616.88607,5,USB_connected,WLC_disconnected,3.655,-75.375,20.837,99.09,99.98,32.451,0.000,0.000,0.000,4.455
1753149618.0858264,5,USB_connected,WLC_disconnected,3.655,-65.925,20.837,99.10,99.98,31.659,0.000,0.000,0.000,4.468
1753149619.2857172,5,USB_connected,WLC_disconnected,3.655,-57.375,20.837,99.11,99.98,31.659,0.000,0.000,0.000,4.474
1753149620.4857116,5,USB_connected,WLC_disconnected,3.655,-56.475,20.837,99.13,99.98,30.866,0.000,0.000,0.000,4.480
1753149621.6855173,5,USB_connected,WLC_disconnected,3.660,-48.375,20.837,99.15,99.98,31.659,0.000,0.000,0.000,4.493
1753149622.885363,5,USB_connected,WLC_disconnected,3.655,-48.825,20.737,99.18,99.98,30.866,0.000,0.000,0.000,4.524
1753149624.0852273,5,USB_connected,WLC_disconnected,3.660,-42.975,20.837,99.20,99.98,31.659,0.000,0.000,0.000,4.530
1753149625.285012,5,USB_connected,WLC_disconnected,3.655,-39.375,20.837,99.23,99.98,30.866,0.000,0.000,0.000,4.530
1753149626.4847972,5,USB_connected,WLC_disconnected,3.655,-45.225,20.837,99.25,99.98,30.866,0.000,0.000,0.000,4.536
1753149627.6849182,5,USB_connected,WLC_disconnected,3.655,-35.775,20.837,99.27,99.98,30.074,0.000,0.000,0.000,4.598
1753149628.8845122,5,USB_connected,WLC_disconnected,3.655,-35.775,20.837,99.30,99.98,30.074,0.000,0.000,0.000,4.580
1753149630.0840683,5,USB_connected,WLC_disconnected,3.655,-28.575,20.837,99.32,99.98,30.074,0.000,0.000,0.000,4.598
1753149631.4157417,5,USB_disconnected,WLC_disconnected,3.616,129.600,20.837,99.36,99.36,30.074,0.000,0.000,0.000,3.583
1753149632.6156075,5,USB_disconnected,WLC_disconnected,3.597,84.000,20.837,99.54,99.36,28.488,0.000,0.000,0.000,3.570
1753149633.8155234,5,USB_disconnected,WLC_disconnected,3.577,86.400,20.837,99.91,99.36,27.696,0.000,0.000,0.000,3.552
1753149635.015201,5,USB_disconnected,WLC_disconnected,3.558,82.000,20.837,100.00,99.36,27.696,0.000,0.000,0.000,3.533
1753149636.2152526,5,USB_disconnected,WLC_disconnected,3.538,86.400,20.837,100.00,99.36,26.903,0.000,0.000,0.000,3.514
1753149637.4151144,5,USB_disconnected,WLC_disconnected,3.528,82.000,20.837,100.00,99.36,26.903,0.000,0.000,0.000,3.502
1753149638.6149738,5,USB_disconnected,WLC_disconnected,3.514,84.000,20.837,100.00,99.36,26.903,0.000,0.000,0.000,3.489
1753149639.8147516,5,USB_disconnected,WLC_disconnected,3.504,82.800,20.837,100.00,99.36,26.903,0.000,0.000,0.000,3.477
1753149641.01464,5,USB_disconnected,WLC_disconnected,3.494,85.600,20.837,100.00,99.36,26.903,0.000,0.000,0.000,3.471
1753149642.2145946,5,USB_disconnected,WLC_disconnected,3.489,85.600,20.837,100.00,99.36,26.903,0.000,0.000,0.000,3.464
1753149643.4143662,5,USB_disconnected,WLC_disconnected,3.479,88.800,20.837,100.00,99.36,26.903,0.000,0.000,0.000,3.458
1753149644.613973,5,USB_disconnected,WLC_disconnected,3.470,91.200,20.837,100.00,99.36,26.903,0.000,0.000,0.000,3.446
1753149645.8141189,5,USB_disconnected,WLC_disconnected,3.470,87.200,20.837,100.00,99.36,26.111,0.000,0.000,0.000,3.446
1753149647.0143476,5,USB_disconnected,WLC_disconnected,3.465,86.000,20.837,100.00,99.36,26.111,0.000,0.000,0.000,3.439
1753149648.2138982,5,USB_disconnected,WLC_disconnected,3.460,87.600,20.837,100.00,99.36,26.111,0.000,0.000,0.000,3.439
1753149649.4137764,5,USB_disconnected,WLC_disconnected,3.455,82.800,20.837,100.00,99.36,26.111,0.000,0.000,0.000,3.427
1753149650.6131508,5,USB_disconnected,WLC_disconnected,3.450,80.400,20.737,99.99,99.36,26.111,0.000,0.000,0.000,3.427
1753149651.813622,5,USB_disconnected,WLC_disconnected,3.450,89.600,20.837,100.00,99.36,26.111,0.000,0.000,0.000,3.427
1753149653.0135002,5,USB_disconnected,WLC_disconnected,3.445,86.800,20.837,99.99,99.36,26.111,0.000,0.000,0.000,3.421
1753149654.2132094,5,USB_disconnected,WLC_disconnected,3.440,84.400,20.737,99.99,99.36,26.111,0.000,0.000,0.000,3.414
1753149655.4127557,5,USB_disconnected,WLC_disconnected,3.440,86.800,20.837,99.99,99.36,26.111,0.000,0.000,0.000,3.414
1753149656.6129925,5,USB_disconnected,WLC_disconnected,3.435,84.000,20.737,99.99,99.36,26.111,0.000,0.000,0.000,3.408
1753149657.8128712,5,USB_disconnected,WLC_disconnected,3.435,82.000,20.737,99.98,99.36,25.318,0.000,0.000,0.000,3.408
1753149659.0122507,5,USB_disconnected,WLC_disconnected,3.431,87.600,20.737,99.98,99.36,26.111,0.000,0.000,0.000,3.408
1753149660.2126245,5,USB_disconnected,WLC_disconnected,3.431,89.600,20.737,99.98,99.36,25.318,0.000,0.000,0.000,3.402
1753149661.4120955,5,USB_disconnected,WLC_disconnected,3.431,84.400,20.737,99.98,99.36,25.318,0.000,0.000,0.000,3.402
