time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753268049.244341,5,USB_disconnected,WLC_disconnected,3.377,136.000,15.940,99.98,99.98,21.355,0.000,0.000,0.000,3.346
1753268050.4438887,5,USB_disconnected,WLC_disconnected,3.396,62.000,15.940,99.94,99.94,21.355,0.000,0.000,0.000,3.377
1753268051.6109583,5,USB_disconnected,WLC_disconnected,3.391,65.600,15.940,99.93,99.93,21.355,0.000,0.000,0.000,3.371
1753268052.7944217,5,USB_disconnected,WLC_disconnected,3.391,62.000,15.841,99.92,99.92,21.355,0.000,0.000,0.000,3.371
1753268053.9776602,5,USB_disconnected,WLC_disconnected,3.391,65.600,15.841,99.91,99.91,20.562,0.000,0.000,0.000,3.371
1753268055.1449206,5,USB_disconnected,WLC_disconnected,3.387,65.600,15.841,99.91,99.91,21.355,0.000,0.000,0.000,3.365
1753268056.3282316,5,USB_disconnected,WLC_disconnected,3.387,61.600,15.841,99.91,99.91,20.562,0.000,0.000,0.000,3.371
1753268057.5114655,5,USB_disconnected,WLC_disconnected,3.387,66.000,15.940,99.90,99.90,20.562,0.000,0.000,0.000,3.365
1753268058.6786807,5,USB_disconnected,WLC_disconnected,3.382,62.000,15.841,99.90,99.90,20.562,0.000,0.000,0.000,3.365
1753268059.862464,5,USB_disconnected,WLC_disconnected,3.382,60.400,15.841,99.89,99.89,20.562,0.000,0.000,0.000,3.365
1753268061.062241,5,USB_disconnected,WLC_disconnected,3.387,65.600,15.841,99.89,99.89,20.562,0.000,0.000,0.000,3.365
1753268062.2616751,5,USB_disconnected,WLC_disconnected,3.382,65.199,15.940,99.89,99.89,20.562,0.000,0.000,0.000,3.358
1753268063.428939,5,USB_disconnected,WLC_disconnected,3.382,65.600,15.841,99.89,99.89,20.562,0.000,0.000,0.000,3.358
1753268064.6121624,5,USB_disconnected,WLC_disconnected,3.382,64.400,15.841,99.88,99.88,20.562,0.000,0.000,0.000,3.358
1753268065.7790208,5,USB_disconnected,WLC_disconnected,3.377,70.400,15.841,99.88,99.88,20.562,0.000,0.000,0.000,3.358
1753268066.946346,5,USB_disconnected,WLC_disconnected,3.377,70.400,15.841,99.88,99.88,20.562,0.000,0.000,0.000,3.358
1753268068.1297083,5,USB_disconnected,WLC_disconnected,3.382,60.000,15.841,99.88,99.88,20.562,0.000,0.000,0.000,3.352
1753268069.3131127,5,USB_disconnected,WLC_disconnected,3.377,65.600,15.841,99.87,99.87,20.562,0.000,0.000,0.000,3.352
1753268070.4962347,5,USB_disconnected,WLC_disconnected,3.372,62.800,15.841,99.87,99.87,20.562,0.000,0.000,0.000,3.352
1753268071.6638596,5,USB_disconnected,WLC_disconnected,3.372,63.200,15.841,99.87,99.87,20.562,0.000,0.000,0.000,3.352
1753268072.847054,5,USB_disconnected,WLC_disconnected,3.377,66.400,15.841,99.87,99.87,19.770,0.000,0.000,0.000,3.352
1753268074.0304499,5,USB_disconnected,WLC_disconnected,3.372,63.600,15.841,99.86,99.86,19.770,0.000,0.000,0.000,3.352
1753268075.2137215,5,USB_disconnected,WLC_disconnected,3.372,64.800,15.841,99.86,99.86,19.770,0.000,0.000,0.000,3.352
1753268076.3807764,5,USB_disconnected,WLC_disconnected,3.372,63.600,15.841,99.86,99.86,19.770,0.000,0.000,0.000,3.352
1753268077.5479982,5,USB_disconnected,WLC_disconnected,3.372,62.000,15.841,99.85,99.85,19.770,0.000,0.000,0.000,3.352
1753268078.7312384,5,USB_disconnected,WLC_disconnected,3.372,65.600,15.841,99.85,99.85,19.770,0.000,0.000,0.000,3.352
1753268079.8981602,5,USB_disconnected,WLC_disconnected,3.372,62.800,15.841,99.85,99.85,19.770,0.000,0.000,0.000,3.346
1753268081.0654814,5,USB_disconnected,WLC_disconnected,3.372,62.000,15.741,99.85,99.85,19.770,0.000,0.000,0.000,3.346
1753268082.248559,5,USB_disconnected,WLC_disconnected,3.367,65.600,15.741,99.84,99.84,19.770,0.000,0.000,0.000,3.346
1753268083.4153373,5,USB_disconnected,WLC_disconnected,3.367,62.000,15.741,99.84,99.84,19.770,0.000,0.000,0.000,3.346
1753268084.5827417,5,USB_disconnected,WLC_disconnected,3.367,62.400,15.741,99.84,99.84,19.770,0.000,0.000,0.000,3.346
1753268085.7663262,5,USB_disconnected,WLC_disconnected,3.367,65.600,15.741,99.84,99.84,19.770,0.000,0.000,0.000,3.346
1753268086.949319,5,USB_disconnected,WLC_disconnected,3.367,62.000,15.741,99.83,99.83,19.770,0.000,0.000,0.000,3.346
1753268088.1163828,5,USB_disconnected,WLC_disconnected,3.367,65.600,15.741,99.83,99.83,19.770,0.000,0.000,0.000,3.340
1753268089.283596,5,USB_disconnected,WLC_disconnected,3.362,62.000,15.741,99.83,99.83,19.770,0.000,0.000,0.000,3.346
1753268090.467127,5,USB_disconnected,WLC_disconnected,3.362,62.000,15.741,99.83,99.83,19.770,0.000,0.000,0.000,3.346
1753268091.6503685,5,USB_disconnected,WLC_disconnected,3.362,65.600,15.741,99.82,99.82,19.770,0.000,0.000,0.000,3.340
1753268092.8337595,5,USB_disconnected,WLC_disconnected,3.362,62.000,15.741,99.82,99.82,19.770,0.000,0.000,0.000,3.346
1753268094.0006642,5,USB_disconnected,WLC_disconnected,3.362,65.600,15.741,99.82,99.82,19.770,0.000,0.000,0.000,3.340
1753268095.16799,5,USB_disconnected,WLC_disconnected,3.362,65.600,15.741,99.82,99.82,19.770,0.000,0.000,0.000,3.340
1753268096.3510442,5,USB_disconnected,WLC_disconnected,3.362,60.400,15.741,99.81,99.81,19.770,0.000,0.000,0.000,3.340
1753268097.518207,5,USB_disconnected,WLC_disconnected,3.362,65.600,15.641,99.81,99.81,19.770,0.000,0.000,0.000,3.333
1753268098.6852918,5,USB_disconnected,WLC_disconnected,3.362,64.400,15.641,99.81,99.81,19.770,0.000,0.000,0.000,3.340
1753268099.8686018,5,USB_disconnected,WLC_disconnected,3.362,52.800,15.641,99.81,99.81,19.770,0.000,0.000,0.000,3.340
1753268101.0356388,5,USB_disconnected,WLC_disconnected,3.362,50.400,15.641,99.81,99.81,19.770,0.000,0.000,0.000,3.333
1753268102.2027247,5,USB_disconnected,WLC_disconnected,3.362,57.600,15.641,99.81,99.81,19.770,0.000,0.000,0.000,3.340
1753268103.3857305,5,USB_disconnected,WLC_disconnected,3.362,54.800,15.641,99.81,99.81,19.770,0.000,0.000,0.000,3.333
1753268104.5526903,5,USB_disconnected,WLC_disconnected,3.357,68.800,15.641,99.80,99.80,19.770,0.000,0.000,0.000,3.340
1753268105.7194924,5,USB_disconnected,WLC_disconnected,3.357,54.400,15.641,99.80,99.80,19.770,0.000,0.000,0.000,3.340
1753268106.8871331,5,USB_disconnected,WLC_disconnected,3.357,50.000,15.641,99.80,99.80,19.770,0.000,0.000,0.000,3.340
1753268108.05386,5,USB_disconnected,WLC_disconnected,3.357,68.800,15.641,99.80,99.80,19.770,0.000,0.000,0.000,3.321
1753268109.220998,5,USB_disconnected,WLC_disconnected,3.357,63.200,15.641,99.80,99.80,19.770,0.000,0.000,0.000,3.333
1753268110.3879843,5,USB_disconnected,WLC_disconnected,3.352,66.400,15.641,99.79,99.79,19.770,0.000,0.000,0.000,3.340
1753268111.5548663,5,USB_disconnected,WLC_disconnected,3.352,66.400,15.641,99.79,99.79,18.977,0.000,0.000,0.000,3.333
1753268112.7221005,5,USB_disconnected,WLC_disconnected,3.352,62.000,15.641,99.78,99.78,18.977,0.000,0.000,0.000,3.333
1753268113.8889093,5,USB_disconnected,WLC_disconnected,3.352,65.600,15.641,99.78,99.78,18.977,0.000,0.000,0.000,3.333
1753268115.055915,5,USB_disconnected,WLC_disconnected,3.357,67.600,15.641,99.78,99.78,18.977,0.000,0.000,0.000,3.333
1753268116.22302,5,USB_disconnected,WLC_disconnected,3.352,62.000,15.641,99.77,99.77,19.770,0.000,0.000,0.000,3.333
