time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753301148.6813042,5,USB_connected,WLC_disconnected,3.426,0.000,15.841,100.00,100.00,22.148,0.000,0.000,0.000,4.636
1753301149.9142082,5,USB_disconnected,WLC_disconnected,3.372,128.000,15.841,99.96,99.96,21.355,0.000,0.000,0.000,3.333
1753301151.1467721,5,USB_disconnected,WLC_disconnected,3.357,142.800,15.841,99.95,99.95,21.355,0.000,0.000,0.000,3.327
1753301152.3799105,5,USB_disconnected,WLC_disconnected,3.357,144.000,15.841,99.94,99.94,20.562,0.000,0.000,0.000,3.321
1753301153.6129022,5,USB_disconnected,WLC_disconnected,3.352,147.200,15.841,99.93,99.93,21.355,0.000,0.000,0.000,3.321
1753301154.8452008,5,USB_disconnected,WLC_disconnected,3.352,148.000,15.841,99.92,99.92,21.355,0.000,0.000,0.000,3.315
1753301156.0780811,5,USB_disconnected,WLC_disconnected,3.347,142.400,15.841,99.91,99.91,20.562,0.000,0.000,0.000,3.315
1753301157.310764,5,USB_disconnected,WLC_disconnected,3.347,135.600,15.841,99.91,99.91,21.355,0.000,0.000,0.000,3.309
1753301158.5436678,5,USB_disconnected,WLC_disconnected,3.343,140.400,15.841,99.90,99.90,21.355,0.000,0.000,0.000,3.309
1753301159.7765286,5,USB_disconnected,WLC_disconnected,3.343,142.400,15.841,99.89,99.89,21.355,0.000,0.000,0.000,3.302
1753301161.0091178,5,USB_disconnected,WLC_disconnected,3.338,134.000,15.841,99.89,99.89,20.562,0.000,0.000,0.000,3.302
1753301162.2417624,5,USB_disconnected,WLC_disconnected,3.338,144.400,15.841,99.88,99.88,21.355,0.000,0.000,0.000,3.296
1753301163.4748075,5,USB_disconnected,WLC_disconnected,3.338,140.000,15.841,99.88,99.88,20.562,0.000,0.000,0.000,3.302
1753301164.707232,5,USB_disconnected,WLC_disconnected,3.333,143.200,15.841,99.87,99.87,20.562,0.000,0.000,0.000,3.296
1753301165.9399195,5,USB_disconnected,WLC_disconnected,3.333,142.400,15.841,99.87,99.87,20.562,0.000,0.000,0.000,3.296
1753301167.1727223,5,USB_disconnected,WLC_disconnected,3.333,138.800,15.841,99.86,99.86,20.562,0.000,0.000,0.000,3.296
1753301168.4056559,5,USB_disconnected,WLC_disconnected,3.333,142.400,15.841,99.86,99.86,20.562,0.000,0.000,0.000,3.296
1753301169.6385984,5,USB_disconnected,WLC_disconnected,3.328,140.400,15.841,99.85,99.85,20.562,0.000,0.000,0.000,3.290
1753301170.8711085,5,USB_disconnected,WLC_disconnected,3.328,144.400,15.841,99.85,99.85,21.355,0.000,0.000,0.000,3.296
1753301172.1038914,5,USB_disconnected,WLC_disconnected,3.323,136.800,15.841,99.84,99.84,20.562,0.000,0.000,0.000,3.290
1753301173.3368223,5,USB_disconnected,WLC_disconnected,3.323,148.000,15.841,99.84,99.84,20.562,0.000,0.000,0.000,3.284
1753301174.569286,5,USB_disconnected,WLC_disconnected,3.323,142.400,15.841,99.83,99.83,20.562,0.000,0.000,0.000,3.290
1753301175.802035,5,USB_disconnected,WLC_disconnected,3.323,138.400,15.841,99.83,99.83,20.562,0.000,0.000,0.000,3.290
1753301177.0346093,5,USB_disconnected,WLC_disconnected,3.318,144.400,15.841,99.82,99.82,20.562,0.000,0.000,0.000,3.284
1753301178.2672334,5,USB_disconnected,WLC_disconnected,3.323,147.200,15.841,99.82,99.82,20.562,0.000,0.000,0.000,3.290
1753301179.5001693,5,USB_disconnected,WLC_disconnected,3.318,144.000,15.841,99.81,99.81,20.562,0.000,0.000,0.000,3.284
1753301180.7330506,5,USB_disconnected,WLC_disconnected,3.318,148.800,15.841,99.81,99.81,20.562,0.000,0.000,0.000,3.284
1753301181.9652662,5,USB_disconnected,WLC_disconnected,3.313,138.400,15.841,99.80,99.80,20.562,0.000,0.000,0.000,3.290
1753301183.1984086,5,USB_disconnected,WLC_disconnected,3.313,142.400,15.841,99.80,99.80,20.562,0.000,0.000,0.000,3.284
1753301184.4311314,5,USB_disconnected,WLC_disconnected,3.318,143.600,15.841,99.79,99.79,20.562,0.000,0.000,0.000,3.277
1753301185.6639042,5,USB_disconnected,WLC_disconnected,3.313,138.800,15.841,99.79,99.79,20.562,0.000,0.000,0.000,3.284
1753301186.8970807,5,USB_disconnected,WLC_disconnected,3.313,136.400,15.841,99.78,99.78,20.562,0.000,0.000,0.000,3.277
1753301188.1294718,5,USB_disconnected,WLC_disconnected,3.308,140.400,15.841,99.78,99.78,20.562,0.000,0.000,0.000,3.277
1753301189.3622243,5,USB_disconnected,WLC_disconnected,3.313,141.200,15.841,99.77,99.77,20.562,0.000,0.000,0.000,3.277
1753301190.5951657,5,USB_disconnected,WLC_disconnected,3.308,141.600,15.841,99.77,99.77,20.562,0.000,0.000,0.000,3.277
1753301191.8272874,5,USB_disconnected,WLC_disconnected,3.308,140.400,15.841,99.77,99.77,20.562,0.000,0.000,0.000,3.271
1753301193.0603683,5,USB_disconnected,WLC_disconnected,3.308,140.800,15.841,99.76,99.76,20.562,0.000,0.000,0.000,3.271
1753301194.2934725,5,USB_disconnected,WLC_disconnected,3.308,138.800,15.841,99.76,99.76,20.562,0.000,0.000,0.000,3.271
1753301195.5257149,5,USB_disconnected,WLC_disconnected,3.304,144.400,15.841,99.76,99.76,20.562,0.000,0.000,0.000,3.271
1753301196.7586823,5,USB_disconnected,WLC_disconnected,3.304,147.200,15.841,99.75,99.75,20.562,0.000,0.000,0.000,3.271
1753301197.9912934,5,USB_disconnected,WLC_disconnected,3.304,145.600,15.841,99.74,99.74,20.562,0.000,0.000,0.000,3.265
1753301199.2241883,5,USB_disconnected,WLC_disconnected,3.304,142.400,15.841,99.74,99.74,20.562,0.000,0.000,0.000,3.265
1753301200.456855,5,USB_disconnected,WLC_disconnected,3.304,140.000,15.841,99.73,99.73,20.562,0.000,0.000,0.000,3.271
1753301201.6896253,5,USB_disconnected,WLC_disconnected,3.304,143.200,15.841,99.73,99.73,20.562,0.000,0.000,0.000,3.265
1753301202.922045,5,USB_disconnected,WLC_disconnected,3.299,141.600,15.841,99.72,99.72,20.562,0.000,0.000,0.000,3.265
1753301204.1551485,5,USB_disconnected,WLC_disconnected,3.299,138.800,15.841,99.72,99.72,20.562,0.000,0.000,0.000,3.265
1753301205.3877373,5,USB_disconnected,WLC_disconnected,3.299,137.200,15.841,99.71,99.71,20.562,0.000,0.000,0.000,3.265
1753301206.6201859,5,USB_disconnected,WLC_disconnected,3.304,138.800,15.841,99.71,99.71,20.562,0.000,0.000,0.000,3.259
1753301207.8534143,5,USB_disconnected,WLC_disconnected,3.299,142.800,15.841,99.70,99.70,20.562,0.000,0.000,0.000,3.265
1753301209.0860708,5,USB_disconnected,WLC_disconnected,3.299,140.400,15.841,99.70,99.70,20.562,0.000,0.000,0.000,3.259
1753301210.3187764,5,USB_disconnected,WLC_disconnected,3.294,141.200,15.841,99.69,99.69,20.562,0.000,0.000,0.000,3.265
1753301211.5516036,5,USB_disconnected,WLC_disconnected,3.299,143.200,15.841,99.69,99.69,20.562,0.000,0.000,0.000,3.259
1753301212.7837942,5,USB_disconnected,WLC_disconnected,3.294,138.000,15.841,99.68,99.68,20.562,0.000,0.000,0.000,3.265
1753301214.017108,5,USB_disconnected,WLC_disconnected,3.294,144.000,15.841,99.67,99.67,20.562,0.000,0.000,0.000,3.265
1753301215.2497332,5,USB_disconnected,WLC_disconnected,3.294,154.400,15.841,99.67,99.67,20.562,0.000,0.000,0.000,3.265
1753301216.4824383,5,USB_disconnected,WLC_disconnected,3.299,142.400,15.841,99.66,99.66,19.770,0.000,0.000,0.000,3.265
1753301217.7153409,5,USB_disconnected,WLC_disconnected,3.294,138.800,15.841,99.66,99.66,20.562,0.000,0.000,0.000,3.265
1753301218.9479783,5,USB_disconnected,WLC_disconnected,3.294,135.200,15.841,99.65,99.65,20.562,0.000,0.000,0.000,3.252
1753301220.1808436,5,USB_disconnected,WLC_disconnected,3.294,131.600,15.841,99.64,99.64,20.562,0.000,0.000,0.000,3.259
