time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753373721.7233124,5,USB_connected,WLC_disconnected,3.260,-191.250,15.043,0.48,0.48,27.696,0.000,0.000,0.000,4.268
1753373722.9226167,5,USB_connected,WLC_disconnected,3.264,-191.250,15.043,0.76,0.76,29.281,0.000,0.000,0.000,4.274
1753373724.122981,5,USB_connected,WLC_disconnected,3.269,-191.250,14.943,0.96,0.96,29.281,0.000,0.000,0.000,4.268
1753373725.3392491,5,USB_connected,WLC_disconnected,3.274,-191.475,14.943,1.13,1.13,29.281,0.000,0.000,0.000,4.274
1753373726.5558758,5,USB_connected,WLC_disconnected,3.274,-191.475,15.043,1.26,1.26,30.074,0.000,0.000,0.000,4.274
1753373727.7718282,5,USB_connected,WLC_disconnected,3.274,-191.475,15.043,1.38,1.38,30.074,0.000,0.000,0.000,4.281
1753373728.9880126,5,USB_connected,WLC_disconnected,3.279,-191.250,15.043,1.48,1.48,30.866,0.000,0.000,0.000,4.281
1753373730.2044914,5,USB_connected,WLC_disconnected,3.279,-191.475,15.043,1.57,1.57,30.866,0.000,0.000,0.000,4.299
1753373731.4205456,5,USB_connected,WLC_disconnected,3.284,-191.475,15.043,1.66,1.66,30.866,0.000,0.000,0.000,4.281
1753373732.6372023,5,USB_connected,WLC_disconnected,3.284,-191.250,15.043,1.75,1.75,30.866,0.000,0.000,0.000,4.274
1753373733.836538,5,USB_connected,WLC_disconnected,3.289,-191.250,15.043,1.83,1.83,31.659,0.000,0.000,0.000,4.281
1753373735.05355,5,USB_connected,WLC_disconnected,3.289,-191.250,15.043,1.91,1.91,31.659,0.000,0.000,0.000,4.287
1753373736.2694838,5,USB_connected,WLC_disconnected,3.289,-191.250,15.143,1.98,1.98,31.659,0.000,0.000,0.000,4.281
1753373737.4856353,5,USB_connected,WLC_disconnected,3.289,-191.475,15.043,2.05,2.05,31.659,0.000,0.000,0.000,4.287
1753373738.7020717,5,USB_connected,WLC_disconnected,3.289,-191.700,15.143,2.12,2.12,31.659,0.000,0.000,0.000,4.281
1753373739.9182813,5,USB_connected,WLC_disconnected,3.294,-191.475,15.043,2.18,2.18,31.659,0.000,0.000,0.000,4.281
1753373741.1183105,5,USB_connected,WLC_disconnected,3.294,-191.925,15.143,2.24,2.24,32.451,0.000,0.000,0.000,4.274
1753373742.3346891,5,USB_connected,WLC_disconnected,3.294,-191.700,15.143,2.31,2.31,32.451,0.000,0.000,0.000,4.274
1753373743.5512376,5,USB_connected,WLC_disconnected,3.294,-191.475,15.143,2.37,2.37,32.451,0.000,0.000,0.000,4.281
1753373744.7671244,5,USB_connected,WLC_disconnected,3.294,-191.700,15.243,2.43,2.43,32.451,0.000,0.000,0.000,4.281
1753373745.9834614,5,USB_connected,WLC_disconnected,3.299,-191.700,15.143,2.49,2.49,32.451,0.000,0.000,0.000,4.281
1753373747.1999457,5,USB_connected,WLC_disconnected,3.299,-191.925,15.143,2.54,2.54,32.451,0.000,0.000,0.000,4.281
1753373748.41635,5,USB_connected,WLC_disconnected,3.299,-191.475,15.143,2.60,2.60,33.244,0.000,0.000,0.000,4.281
1753373749.6324635,5,USB_connected,WLC_disconnected,3.304,-191.925,15.143,2.66,2.66,32.451,0.000,0.000,0.000,4.274
1753373750.8485994,5,USB_connected,WLC_disconnected,3.304,-191.700,15.243,2.71,2.71,32.451,0.000,0.000,0.000,4.281
1753373752.0647695,5,USB_connected,WLC_disconnected,3.304,-191.925,15.243,2.76,2.76,33.244,0.000,0.000,0.000,4.287
1753373753.2813833,5,USB_connected,WLC_disconnected,3.304,-191.475,15.243,2.81,2.81,33.244,0.000,0.000,0.000,4.281
1753373754.4811814,5,USB_connected,WLC_disconnected,3.304,-191.700,15.243,2.86,2.86,33.244,0.000,0.000,0.000,4.281
1753373755.6977787,5,USB_connected,WLC_disconnected,3.304,-191.700,15.243,2.91,2.91,33.244,0.000,0.000,0.000,4.287
1753373756.9141355,5,USB_connected,WLC_disconnected,3.304,-191.925,15.243,2.96,2.96,33.244,0.000,0.000,0.000,4.281
1753373758.1299782,5,USB_connected,WLC_disconnected,3.308,-191.925,15.243,3.01,3.01,33.244,0.000,0.000,0.000,4.281
1753373759.3463697,5,USB_connected,WLC_disconnected,3.308,-191.925,15.342,3.06,3.06,33.244,0.000,0.000,0.000,4.274
1753373760.5627062,5,USB_connected,WLC_disconnected,3.308,-191.925,15.342,3.11,3.11,33.244,0.000,0.000,0.000,4.281
1753373761.7790365,5,USB_connected,WLC_disconnected,3.308,-191.925,15.342,3.15,3.15,33.244,0.000,0.000,0.000,4.281
1753373762.9956446,5,USB_connected,WLC_disconnected,3.308,-191.700,15.342,3.20,3.20,34.037,0.000,0.000,0.000,4.287
1753373764.211756,5,USB_connected,WLC_disconnected,3.308,-191.700,15.342,3.25,3.25,33.244,0.000,0.000,0.000,4.287
1753373765.4280524,5,USB_connected,WLC_disconnected,3.308,-191.925,15.342,3.29,3.29,34.037,0.000,0.000,0.000,4.281
1753373766.6443129,5,USB_connected,WLC_disconnected,3.308,-191.925,15.342,3.34,3.34,34.037,0.000,0.000,0.000,4.281
1753373767.8605838,5,USB_connected,WLC_disconnected,3.313,-191.925,15.342,3.38,3.38,34.037,0.000,0.000,0.000,4.287
1753373769.076979,5,USB_connected,WLC_disconnected,3.313,-191.925,15.342,3.42,3.42,34.037,0.000,0.000,0.000,4.287
1753373770.2769454,5,USB_connected,WLC_disconnected,3.308,-191.700,15.342,3.47,3.47,34.037,0.000,0.000,0.000,4.281
1753373771.4931438,5,USB_connected,WLC_disconnected,3.313,-191.925,15.442,3.51,3.51,34.037,0.000,0.000,0.000,4.281
1753373772.709533,5,USB_connected,WLC_disconnected,3.313,-191.700,15.442,3.55,3.55,34.037,0.000,0.000,0.000,4.287
1753373773.9257386,5,USB_connected,WLC_disconnected,3.313,-191.925,15.043,3.59,3.59,34.037,0.000,0.000,0.000,4.287
1753373775.1417937,5,USB_connected,WLC_disconnected,3.313,-192.150,15.442,3.64,3.64,34.037,0.000,0.000,0.000,4.274
1753373776.3579407,5,USB_connected,WLC_disconnected,3.313,-191.925,15.442,3.68,3.68,36.414,0.000,0.000,0.000,4.287
1753373777.5746558,5,USB_connected,WLC_disconnected,3.313,-191.925,15.442,3.72,3.72,34.037,0.000,0.000,0.000,4.281
1753373778.791029,5,USB_connected,WLC_disconnected,3.313,-191.925,15.442,3.76,3.76,34.037,0.000,0.000,0.000,4.287
1753373779.9902818,5,USB_connected,WLC_disconnected,3.318,-192.150,15.442,3.80,3.80,34.037,0.000,0.000,0.000,4.287
1753373781.2068284,5,USB_connected,WLC_disconnected,3.318,-191.925,15.442,3.84,3.84,34.037,0.000,0.000,0.000,4.287
1753373782.423374,5,USB_connected,WLC_disconnected,3.318,-191.925,15.542,3.88,3.88,34.037,0.000,0.000,0.000,4.287
1753373783.6396704,5,USB_connected,WLC_disconnected,3.318,-191.925,15.542,3.92,3.92,34.829,0.000,0.000,0.000,4.268
1753373784.8561728,5,USB_connected,WLC_disconnected,3.318,-191.925,15.542,3.96,3.96,34.037,0.000,0.000,0.000,4.281
1753373786.0559793,5,USB_connected,WLC_disconnected,3.318,-191.925,15.542,4.00,4.00,34.829,0.000,0.000,0.000,4.287
1753373787.2722807,5,USB_connected,WLC_disconnected,3.318,-191.925,15.542,4.03,4.03,34.037,0.000,0.000,0.000,4.281
1753373788.4720058,5,USB_connected,WLC_disconnected,3.318,-192.150,15.542,4.07,4.07,34.037,0.000,0.000,0.000,4.287
1753373789.671991,5,USB_connected,WLC_disconnected,3.318,-191.925,15.542,4.11,4.11,34.829,0.000,0.000,0.000,4.281
1753373790.8718505,5,USB_connected,WLC_disconnected,3.318,-192.150,15.542,4.14,4.14,34.037,0.000,0.000,0.000,4.287
1753373792.0713959,5,USB_connected,WLC_disconnected,3.318,-191.925,15.542,4.18,4.18,34.037,0.000,0.000,0.000,4.299
1753373793.2879019,5,USB_connected,WLC_disconnected,3.323,-192.150,15.542,4.21,4.21,34.829,0.000,0.000,0.000,4.306
1753373794.504045,5,USB_connected,WLC_disconnected,3.323,-191.925,15.542,4.25,4.25,34.037,0.000,0.000,0.000,4.306
1753373795.703824,5,USB_connected,WLC_disconnected,3.323,-191.925,15.641,4.28,4.28,34.037,0.000,0.000,0.000,4.299
1753373796.9203093,5,USB_connected,WLC_disconnected,3.318,-191.700,15.641,4.32,4.32,34.829,0.000,0.000,0.000,4.287
1753373798.1367948,5,USB_connected,WLC_disconnected,3.323,-191.700,15.641,4.35,4.35,34.829,0.000,0.000,0.000,4.274
1753373799.3532717,5,USB_connected,WLC_disconnected,3.323,-191.925,15.641,4.39,4.39,30.866,0.000,0.000,0.000,4.281
1753373800.553043,5,USB_connected,WLC_disconnected,3.323,-192.150,15.641,4.42,4.42,34.037,0.000,0.000,0.000,4.287
1753373801.7690575,5,USB_connected,WLC_disconnected,3.323,-192.150,15.641,4.46,4.46,34.829,0.000,0.000,0.000,4.281
1753373802.9854605,5,USB_connected,WLC_disconnected,3.323,-192.150,15.641,4.49,4.49,34.037,0.000,0.000,0.000,4.287
1753373804.2016706,5,USB_connected,WLC_disconnected,3.323,-191.925,15.641,4.52,4.52,34.037,0.000,0.000,0.000,4.281
1753373805.4181104,5,USB_connected,WLC_disconnected,3.323,-192.375,15.641,4.56,4.56,34.037,0.000,0.000,0.000,4.281
1753373806.6343231,5,USB_connected,WLC_disconnected,3.323,-192.150,15.741,4.59,4.59,34.829,0.000,0.000,0.000,4.281
1753373807.8506632,5,USB_connected,WLC_disconnected,3.323,-191.925,15.741,4.62,4.62,34.037,0.000,0.000,0.000,4.281
1753373809.0669982,5,USB_connected,WLC_disconnected,3.323,-192.150,15.741,4.66,4.66,34.829,0.000,0.000,0.000,4.287
1753373810.2832105,5,USB_connected,WLC_disconnected,3.323,-191.925,15.741,4.69,4.69,34.829,0.000,0.000,0.000,4.281
1753373811.4997485,5,USB_connected,WLC_disconnected,3.323,-191.925,15.741,4.72,4.72,34.037,0.000,0.000,0.000,4.281
1753373812.7161164,5,USB_connected,WLC_disconnected,3.323,-191.925,15.741,4.75,4.75,34.037,0.000,0.000,0.000,4.281
1753373813.9324129,5,USB_connected,WLC_disconnected,3.323,-192.150,15.741,4.78,4.78,34.829,0.000,0.000,0.000,4.274
1753373815.1486099,5,USB_connected,WLC_disconnected,3.323,-191.925,15.741,4.81,4.81,34.829,0.000,0.000,0.000,4.274
1753373816.3648891,5,USB_connected,WLC_disconnected,3.323,-191.925,15.741,4.84,4.84,34.829,0.000,0.000,0.000,4.287
1753373817.5811582,5,USB_connected,WLC_disconnected,3.323,-191.925,15.741,4.87,4.87,34.037,0.000,0.000,0.000,4.281
1753373818.7976644,5,USB_connected,WLC_disconnected,3.323,-192.150,15.741,4.90,4.90,34.829,0.000,0.000,0.000,4.281
1753373820.0138364,5,USB_connected,WLC_disconnected,3.323,-192.150,15.841,4.92,4.92,34.829,0.000,0.000,0.000,4.281
1753373821.2297614,5,USB_connected,WLC_disconnected,3.328,-192.150,15.741,4.96,4.96,34.829,0.000,0.000,0.000,4.287
1753373822.446456,5,USB_connected,WLC_disconnected,3.323,-192.375,15.741,4.98,4.98,34.829,0.000,0.000,0.000,4.281
1753373823.6625247,5,USB_connected,WLC_disconnected,3.328,-192.150,15.741,5.01,5.01,34.829,0.000,0.000,0.000,4.281
1753373824.878949,5,USB_connected,WLC_disconnected,3.328,-192.150,15.841,5.04,5.04,34.829,0.000,0.000,0.000,4.287
1753373826.0951786,5,USB_connected,WLC_disconnected,3.323,-192.150,15.841,5.07,5.07,34.829,0.000,0.000,0.000,4.287
1753373827.2953012,5,USB_connected,WLC_disconnected,3.323,-191.925,15.841,5.09,5.09,34.829,0.000,0.000,0.000,4.281
1753373828.5116596,5,USB_connected,WLC_disconnected,3.323,-192.150,15.841,5.12,5.12,34.829,0.000,0.000,0.000,4.281
1753373829.7277005,5,USB_connected,WLC_disconnected,3.323,-192.150,15.841,5.15,5.15,34.829,0.000,0.000,0.000,4.287
1753373830.9438488,5,USB_connected,WLC_disconnected,3.323,-192.150,15.841,5.18,5.18,34.829,0.000,0.000,0.000,4.281
1753373832.1600423,5,USB_connected,WLC_disconnected,3.323,-192.150,15.841,5.20,5.20,34.829,0.000,0.000,0.000,4.287
1753373833.376837,5,USB_connected,WLC_disconnected,3.323,-192.150,15.841,5.23,5.23,34.829,0.000,0.000,0.000,4.287
1753373834.5930853,5,USB_connected,WLC_disconnected,3.323,-192.150,15.841,5.25,5.25,34.829,0.000,0.000,0.000,4.281
1753373835.8092594,5,USB_connected,WLC_disconnected,3.328,-191.925,15.940,5.28,5.28,34.829,0.000,0.000,0.000,4.281
1753373837.0253506,5,USB_connected,WLC_disconnected,3.323,-192.150,15.841,5.30,5.30,34.829,0.000,0.000,0.000,4.287
1753373838.241517,5,USB_connected,WLC_disconnected,3.328,-192.150,15.841,5.33,5.33,34.829,0.000,0.000,0.000,4.281
1753373839.4581714,5,USB_connected,WLC_disconnected,3.328,-192.150,15.940,5.35,5.35,34.829,0.000,0.000,0.000,4.287
1753373840.6743767,5,USB_connected,WLC_disconnected,3.328,-192.375,15.940,5.38,5.38,34.829,0.000,0.000,0.000,4.281
1753373841.8906214,5,USB_connected,WLC_disconnected,3.328,-192.150,15.940,5.40,5.40,34.829,0.000,0.000,0.000,4.287
1753373843.1071916,5,USB_connected,WLC_disconnected,3.328,-192.150,15.940,5.43,5.43,34.829,0.000,0.000,0.000,4.281
1753373844.3231566,5,USB_connected,WLC_disconnected,3.328,-192.150,15.940,5.45,5.45,34.829,0.000,0.000,0.000,4.287
1753373845.5397654,5,USB_connected,WLC_disconnected,3.328,-192.150,15.940,5.48,5.48,34.829,0.000,0.000,0.000,4.281
1753373846.7562008,5,USB_connected,WLC_disconnected,3.323,-192.150,15.940,5.50,5.50,34.829,0.000,0.000,0.000,4.287
1753373847.97249,5,USB_connected,WLC_disconnected,3.323,-191.925,15.940,5.52,5.52,34.829,0.000,0.000,0.000,4.281
1753373849.1885579,5,USB_connected,WLC_disconnected,3.328,-192.150,15.940,5.55,5.55,34.829,0.000,0.000,0.000,4.299
1753373850.404805,5,USB_connected,WLC_disconnected,3.328,-191.925,16.040,5.57,5.57,35.622,0.000,0.000,0.000,4.299
1753373851.6211064,5,USB_connected,WLC_disconnected,3.328,-191.925,16.040,5.59,5.59,34.829,0.000,0.000,0.000,4.268
1753373852.8374653,5,USB_connected,WLC_disconnected,3.323,-191.925,16.040,5.62,5.62,35.622,0.000,0.000,0.000,4.274
1753373854.0541298,5,USB_connected,WLC_disconnected,3.328,-191.925,16.040,5.64,5.64,34.829,0.000,0.000,0.000,4.293
1753373855.27025,5,USB_connected,WLC_disconnected,3.323,-191.925,16.040,5.66,5.66,34.829,0.000,0.000,0.000,4.281
1753373856.486351,5,USB_connected,WLC_disconnected,3.328,-191.925,16.040,5.68,5.68,34.829,0.000,0.000,0.000,4.281
1753373857.7022364,5,USB_connected,WLC_disconnected,3.328,-191.925,16.040,5.71,5.71,34.829,0.000,0.000,0.000,4.287
1753373858.9190085,5,USB_connected,WLC_disconnected,3.328,-192.150,16.040,5.73,5.73,34.829,0.000,0.000,0.000,4.281
1753373860.1355042,5,USB_connected,WLC_disconnected,3.323,-192.150,16.040,5.75,5.75,34.829,0.000,0.000,0.000,4.274
1753373861.3519123,5,USB_connected,WLC_disconnected,3.328,-192.150,16.040,5.77,5.77,34.829,0.000,0.000,0.000,4.287
1753373862.5675492,5,USB_connected,WLC_disconnected,3.328,-191.925,16.040,5.80,5.80,34.829,0.000,0.000,0.000,4.287
1753373863.7842896,5,USB_connected,WLC_disconnected,3.328,-191.925,16.140,5.82,5.82,34.829,0.000,0.000,0.000,4.281
1753373865.000561,5,USB_connected,WLC_disconnected,3.323,-192.150,16.040,5.84,5.84,34.829,0.000,0.000,0.000,4.287
1753373866.2170267,5,USB_connected,WLC_disconnected,3.328,-192.150,16.140,5.86,5.86,35.622,0.000,0.000,0.000,4.281
1753373867.4166534,5,USB_connected,WLC_disconnected,3.328,-191.925,16.040,5.88,5.88,34.829,0.000,0.000,0.000,4.274
1753373868.6330013,5,USB_connected,WLC_disconnected,3.328,-192.375,16.040,5.90,5.90,34.829,0.000,0.000,0.000,4.281
1753373869.8326185,5,USB_connected,WLC_disconnected,3.328,-191.925,16.040,5.92,5.92,35.622,0.000,0.000,0.000,4.274
1753373871.0491912,5,USB_connected,WLC_disconnected,3.328,-192.150,16.140,5.94,5.94,35.622,0.000,0.000,0.000,4.281
1753373872.2650893,5,USB_connected,WLC_disconnected,3.323,-192.150,16.140,5.96,5.96,34.829,0.000,0.000,0.000,4.287
1753373873.4818683,5,USB_connected,WLC_disconnected,3.328,-191.925,16.140,5.98,5.98,34.829,0.000,0.000,0.000,4.281
1753373874.6982675,5,USB_connected,WLC_disconnected,3.328,-191.925,16.140,6.00,6.00,34.829,0.000,0.000,0.000,4.281
1753373875.9147348,5,USB_connected,WLC_disconnected,3.328,-192.150,16.140,6.02,6.02,34.829,0.000,0.000,0.000,4.287
1753373877.1305661,5,USB_connected,WLC_disconnected,3.328,-192.150,16.140,6.04,6.04,34.829,0.000,0.000,0.000,4.281
1753373878.347045,5,USB_connected,WLC_disconnected,3.328,-192.375,16.140,6.06,6.06,34.829,0.000,0.000,0.000,4.274
1753373879.5469851,5,USB_connected,WLC_disconnected,3.328,-192.375,16.140,6.08,6.08,35.622,0.000,0.000,0.000,4.281
1753373880.7631724,5,USB_connected,WLC_disconnected,3.328,-192.150,16.140,6.10,6.10,34.829,0.000,0.000,0.000,4.287
1753373881.9794624,5,USB_connected,WLC_disconnected,3.328,-192.150,16.140,6.12,6.12,35.622,0.000,0.000,0.000,4.274
1753373883.1962073,5,USB_connected,WLC_disconnected,3.328,-192.150,16.140,6.14,6.14,34.829,0.000,0.000,0.000,4.287
1753373884.3959749,5,USB_connected,WLC_disconnected,3.328,-192.150,16.140,6.16,6.16,35.622,0.000,0.000,0.000,4.281
1753373885.6121712,5,USB_connected,WLC_disconnected,3.328,-192.375,16.140,6.17,6.17,34.829,0.000,0.000,0.000,4.281
1753373886.828238,5,USB_connected,WLC_disconnected,3.328,-191.925,16.239,6.19,6.19,34.829,0.000,0.000,0.000,4.287
1753373888.0446777,5,USB_connected,WLC_disconnected,3.328,-192.375,16.239,6.21,6.21,34.829,0.000,0.000,0.000,4.274
1753373889.2607324,5,USB_connected,WLC_disconnected,3.328,-192.375,16.239,6.23,6.23,35.622,0.000,0.000,0.000,4.287
1753373890.477136,5,USB_connected,WLC_disconnected,3.328,-192.150,16.239,6.25,6.25,34.829,0.000,0.000,0.000,4.281
1753373891.6938753,5,USB_connected,WLC_disconnected,3.323,-192.375,16.239,6.26,6.26,35.622,0.000,0.000,0.000,4.281
1753373892.8933356,5,USB_connected,WLC_disconnected,3.328,-192.150,16.239,6.28,6.28,35.622,0.000,0.000,0.000,4.287
