time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753398256.9784005,5,USB_connected,WLC_disconnected,3.289,-191.700,16.339,0.64,0.64,30.074,0.000,0.000,0.000,4.287
1753398258.112289,5,USB_connected,WLC_disconnected,3.294,-191.700,16.339,0.96,0.96,31.659,0.000,0.000,0.000,4.274
1753398259.246487,5,USB_connected,WLC_disconnected,3.299,-191.700,16.239,1.18,1.18,31.659,0.000,0.000,0.000,4.281
1753398260.3804705,5,USB_connected,WLC_disconnected,3.299,-191.475,16.239,1.37,1.37,32.451,0.000,0.000,0.000,4.281
1753398261.514753,5,USB_connected,WLC_disconnected,3.304,-191.925,16.239,1.51,1.51,33.244,0.000,0.000,0.000,4.287
1753398262.6487415,5,USB_connected,WLC_disconnected,3.304,-191.700,16.339,1.64,1.64,33.244,0.000,0.000,0.000,4.281
1753398263.7828038,5,USB_connected,WLC_disconnected,3.304,-191.925,16.339,1.76,1.76,32.451,0.000,0.000,0.000,4.281
1753398264.9171028,5,USB_connected,WLC_disconnected,3.308,-191.925,16.339,1.86,1.86,33.244,0.000,0.000,0.000,4.281
1753398266.0512702,5,USB_connected,WLC_disconnected,3.308,-191.700,16.339,1.96,1.96,33.244,0.000,0.000,0.000,4.287
1753398267.1853251,5,USB_connected,WLC_disconnected,3.308,-191.700,16.339,2.05,2.05,33.244,0.000,0.000,0.000,4.287
1753398268.3190815,5,USB_connected,WLC_disconnected,3.308,-191.700,16.239,2.14,2.14,30.866,0.000,0.000,0.000,4.287
1753398269.4533975,5,USB_connected,WLC_disconnected,3.308,-191.925,16.339,2.22,2.22,30.866,0.000,0.000,0.000,4.281
1753398270.5876336,5,USB_connected,WLC_disconnected,3.308,-191.925,16.339,2.30,2.30,34.037,0.000,0.000,0.000,4.281
1753398271.721649,5,USB_connected,WLC_disconnected,3.308,-191.925,16.339,2.37,2.37,34.037,0.000,0.000,0.000,4.287
1753398272.855903,5,USB_connected,WLC_disconnected,3.308,-191.925,16.339,2.44,2.44,34.037,0.000,0.000,0.000,4.281
1753398273.99015,5,USB_connected,WLC_disconnected,3.313,-191.925,16.339,2.51,2.51,34.037,0.000,0.000,0.000,4.281
1753398275.1240456,5,USB_connected,WLC_disconnected,3.313,-191.925,16.339,2.58,2.58,34.037,0.000,0.000,0.000,4.281
1753398276.2583053,5,USB_connected,WLC_disconnected,3.313,-191.700,16.339,2.64,2.64,34.037,0.000,0.000,0.000,4.287
1753398277.3926055,5,USB_connected,WLC_disconnected,3.313,-191.700,16.339,2.71,2.71,34.037,0.000,0.000,0.000,4.287
1753398278.5264752,5,USB_connected,WLC_disconnected,3.313,-191.925,16.339,2.77,2.77,34.037,0.000,0.000,0.000,4.287
1753398279.6599853,5,USB_connected,WLC_disconnected,3.313,-191.700,16.339,2.82,2.82,34.037,0.000,0.000,0.000,4.281
1753398280.7946644,5,USB_connected,WLC_disconnected,3.313,-192.150,16.339,2.88,2.88,34.037,0.000,0.000,0.000,4.299
1753398281.928909,5,USB_connected,WLC_disconnected,3.313,-192.150,16.339,2.94,2.94,34.829,0.000,0.000,0.000,4.281
1753398283.062874,5,USB_connected,WLC_disconnected,3.318,-191.700,16.339,2.99,2.99,34.829,0.000,0.000,0.000,4.281
1753398284.1971872,5,USB_connected,WLC_disconnected,3.313,-191.925,16.439,3.05,3.05,34.829,0.000,0.000,0.000,4.287
1753398285.3308501,5,USB_connected,WLC_disconnected,3.318,-192.150,16.339,3.10,3.10,34.037,0.000,0.000,0.000,4.287
1753398286.4647725,5,USB_connected,WLC_disconnected,3.318,-191.925,16.339,3.16,3.16,34.829,0.000,0.000,0.000,4.281
1753398287.59927,5,USB_connected,WLC_disconnected,3.318,-191.925,16.439,3.21,3.21,34.037,0.000,0.000,0.000,4.281
1753398288.7335844,5,USB_connected,WLC_disconnected,3.318,-191.925,16.439,3.26,3.26,34.829,0.000,0.000,0.000,4.281
1753398289.867028,5,USB_connected,WLC_disconnected,3.318,-191.925,16.439,3.31,3.31,34.829,0.000,0.000,0.000,4.287
1753398291.0015688,5,USB_connected,WLC_disconnected,3.318,-191.925,16.439,3.36,3.36,34.829,0.000,0.000,0.000,4.281
1753398292.1357841,5,USB_connected,WLC_disconnected,3.318,-191.925,16.439,3.40,3.40,34.829,0.000,0.000,0.000,4.287
1753398293.270145,5,USB_connected,WLC_disconnected,3.318,-191.925,16.439,3.45,3.45,34.829,0.000,0.000,0.000,4.281
1753398294.4038653,5,USB_connected,WLC_disconnected,3.318,-191.925,16.439,3.50,3.50,34.829,0.000,0.000,0.000,4.281
1753398295.5381205,5,USB_connected,WLC_disconnected,3.318,-192.375,16.339,3.54,3.54,34.829,0.000,0.000,0.000,4.281
1753398296.6723042,5,USB_connected,WLC_disconnected,3.318,-191.925,16.439,3.59,3.59,34.829,0.000,0.000,0.000,4.287
1753398297.8059328,5,USB_connected,WLC_disconnected,3.323,-192.150,16.439,3.63,3.63,34.829,0.000,0.000,0.000,4.287
1753398298.94038,5,USB_connected,WLC_disconnected,3.323,-192.150,16.439,3.68,3.68,34.829,0.000,0.000,0.000,4.281
1753398300.074452,5,USB_connected,WLC_disconnected,3.318,-192.150,16.439,3.72,3.72,34.829,0.000,0.000,0.000,4.287
1753398301.2089424,5,USB_connected,WLC_disconnected,3.318,-192.150,16.439,3.76,3.76,34.829,0.000,0.000,0.000,4.287
1753398302.3427548,5,USB_connected,WLC_disconnected,3.318,-191.925,16.439,3.80,3.80,34.829,0.000,0.000,0.000,4.299
1753398303.4770029,5,USB_connected,WLC_disconnected,3.318,-191.925,16.439,3.85,3.85,35.622,0.000,0.000,0.000,4.293
1753398304.6110935,5,USB_connected,WLC_disconnected,3.323,-192.150,16.439,3.89,3.89,34.829,0.000,0.000,0.000,4.281
1753398305.74514,5,USB_connected,WLC_disconnected,3.318,-192.150,16.538,3.93,3.93,35.622,0.000,0.000,0.000,4.281
1753398306.8794222,5,USB_connected,WLC_disconnected,3.323,-192.150,16.439,3.97,3.97,34.829,0.000,0.000,0.000,4.287
1753398308.013759,5,USB_connected,WLC_disconnected,3.318,-191.700,16.439,4.01,4.01,34.829,0.000,0.000,0.000,4.287
1753398309.1803648,5,USB_connected,WLC_disconnected,3.318,-191.925,16.439,4.05,4.05,34.829,0.000,0.000,0.000,4.281
1753398310.3144345,5,USB_connected,WLC_disconnected,3.318,-191.925,16.439,4.08,4.08,35.622,0.000,0.000,0.000,4.281
1753398311.448665,5,USB_connected,WLC_disconnected,3.323,-191.925,16.538,4.12,4.12,35.622,0.000,0.000,0.000,4.287
1753398312.5826106,5,USB_connected,WLC_disconnected,3.323,-191.925,16.439,4.16,4.16,34.829,0.000,0.000,0.000,4.287
1753398313.7168148,5,USB_connected,WLC_disconnected,3.323,-191.925,16.439,4.20,4.20,34.829,0.000,0.000,0.000,4.287
1753398314.8674347,5,USB_connected,WLC_disconnected,3.323,-192.150,16.439,4.24,4.24,34.829,0.000,0.000,0.000,4.287
1753398316.0015364,5,USB_connected,WLC_disconnected,3.323,-192.150,16.439,4.27,4.27,34.829,0.000,0.000,0.000,4.287
1753398317.1357503,5,USB_connected,WLC_disconnected,3.323,-192.150,16.439,4.31,4.31,34.829,0.000,0.000,0.000,4.287
1753398318.2861788,5,USB_connected,WLC_disconnected,3.323,-191.925,16.439,4.34,4.34,34.829,0.000,0.000,0.000,4.281
1753398319.4203246,5,USB_connected,WLC_disconnected,3.323,-192.375,16.439,4.38,4.38,34.829,0.000,0.000,0.000,4.281
