time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753423527.1977565,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.623
1753423528.2658038,5,USB_connected,WLC_disconnected,3.196,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.636
1753423529.3348925,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.686
1753423530.4030385,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.636
1753423531.4716454,5,USB_connected,WLC_disconnected,3.191,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.686
1753423532.5397086,5,USB_connected,WLC_disconnected,3.196,0.000,15.641,0.00,0.00,20.562,0.000,0.000,0.000,4.636
1753423533.6081803,5,USB_connected,WLC_disconnected,3.196,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.636
1753423534.67661,5,USB_connected,WLC_disconnected,3.196,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.630
1753423535.7449205,5,USB_connected,WLC_disconnected,3.196,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.636
1753423536.8130455,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,20.562,0.000,0.000,0.000,4.648
1753423537.8813064,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.636
1753423538.9502091,5,USB_connected,WLC_disconnected,3.196,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.636
1753423540.018471,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.686
1753423541.0865839,5,USB_connected,WLC_disconnected,3.196,0.000,15.641,0.00,0.00,20.562,0.000,0.000,0.000,4.642
1753423542.155199,5,USB_connected,WLC_disconnected,3.196,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.661
1753423543.2232225,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.686
1753423544.2918093,5,USB_connected,WLC_disconnected,3.196,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.636
1753423545.360175,5,USB_connected,WLC_disconnected,3.196,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.636
1753423546.4283283,5,USB_connected,WLC_disconnected,3.196,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.636
1753423547.497001,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.630
1753423548.5653582,5,USB_connected,WLC_disconnected,3.196,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.655
1753423549.6336486,5,USB_connected,WLC_disconnected,3.196,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.630
1753423550.7021468,5,USB_connected,WLC_disconnected,3.196,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.642
1753423551.7708943,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,20.562,0.000,0.000,0.000,4.698
1753423552.8387907,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.630
1753423553.907213,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.630
1753423554.9756222,5,USB_connected,WLC_disconnected,3.196,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.623
1753423556.0438676,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,22.148,0.000,0.000,0.000,4.686
1753423557.1126533,5,USB_connected,WLC_disconnected,3.196,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.642
1753423558.1807292,5,USB_connected,WLC_disconnected,3.196,0.000,15.741,0.00,0.00,20.562,0.000,0.000,0.000,4.661
1753423559.2488518,5,USB_connected,WLC_disconnected,3.196,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.661
1753423560.317679,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,20.562,0.000,0.000,0.000,4.636
1753423561.3858824,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,20.562,0.000,0.000,0.000,4.686
1753423562.4544475,5,USB_connected,WLC_disconnected,3.196,0.000,15.641,0.00,0.00,20.562,0.000,0.000,0.000,4.630
1753423563.5225806,5,USB_connected,WLC_disconnected,3.201,0.000,15.741,0.00,0.00,21.355,0.000,0.000,0.000,4.661
1753423564.5907016,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.661
1753423565.6589682,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.636
1753423566.7276974,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.636
1753423567.796071,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.661
1753423568.8644705,5,USB_connected,WLC_disconnected,3.196,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.636
1753423569.9330862,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.630
1753423571.0011828,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.630
1753423572.0697315,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.642
1753423573.137998,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.636
1753423574.2063096,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.642
1753423575.2748685,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.630
1753423576.3430839,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.636
1753423577.4113371,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.686
1753423578.4798138,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.686
1753423579.5481598,5,USB_connected,WLC_disconnected,3.196,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.661
1753423580.616777,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.630
1753423581.6849654,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.636
1753423582.753081,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.698
1753423583.8217213,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.655
1753423584.8901758,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.630
1753423585.9585032,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.636
1753423587.026864,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.636
1753423588.0949512,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.686
1753423589.1636808,5,USB_connected,WLC_disconnected,3.201,0.000,15.741,0.00,0.00,20.562,0.000,0.000,0.000,4.630
1753423590.232252,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.648
1753423591.3003116,5,USB_connected,WLC_disconnected,3.201,0.000,15.741,0.00,0.00,21.355,0.000,0.000,0.000,4.686
1753423592.3686872,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.636
1753423593.4370584,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.642
1753423594.5051608,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,22.148,0.000,0.000,0.000,4.630
1753423595.5740738,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.642
1753423596.6421578,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.636
1753423597.7108207,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.642
1753423598.7786975,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,22.148,0.000,0.000,0.000,4.642
1753423599.847205,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.636
1753423600.9157443,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,22.148,0.000,0.000,0.000,4.636
1753423601.9840503,5,USB_connected,WLC_disconnected,3.196,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.636
1753423603.0521514,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,22.148,0.000,0.000,0.000,4.642
1753423604.120626,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,22.148,0.000,0.000,0.000,4.630
1753423605.1893804,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.636
1753423606.2577162,5,USB_connected,WLC_disconnected,3.196,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.642
1753423607.325908,5,USB_connected,WLC_disconnected,3.201,0.000,15.641,0.00,0.00,21.355,0.000,0.000,0.000,4.636
