time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753436945.8009143,5,USB_connected,WLC_disconnected,3.533,0.000,30.890,100.00,100.00,37.207,0.000,0.000,0.000,4.630
1753436946.9020836,5,USB_connected,WLC_disconnected,3.533,0.000,30.782,100.00,100.00,37.207,0.000,0.000,0.000,4.623
1753436948.0036855,5,USB_connected,WLC_disconnected,3.533,0.000,30.782,100.00,100.00,37.207,0.000,0.000,0.000,4.661
1753436949.1050227,5,USB_connected,WLC_disconnected,3.533,0.000,30.782,100.00,100.00,37.207,0.000,0.000,0.000,4.636
1753436950.2062905,5,USB_connected,WLC_disconnected,3.533,0.000,30.782,100.00,100.00,37.207,0.000,0.000,0.000,4.636
1753436951.3071852,5,USB_connected,WLC_disconnected,3.533,0.000,30.782,100.00,100.00,37.207,0.000,0.000,0.000,4.636
1753436952.4081678,5,USB_connected,WLC_disconnected,3.533,0.000,30.782,100.00,100.00,37.207,0.000,0.000,0.000,4.636
1753436953.509328,5,USB_connected,WLC_disconnected,3.533,0.000,30.782,100.00,100.00,37.207,0.000,0.000,0.000,4.636
1753436954.6109145,5,USB_connected,WLC_disconnected,3.533,0.000,30.782,100.00,100.00,37.207,0.000,0.000,0.000,4.636
1753436955.7121592,5,USB_connected,WLC_disconnected,3.533,0.000,30.782,100.00,100.00,37.207,0.000,0.000,0.000,4.642
1753436956.8133712,5,USB_connected,WLC_disconnected,3.533,0.000,30.782,100.00,100.00,37.207,0.000,0.000,0.000,4.642
1753436957.9146643,5,USB_connected,WLC_disconnected,3.533,0.000,30.782,100.00,100.00,37.207,0.000,0.000,0.000,4.630
1753436959.0157745,5,USB_connected,WLC_disconnected,3.533,0.000,30.782,100.00,100.00,37.207,0.000,0.000,0.000,4.636
1753436960.1170073,5,USB_connected,WLC_disconnected,3.533,0.000,30.782,100.00,100.00,37.207,0.000,0.000,0.000,4.636
1753436961.218298,5,USB_connected,WLC_disconnected,3.533,0.000,30.782,100.00,100.00,37.207,0.000,0.000,0.000,4.642
1753436962.319683,5,USB_connected,WLC_disconnected,3.533,0.000,30.890,100.00,100.00,37.207,0.000,0.000,0.000,4.655
1753436963.4208689,5,USB_connected,WLC_disconnected,3.533,0.000,30.782,100.00,100.00,36.414,0.000,0.000,0.000,4.642
1753436964.5223107,5,USB_connected,WLC_disconnected,3.533,0.000,30.782,100.00,100.00,37.207,0.000,0.000,0.000,4.642
1753436965.6237242,5,USB_connected,WLC_disconnected,3.528,0.000,30.782,100.00,100.00,37.207,0.000,0.000,0.000,4.642
