time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753515659.7025185,5,USB_connected,WLC_disconnected,3.186,-190.800,30.351,0.33,0.33,44.340,0.000,0.000,0.000,4.274
1753515660.8851988,5,USB_connected,WLC_disconnected,3.191,-190.575,30.351,0.52,0.52,45.926,0.000,0.000,0.000,4.281
1753515662.0684597,5,USB_connected,WLC_disconnected,3.196,-190.575,30.351,0.67,0.67,43.548,0.000,0.000,0.000,4.287
1753515663.2520812,5,USB_connected,WLC_disconnected,3.196,-190.800,30.351,0.79,0.79,43.548,0.000,0.000,0.000,4.281
1753515664.452179,5,USB_connected,WLC_disconnected,3.196,-190.575,30.351,0.89,0.89,46.718,0.000,0.000,0.000,4.281
1753515665.635356,5,USB_connected,WLC_disconnected,3.201,-190.575,30.351,0.98,0.98,47.511,0.000,0.000,0.000,4.281
1753515666.8188846,5,USB_connected,WLC_disconnected,3.201,-190.575,30.351,1.07,1.07,47.511,0.000,0.000,0.000,4.281
1753515668.0189269,5,USB_connected,WLC_disconnected,3.201,-190.800,30.351,1.14,1.14,47.511,0.000,0.000,0.000,4.281
1753515669.2022028,5,USB_connected,WLC_disconnected,3.201,-190.575,30.351,1.21,1.21,48.303,0.000,0.000,0.000,4.281
1753515670.402409,5,USB_connected,WLC_disconnected,3.206,-190.800,30.351,1.27,1.27,48.303,0.000,0.000,0.000,4.287
1753515671.5854783,5,USB_connected,WLC_disconnected,3.211,-191.025,30.458,1.33,1.33,48.303,0.000,0.000,0.000,4.281
1753515672.7689795,5,USB_connected,WLC_disconnected,3.211,-190.800,30.458,1.39,1.39,48.303,0.000,0.000,0.000,4.281
1753515673.9688601,5,USB_connected,WLC_disconnected,3.211,-191.025,30.458,1.44,1.44,48.303,0.000,0.000,0.000,4.287
1753515675.1687036,5,USB_connected,WLC_disconnected,3.211,-191.025,30.351,1.50,1.50,48.303,0.000,0.000,0.000,4.281
1753515676.3686929,5,USB_connected,WLC_disconnected,3.216,-191.025,30.458,1.55,1.55,48.303,0.000,0.000,0.000,4.293
1753515677.5520744,5,USB_connected,WLC_disconnected,3.216,-190.800,30.458,1.60,1.60,49.096,0.000,0.000,0.000,4.287
1753515678.7356396,5,USB_connected,WLC_disconnected,3.216,-191.025,30.351,1.65,1.65,48.303,0.000,0.000,0.000,4.293
1753515679.9189472,5,USB_connected,WLC_disconnected,3.216,-190.800,30.458,1.69,1.69,48.303,0.000,0.000,0.000,4.287
1753515681.1025252,5,USB_connected,WLC_disconnected,3.216,-190.800,30.458,1.74,1.74,49.096,0.000,0.000,0.000,4.293
1753515682.2854936,5,USB_connected,WLC_disconnected,3.220,-190.800,30.458,1.78,1.78,49.096,0.000,0.000,0.000,4.274
1753515683.469281,5,USB_connected,WLC_disconnected,3.220,-191.025,30.458,1.82,1.82,49.096,0.000,0.000,0.000,4.287
1753515684.6526806,5,USB_connected,WLC_disconnected,3.220,-191.250,30.458,1.87,1.87,49.096,0.000,0.000,0.000,4.287
1753515685.8359497,5,USB_connected,WLC_disconnected,3.220,-191.025,30.458,1.91,1.91,49.096,0.000,0.000,0.000,4.287
1753515687.0360765,5,USB_connected,WLC_disconnected,3.225,-190.800,30.458,1.95,1.95,49.889,0.000,0.000,0.000,4.281
1753515688.21936,5,USB_connected,WLC_disconnected,3.225,-191.250,30.458,1.99,1.99,49.096,0.000,0.000,0.000,4.281
1753515689.4030242,5,USB_connected,WLC_disconnected,3.225,-191.025,30.458,2.03,2.03,49.096,0.000,0.000,0.000,4.287
1753515690.5860975,5,USB_connected,WLC_disconnected,3.225,-191.250,30.458,2.07,2.07,49.889,0.000,0.000,0.000,4.268
1753515691.7697453,5,USB_connected,WLC_disconnected,3.225,-191.025,30.566,2.10,2.10,49.096,0.000,0.000,0.000,4.281
1753515692.9697518,5,USB_connected,WLC_disconnected,3.225,-191.250,30.566,2.14,2.14,49.889,0.000,0.000,0.000,4.287
1753515694.1695938,5,USB_connected,WLC_disconnected,3.230,-191.025,30.458,2.18,2.18,46.718,0.000,0.000,0.000,4.281
1753515695.3693178,5,USB_connected,WLC_disconnected,3.230,-191.250,30.566,2.22,2.22,49.889,0.000,0.000,0.000,4.287
1753515696.5693398,5,USB_connected,WLC_disconnected,3.230,-191.025,30.458,2.25,2.25,49.096,0.000,0.000,0.000,4.287
1753515697.7689059,5,USB_connected,WLC_disconnected,3.230,-191.025,30.458,2.29,2.29,49.889,0.000,0.000,0.000,4.281
1753515698.9691455,5,USB_connected,WLC_disconnected,3.235,-191.250,30.566,2.32,2.32,49.889,0.000,0.000,0.000,4.281
1753515700.152266,5,USB_connected,WLC_disconnected,3.235,-191.025,30.458,2.36,2.36,49.889,0.000,0.000,0.000,4.287
1753515701.33569,5,USB_connected,WLC_disconnected,3.235,-191.025,30.566,2.40,2.40,49.889,0.000,0.000,0.000,4.281
1753515702.519279,5,USB_connected,WLC_disconnected,3.235,-191.025,30.566,2.43,2.43,46.718,0.000,0.000,0.000,4.281
1753515703.7030258,5,USB_connected,WLC_disconnected,3.235,-191.250,30.566,2.46,2.46,49.889,0.000,0.000,0.000,4.287
1753515704.8861527,5,USB_connected,WLC_disconnected,3.240,-191.250,30.566,2.50,2.50,49.889,0.000,0.000,0.000,4.281
1753515706.086082,5,USB_connected,WLC_disconnected,3.240,-191.475,30.566,2.53,2.53,49.889,0.000,0.000,0.000,4.274
1753515707.2859442,5,USB_connected,WLC_disconnected,3.240,-191.475,30.566,2.56,2.56,49.096,0.000,0.000,0.000,4.281
1753515708.4859908,5,USB_connected,WLC_disconnected,3.240,-191.475,30.566,2.60,2.60,46.718,0.000,0.000,0.000,4.281
1753515709.685784,5,USB_connected,WLC_disconnected,3.240,-191.250,30.566,2.63,2.63,49.889,0.000,0.000,0.000,4.281
1753515710.869181,5,USB_connected,WLC_disconnected,3.240,-191.475,30.674,2.66,2.66,49.889,0.000,0.000,0.000,4.281
1753515712.0526965,5,USB_connected,WLC_disconnected,3.245,-191.250,30.566,2.69,2.69,49.889,0.000,0.000,0.000,4.287
1753515713.2360804,5,USB_connected,WLC_disconnected,3.245,-191.250,30.674,2.72,2.72,49.889,0.000,0.000,0.000,4.287
1753515714.4196308,5,USB_connected,WLC_disconnected,3.245,-191.250,30.674,2.75,2.75,49.889,0.000,0.000,0.000,4.287
1753515715.619482,5,USB_connected,WLC_disconnected,3.245,-191.475,30.566,2.79,2.79,49.889,0.000,0.000,0.000,4.287
1753515716.8030853,5,USB_connected,WLC_disconnected,3.245,-191.025,30.566,2.82,2.82,49.889,0.000,0.000,0.000,4.281
1753515717.9858491,5,USB_connected,WLC_disconnected,3.250,-191.475,30.674,2.85,2.85,49.889,0.000,0.000,0.000,4.281
1753515719.1695385,5,USB_connected,WLC_disconnected,3.250,-191.475,30.566,2.87,2.87,50.681,0.000,0.000,0.000,4.287
1753515720.3695142,5,USB_connected,WLC_disconnected,3.250,-191.475,30.674,2.90,2.90,49.889,0.000,0.000,0.000,4.287
1753515721.5692167,5,USB_connected,WLC_disconnected,3.250,-191.250,30.674,2.94,2.94,49.889,0.000,0.000,0.000,4.287
1753515722.7692857,5,USB_connected,WLC_disconnected,3.250,-191.475,30.566,2.97,2.97,49.889,0.000,0.000,0.000,4.281
1753515723.9691238,5,USB_connected,WLC_disconnected,3.250,-191.250,30.674,3.00,3.00,49.889,0.000,0.000,0.000,4.287
1753515725.16899,5,USB_connected,WLC_disconnected,3.250,-191.475,30.674,3.02,3.02,49.889,0.000,0.000,0.000,4.287
1753515726.368729,5,USB_connected,WLC_disconnected,3.250,-191.475,30.782,3.05,3.05,50.681,0.000,0.000,0.000,4.281
1753515727.5523381,5,USB_connected,WLC_disconnected,3.255,-191.475,30.674,3.08,3.08,49.889,0.000,0.000,0.000,4.287
1753515728.7522001,5,USB_connected,WLC_disconnected,3.255,-191.475,30.674,3.11,3.11,50.681,0.000,0.000,0.000,4.287
1753515729.9519122,5,USB_connected,WLC_disconnected,3.255,-191.700,30.674,3.14,3.14,50.681,0.000,0.000,0.000,4.293
1753515731.1352232,5,USB_connected,WLC_disconnected,3.255,-191.475,30.674,3.17,3.17,49.889,0.000,0.000,0.000,4.287
1753515732.3191853,5,USB_connected,WLC_disconnected,3.255,-191.475,30.782,3.20,3.20,49.889,0.000,0.000,0.000,4.287
1753515733.5023115,5,USB_connected,WLC_disconnected,3.255,-191.475,30.782,3.23,3.23,50.681,0.000,0.000,0.000,4.287
