time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753556435.0637164,5,USB_connected,WLC_disconnected,3.553,0.000,40.649,100.00,100.00,46.718,0.000,0.000,0.000,4.648
1753556436.1642354,5,USB_connected,WLC_disconnected,3.553,0.000,40.649,100.00,100.00,46.718,0.000,0.000,0.000,4.648
1753556437.265776,5,USB_connected,WLC_disconnected,3.553,0.000,40.649,100.00,100.00,46.718,0.000,0.000,0.000,4.648
1753556438.367004,5,USB_connected,WLC_disconnected,3.553,0.000,40.649,100.00,100.00,46.718,0.000,0.000,0.000,4.667
1753556439.4680686,5,USB_connected,WLC_disconnected,3.558,0.000,40.649,100.00,100.00,46.718,0.000,0.000,0.000,4.648
1753556440.5696516,5,USB_connected,WLC_disconnected,3.558,0.000,40.649,100.00,100.00,46.718,0.000,0.000,0.000,4.648
1753556441.6709137,5,USB_connected,WLC_disconnected,3.558,0.000,40.773,100.00,100.00,46.718,0.000,0.000,0.000,4.655
1753556442.7721922,5,USB_connected,WLC_disconnected,3.553,0.000,40.649,100.00,100.00,45.926,0.000,0.000,0.000,4.655
1753556443.8730133,5,USB_connected,WLC_disconnected,3.553,0.000,40.649,100.00,100.00,46.718,0.000,0.000,0.000,4.655
1753556444.9743679,5,USB_connected,WLC_disconnected,3.553,0.000,40.649,100.00,100.00,46.718,0.000,0.000,0.000,4.655
1753556446.0759153,5,USB_connected,WLC_disconnected,3.553,0.000,40.649,100.00,100.00,46.718,0.000,0.000,0.000,4.648
1753556447.1771584,5,USB_connected,WLC_disconnected,3.553,0.000,40.649,100.00,100.00,46.718,0.000,0.000,0.000,4.648
1753556448.2786446,5,USB_connected,WLC_disconnected,3.553,0.000,40.649,100.00,100.00,46.718,0.000,0.000,0.000,4.648
1753556449.3795633,5,USB_connected,WLC_disconnected,3.553,0.000,40.526,100.00,100.00,46.718,0.000,0.000,0.000,4.648
1753556450.4813032,5,USB_connected,WLC_disconnected,3.553,0.000,40.649,100.00,100.00,46.718,0.000,0.000,0.000,4.648
1753556451.5825317,5,USB_connected,WLC_disconnected,3.553,0.000,40.526,100.00,100.00,46.718,0.000,0.000,0.000,4.655
1753556452.6838372,5,USB_connected,WLC_disconnected,3.553,0.000,40.526,100.00,100.00,46.718,0.000,0.000,0.000,4.667
1753556453.7849703,5,USB_connected,WLC_disconnected,3.553,0.000,40.649,100.00,100.00,46.718,0.000,0.000,0.000,4.655
1753556454.8858776,5,USB_connected,WLC_disconnected,3.553,0.000,40.649,100.00,100.00,46.718,0.000,0.000,0.000,4.655
1753556455.9873562,5,USB_connected,WLC_disconnected,3.553,0.000,40.649,100.00,100.00,46.718,0.000,0.000,0.000,4.655
1753556457.0884736,5,USB_connected,WLC_disconnected,3.553,0.000,40.649,100.00,100.00,45.926,0.000,0.000,0.000,4.655
1753556458.1898265,5,USB_connected,WLC_disconnected,3.553,0.000,40.526,100.00,100.00,46.718,0.000,0.000,0.000,4.648
1753556459.2909944,5,USB_connected,WLC_disconnected,3.553,0.000,40.649,100.00,100.00,45.926,0.000,0.000,0.000,4.655
1753556460.3919995,5,USB_connected,WLC_disconnected,3.553,0.000,40.526,100.00,100.00,45.926,0.000,0.000,0.000,4.648
1753556461.4934423,5,USB_connected,WLC_disconnected,3.548,0.000,40.526,100.00,100.00,46.718,0.000,0.000,0.000,4.648
1753556462.594662,5,USB_connected,WLC_disconnected,3.553,0.000,40.649,100.00,100.00,46.718,0.000,0.000,0.000,4.642
1753556463.6959813,5,USB_connected,WLC_disconnected,3.548,0.000,40.526,100.00,100.00,45.926,0.000,0.000,0.000,4.655
1753556464.7973022,5,USB_connected,WLC_disconnected,3.548,0.000,40.526,100.00,100.00,46.718,0.000,0.000,0.000,4.642
1753556465.8987002,5,USB_connected,WLC_disconnected,3.548,0.000,40.526,100.00,100.00,46.718,0.000,0.000,0.000,4.655
1753556466.9998286,5,USB_connected,WLC_disconnected,3.548,0.000,40.526,100.00,100.00,46.718,0.000,0.000,0.000,4.667
1753556468.1014266,5,USB_connected,WLC_disconnected,3.548,0.000,40.649,100.00,100.00,46.718,0.000,0.000,0.000,4.655
1753556469.202542,5,USB_connected,WLC_disconnected,3.548,0.000,40.526,100.00,100.00,46.718,0.000,0.000,0.000,4.648
1753556470.303846,5,USB_connected,WLC_disconnected,3.553,0.000,40.526,100.00,100.00,45.926,0.000,0.000,0.000,4.648
1753556471.4048014,5,USB_connected,WLC_disconnected,3.548,0.000,40.526,100.00,100.00,45.926,0.000,0.000,0.000,4.648
1753556472.505861,5,USB_connected,WLC_disconnected,3.548,0.000,40.526,100.00,100.00,46.718,0.000,0.000,0.000,4.648
1753556473.6074317,5,USB_connected,WLC_disconnected,3.548,0.000,40.526,100.00,100.00,46.718,0.000,0.000,0.000,4.661
1753556474.7086618,5,USB_connected,WLC_disconnected,3.548,0.000,40.526,100.00,100.00,45.926,0.000,0.000,0.000,4.642
1753556475.809931,5,USB_connected,WLC_disconnected,3.548,0.000,40.403,100.00,100.00,46.718,0.000,0.000,0.000,4.642
