time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753570791.9768858,5,USB_connected,WLC_disconnected,3.074,0.000,34.984,0.00,0.00,41.170,0.000,0.000,0.000,4.655
1753570793.0779793,5,USB_connected,WLC_disconnected,3.079,0.000,34.984,0.00,0.00,40.377,0.000,0.000,0.000,4.698
1753570794.1635315,5,USB_connected,WLC_disconnected,3.074,0.000,35.098,0.00,0.00,41.170,0.000,0.000,0.000,4.661
1753570795.2646313,5,USB_connected,WLC_disconnected,3.079,0.000,35.098,0.00,0.00,40.377,0.000,0.000,0.000,4.667
1753570796.365785,5,USB_connected,WLC_disconnected,3.079,0.000,35.098,0.00,0.00,40.377,0.000,0.000,0.000,4.673
1753570797.4668963,5,USB_connected,WLC_disconnected,3.079,0.000,35.098,0.00,0.00,41.170,0.000,0.000,0.000,4.686
1753570798.5679233,5,USB_connected,WLC_disconnected,3.079,0.000,35.098,0.00,0.00,41.170,0.000,0.000,0.000,4.661
1753570799.6530235,5,USB_connected,WLC_disconnected,3.079,0.000,35.098,0.00,0.00,40.377,0.000,0.000,0.000,4.661
1753570800.7543006,5,USB_connected,WLC_disconnected,3.074,0.000,35.098,0.00,0.00,41.170,0.000,0.000,0.000,4.655
1753570801.8556404,5,USB_connected,WLC_disconnected,3.079,0.000,34.984,0.00,0.00,40.377,0.000,0.000,0.000,4.655
1753570802.9568484,5,USB_connected,WLC_disconnected,3.074,0.000,35.098,0.00,0.00,41.170,0.000,0.000,0.000,4.661
1753570804.057876,5,USB_connected,WLC_disconnected,3.079,0.000,35.098,0.00,0.00,41.170,0.000,0.000,0.000,4.655
1753570805.1593401,5,USB_connected,WLC_disconnected,3.079,0.000,35.098,0.00,0.00,41.170,0.000,0.000,0.000,4.661
1753570806.2607079,5,USB_connected,WLC_disconnected,3.079,0.000,34.984,0.00,0.00,41.170,0.000,0.000,0.000,4.673
1753570807.3617074,5,USB_connected,WLC_disconnected,3.079,0.000,35.098,0.00,0.00,40.377,0.000,0.000,0.000,4.698
1753570808.4632978,5,USB_connected,WLC_disconnected,3.079,0.000,35.098,0.00,0.00,40.377,0.000,0.000,0.000,4.655
1753570809.5645921,5,USB_connected,WLC_disconnected,3.074,0.000,35.098,0.00,0.00,41.170,0.000,0.000,0.000,4.661
1753570810.6657205,5,USB_connected,WLC_disconnected,3.079,0.000,35.098,0.00,0.00,40.377,0.000,0.000,0.000,4.655
1753570811.7668447,5,USB_connected,WLC_disconnected,3.074,0.000,35.098,0.00,0.00,41.170,0.000,0.000,0.000,4.692
1753570812.8681357,5,USB_connected,WLC_disconnected,3.074,0.000,35.098,0.00,0.00,41.170,0.000,0.000,0.000,4.655
1753570813.9694073,5,USB_connected,WLC_disconnected,3.079,0.000,35.098,0.00,0.00,41.170,0.000,0.000,0.000,4.686
1753570815.0703716,5,USB_connected,WLC_disconnected,3.079,0.000,35.098,0.00,0.00,41.170,0.000,0.000,0.000,4.661
1753570816.1551867,5,USB_connected,WLC_disconnected,3.079,0.000,35.098,0.00,0.00,41.170,0.000,0.000,0.000,4.661
1753570817.2566974,5,USB_connected,WLC_disconnected,3.079,0.000,35.098,0.00,0.00,40.377,0.000,0.000,0.000,4.673
